"years","scenario","pop_size"
2023,"A1",150
2024,"A1",152.39625
2025,"A1",150.242416666667
2026,"A1",147.892416666667
2027,"A1",147.800333333333
2028,"A1",147.57925
2029,"A1",147.917666666667
2030,"A1",145.906333333333
2031,"A1",146.778333333333
2032,"A1",148.901416666667
2033,"A1",141.030833333333
2034,"A1",139.581
2035,"A1",140.227333333333
2036,"A1",138.262833333333
2037,"A1",136.614666666667
2038,"A1",144.3175
2039,"A1",148.418666666667
2040,"A1",156.951666666667
2041,"A1",151.633333333333
2042,"A1",156.594666666667
2043,"A1",153.978666666667
2044,"A1",150.753083333333
2045,"A1",151.551
2046,"A1",159.356
2047,"A1",165.373
2048,"A1",155.742916666667
2049,"A1",157.574416666667
2050,"A1",163.219416666667
2051,"A1",163.728666666667
2052,"A1",166.5195
2053,"A1",167.553833333333
2023,"A2",150
2024,"A2",152.333333333333
2025,"A2",159.333333333333
2026,"A2",161
2027,"A2",165.833333333333
2028,"A2",176.666666666667
2029,"A2",179
2030,"A2",176.833333333333
2031,"A2",181.166666666667
2032,"A2",191.5
2033,"A2",202.833333333333
2034,"A2",201.166666666667
2035,"A2",213
2036,"A2",210.333333333333
2037,"A2",221.666666666667
2038,"A2",222.333333333333
2039,"A2",221.333333333333
2040,"A2",221.833333333333
2041,"A2",207.666666666667
2042,"A2",200.166666666667
2043,"A2",195.166666666667
2044,"A2",180
2045,"A2",178.333333333333
2046,"A2",179.333333333333
2047,"A2",173.666666666667
2048,"A2",179.333333333333
2049,"A2",168.166666666667
2050,"A2",171
2051,"A2",167.5
2052,"A2",166.166666666667
2053,"A2",167.166666666667
2023,"A3",150
2024,"A3",153.333333333333
2025,"A3",161.833333333333
2026,"A3",174.666666666667
2027,"A3",165.333333333333
2028,"A3",171.666666666667
2029,"A3",173.666666666667
2030,"A3",188.5
2031,"A3",188.333333333333
2032,"A3",199.333333333333
2033,"A3",197.5
2034,"A3",191.833333333333
2035,"A3",196.333333333333
2036,"A3",192.333333333333
2037,"A3",206.5
2038,"A3",190.833333333333
2039,"A3",186.833333333333
2040,"A3",187.666666666667
2041,"A3",185.833333333333
2042,"A3",187.666666666667
2043,"A3",181
2044,"A3",175
2045,"A3",163.333333333333
2046,"A3",159.166666666667
2047,"A3",159.166666666667
2048,"A3",165.5
2049,"A3",171.666666666667
2050,"A3",169.5
2051,"A3",163.5
2052,"A3",173.833333333333
2053,"A3",164.833333333333
2023,"A4",150
2024,"A4",149.5
2025,"A4",151.333333333333
2026,"A4",152.333333333333
2027,"A4",149.333333333333
2028,"A4",142.666666666667
2029,"A4",141
2030,"A4",129
2031,"A4",121.666666666667
2032,"A4",114.166666666667
2033,"A4",117.333333333333
2034,"A4",123.833333333333
2035,"A4",124.833333333333
2036,"A4",118.166666666667
2037,"A4",115.5
2038,"A4",112.833333333333
2039,"A4",114.833333333333
2040,"A4",114.333333333333
2041,"A4",116
2042,"A4",115
2043,"A4",117.666666666667
2044,"A4",106.833333333333
2045,"A4",112.333333333333
2046,"A4",114.666666666667
2047,"A4",112.5
2048,"A4",113.333333333333
2049,"A4",112.833333333333
2050,"A4",112.5
2051,"A4",106
2052,"A4",108.666666666667
2053,"A4",108.166666666667
