"years","scenario","pop_size"
2023,"B1",150
2024,"B1",153.166666666667
2025,"B1",160.666666666667
2026,"B1",172.5
2027,"B1",173
2028,"B1",182.166666666667
2029,"B1",166.666666666667
2030,"B1",165.5
2031,"B1",166.833333333333
2032,"B1",164.5
2033,"B1",167.333333333333
2034,"B1",166
2035,"B1",159.833333333333
2036,"B1",162.333333333333
2037,"B1",151.5
2038,"B1",156.833333333333
2039,"B1",147.333333333333
2040,"B1",146.166666666667
2041,"B1",150.333333333333
2042,"B1",148
2043,"B1",140.5
2044,"B1",134.333333333333
2045,"B1",133
2046,"B1",130.166666666667
2047,"B1",131.666666666667
2048,"B1",125.666666666667
2049,"B1",127
2050,"B1",131
2051,"B1",130
2052,"B1",132.833333333333
2053,"B1",134.166666666667
2023,"B2",150
2024,"B2",154
2025,"B2",162.333333333333
2026,"B2",172.5
2027,"B2",172.833333333333
2028,"B2",180.166666666667
2029,"B2",174.166666666667
2030,"B2",178.833333333333
2031,"B2",177.333333333333
2032,"B2",173.666666666667
2033,"B2",183.166666666667
2034,"B2",193.666666666667
2035,"B2",186.333333333333
2036,"B2",189.666666666667
2037,"B2",191.5
2038,"B2",197.166666666667
2039,"B2",200
2040,"B2",209.333333333333
2041,"B2",202.166666666667
2042,"B2",193.166666666667
2043,"B2",206.666666666667
2044,"B2",201.5
2045,"B2",196.666666666667
2046,"B2",194.666666666667
2047,"B2",190
2048,"B2",182.166666666667
2049,"B2",194.666666666667
2050,"B2",189.666666666667
2051,"B2",186.833333333333
2052,"B2",188.333333333333
2053,"B2",190
2023,"B3",150
2024,"B3",150.333333333333
2025,"B3",156.333333333333
2026,"B3",165.166666666667
2027,"B3",168.666666666667
2028,"B3",171.166666666667
2029,"B3",167.333333333333
2030,"B3",172.166666666667
2031,"B3",168.666666666667
2032,"B3",165.833333333333
2033,"B3",170.666666666667
2034,"B3",167.333333333333
2035,"B3",165.666666666667
2036,"B3",161.166666666667
2037,"B3",161.666666666667
2038,"B3",148.666666666667
2039,"B3",152.5
2040,"B3",153.166666666667
2041,"B3",154.666666666667
2042,"B3",151.5
2043,"B3",148.166666666667
2044,"B3",154.166666666667
2045,"B3",149.333333333333
2046,"B3",160
2047,"B3",157.666666666667
2048,"B3",163.833333333333
2049,"B3",168.666666666667
2050,"B3",180.833333333333
2051,"B3",178.333333333333
2052,"B3",178.666666666667
2053,"B3",185.5
2023,"B4",150
2024,"B4",149.5
2025,"B4",151.333333333333
2026,"B4",152.333333333333
2027,"B4",149.333333333333
2028,"B4",142.666666666667
2029,"B4",141
2030,"B4",129
2031,"B4",121.666666666667
2032,"B4",114.166666666667
2033,"B4",117.333333333333
2034,"B4",123.833333333333
2035,"B4",124.833333333333
2036,"B4",118.166666666667
2037,"B4",115.5
2038,"B4",112.833333333333
2039,"B4",114.833333333333
2040,"B4",114.333333333333
2041,"B4",116
2042,"B4",115
2043,"B4",117.666666666667
2044,"B4",106.833333333333
2045,"B4",112.333333333333
2046,"B4",114.666666666667
2047,"B4",112.5
2048,"B4",113.333333333333
2049,"B4",112.833333333333
2050,"B4",112.5
2051,"B4",106
2052,"B4",108.666666666667
2053,"B4",108.166666666667
