years,scenario,pop_size,lcl,ucl
2023,B1,150,150,150
2024,B1,153.1666667,145.7636111,161.0802778
2025,B1,160.6666667,164.6833334,171.7526667
2026,B1,172.5,165.6,195.96
2027,B1,173,160.1403333,210.6563333
2028,B1,182.1666667,153.5057778,211.7991111
2029,B1,166.6666667,149.9444445,189.2777778
2030,B1,165.5,142.6058333,197.5518333
2031,B1,166.8333333,144.8113333,204.8713333
2032,B1,164.5,129.3518333,216.8658333
2033,B1,167.3333333,129.4602222,215.8042222
2034,B1,166,110.6666667,226.2026667
2035,B1,159.8333333,98.56388887,220.0372222
2036,B1,162.3333333,106.5447778,218.8794444
2037,B1,151.5,99.889,206.545
2038,B1,156.8333333,98.70044442,219.1484444
2039,B1,147.3333333,98.6642222,197.0828888
2040,B1,146.1666667,93.15688891,198.3968889
2041,B1,155.3333333,96.04777776,213.4797777
2042,B1,158,82.37066667,235.3146667
2043,B1,160.5,77.682,244.602
2044,B1,164.333,81.837834,246.170834
2045,B1,163,90.68233333,230.8623333
2046,B1,166.6667,98.11113073,232.7778243
2047,B1,167.1667,94.9506856,234.03338
2048,B1,167.8333,96.78386967,235.0785089
2049,B1,169.3333,89.9159823,242.3159523
2050,B1,169.8333,82.8220393,239.7480085
2051,B1,170.1667,87.06862817,245.6639926
2052,B1,170.3333,72.5619858,256.5219498
2053,B1,173.8333,66.28843173,266.5443933
2023,B2,150,150,150
2024,B2,154,149.0206667,160.7246667
2025,B2,162.3333333,156.0564444,169.0431111
2026,B2,172.5,144.44,167.9
2027,B2,172.8333333,143.3940555,170.3560555
2028,B2,180.1666667,147.4363889,175.5423889
2029,B2,174.1666667,144.1519445,176.8952778
2030,B2,178.8333333,150.1007777,177.2834444
2031,B2,177.3333333,144.0537778,183.0671111
2032,B2,173.6666667,141.3067778,211.4681112
2033,B2,183.1666667,143.9079445,231.0952778
2034,B2,193.6666667,144.7981111,252.4767778
2035,B2,186.3333333,140.4332222,245.5252222
2036,B2,189.6666667,150.6585556,233.3532223
2037,B2,191.5,144.9016667,239.8856667
2038,B2,197.1666667,157.5361667,246.6555
2039,B2,200,155.6666667,250.8666667
2040,B2,209.3333333,172.2115555,252.5955555
2041,B2,202.1666667,163.8223889,245.4977223
2042,B2,193.1666667,134.3152222,245.5792223
2043,B2,206.6666667,131.0955556,285.6822223
2044,B2,201.5,132.587,272.831
2045,B2,196.6666667,116.7544445,273.3011112
2046,B2,194.6666667,115.3075556,265.5902223
