years,scenario,pop_size,lcl,ucl,,,,,,lcl_diff,ucl_diff,
2023,B1,150,150,150,,,,,0,0,0,0
2024,B1,153.1666667,169.5044445,146.8817278,,,,,-0.106666667,0.048333333,0.051666667,-0.041033333
2025,B1,160.6666667,189.5866667,156.8588667,,,,,-0.18,-0.025,0.069,-0.0237
2026,B1,172.5,192.3375,179.96925,,,,,-0.115,0.04,0.136,0.0433
2027,B1,173,186.9553333,194.6192333,,,,,-0.080666667,0.074333333,0.217666667,0.124966667
2028,B1,182.1666667,181.7416111,194.9122611,,,,,0.002333333,0.157333333,0.162666667,0.069966667
2029,B1,166.6666667,175.7777778,173.8277778,,,,,-0.054666667,0.100333333,0.135666667,0.042966667
2030,B1,165.5,168.2583333,182.2099833,,,,,-0.016666667,0.138333333,0.193666667,0.100966667
2031,B1,166.8333333,170.6705,189.4058833,,,,,-0.023,0.132,0.228,0.1353
2032,B1,164.5,154.8493333,201.6166833,,,,,0.058666667,0.213666667,0.318333333,0.225633333
2033,B1,167.3333333,155.3968889,200.2924222,,,,,0.071333333,0.226333333,0.289666667,0.196966667
2034,B1,166,136.3966667,210.8144667,,,,,0.178333333,0.333333333,0.362666667,0.269966667
2035,B1,159.8333333,123.3380555,205.2206722,,,,,0.228333333,0.383333333,0.376666667,0.283966667
2036,B1,162.3333333,131.7064444,203.8311444,,,,,0.188666667,0.343666667,0.348333333,0.255633333
2037,B1,151.5,123.3715,192.50095,,,,,0.185666667,0.340666667,0.363333333,0.270633333
2038,B1,156.8333333,123.0096111,204.6099944,,,,,0.215666667,0.370666667,0.397333333,0.304633333
2039,B1,147.3333333,121.5008889,183.4250888,,,,,0.175333333,0.330333333,0.337666667,0.244966667
2040,B1,146.1666667,115.8127222,184.8472389,,,,,0.207666667,0.362666667,0.357333333,0.264633333
2041,B1,155.3333333,120.1244444,199.0803777,,,,,0.226666667,0.381666667,0.374333333,0.281633333
2042,B1,158,106.8606667,220.6680667,,,,,0.323666667,0.478666667,0.489333333,0.396633333
2043,B1,160.5,102.5595,229.72365,,,,,0.361,0.516,0.524,0.4313
2044,B1,164.333,107.309449,230.9371649,,,,,0.347,0.502,0.498,0.4053
2045,B1,163,115.9473333,215.7522333,,,,,0.288666667,0.443666667,0.416333333,0.323633333
2046,B1,166.6667,123.9444692,217.3278212,,,,,0.256333333,0.411333333,0.396666667,0.303966667
2047,B1,167.1667,120.8615241,218.5370269,,,,,0.277,0.432,0.4,0.3073
2048,B1,167.8333,122.7980312,219.520362,,,,,0.268333333,0.423333333,0.400666667,0.307966667
2049,B1,169.3333,116.1626438,226.6187554,,,,,0.314,0.469,0.431,0.3383
2050,B1,169.8333,109.1462008,224.0044616,,,,,0.357333333,0.512333333,0.411666667,0.318966667
2051,B1,170.1667,113.4444667,229.8895395,,,,,0.333333333,0.488333333,0.443666667,0.350966667
2052,B1,170.3333,98.9636473,240.7320529,,,,,0.419,0.574,0.506,0.4133
2053,B1,173.8333,93.23259323,250.4300464,,,,,0.463666667,0.618666667,0.533333333,0.440633333
2023,B2,150,173.25,136.095,,,,,-0.155,0,0,-0.0927
2024,B2,154,172.8906667,146.4488667,,,,,-0.122666667,0.032333333,0.043666667,-0.049033333
2025,B2,162.3333333,181.2181111,153.9948111,,,,,-0.116333333,0.038666667,0.041333333,-0.051366667
2026,B2,172.5,171.1775,151.90925,,,,,0.007666667,0.162666667,-0.026666667,-0.119366667
2027,B2,172.8333333,170.1832222,154.3344055,,,,,0.015333333,0.170333333,-0.014333333,-0.107033333
2028,B2,180.1666667,175.3622223,158.8409389,,,,,0.026666667,0.181666667,-0.025666667,-0.118366667
2029,B2,174.1666667,171.1477778,160.7500278,,,,,0.017333333,0.172333333,0.015666667,-0.077033333
2030,B2,178.8333333,177.8199444,160.7055944,,,,,0.005666667,0.160666667,-0.008666667,-0.101366667
2031,B2,177.3333333,171.5404444,166.6283111,,,,,0.032666667,0.187666667,0.032333333,-0.060366667
2032,B2,173.6666667,168.2251111,195.3692111,,,,,0.031333333,0.186333333,0.217666667,0.124966667
2033,B2,183.1666667,172.2987778,214.1157278,,,,,0.059333333,0.214333333,0.261666667,0.168966667
2034,B2,193.6666667,174.8164445,234.5238778,,,,,0.097333333,0.252333333,0.303666667,0.210966667
2035,B2,186.3333333,169.3148889,228.2521222,,,,,0.091333333,0.246333333,0.317666667,0.224966667
2036,B2,189.6666667,180.0568889,215.7711223,,,,,0.050666667,0.205666667,0.230333333,0.137633333
2037,B2,191.5,174.5841667,222.1336167,,,,,0.088333333,0.243333333,0.252666667,0.159966667
2038,B2,197.1666667,188.097,228.37815,,,,,0.046,0.201,0.251,0.1583
2039,B2,200,186.6666667,232.3266667,,,,,0.066666667,0.221666667,0.254333333,0.161633333
2040,B2,209.3333333,204.6582222,233.1903555,,,,,0.022333333,0.177333333,0.206666667,0.113966667
2041,B2,202.1666667,195.1582223,226.7568723,,,,,0.034666667,0.189666667,0.214333333,0.121633333
2042,B2,193.1666667,164.2560556,227.6726723,,,,,0.149666667,0.304666667,0.271333333,0.178633333
2043,B2,206.6666667,163.1288889,266.5242223,,,,,0.210666667,0.365666667,0.382333333,0.289633333
2044,B2,201.5,163.8195,254.15195,,,,,0.187,0.342,0.354,0.2613
2045,B2,196.6666667,147.2377778,255.0701112,,,,,0.251333333,0.406333333,0.389666667,0.296966667
2046,B2,194.6666667,145.4808889,247.5446223,,,,,0.252666667,0.407666667,0.364333333,0.271633333
2047,B2,190,140.2833333,243.7003333,,,,,0.261666667,0.416666667,0.375333333,0.282633333
2048,B2,192.1666667,143.4203889,243.4047056,,,,,0.253666667,0.408666667,0.359333333,0.266633333
2049,B2,194.6666667,142.3662222,253.7739556,,,,,0.268666667,0.423666667,0.396333333,0.303633333
2050,B2,199.6666667,140.6318889,266.8811223,,,,,0.295666667,0.450666667,0.429333333,0.336633333
2051,B2,196.8333333,138.7018889,259.2229388,,,,,0.295333333,0.450333333,0.409666667,0.316966667
2052,B2,198.3333333,127.3961111,273.4289444,,,,,0.357666667,0.512666667,0.471333333,0.378633333
2053,B2,199.8333,119.7001467,290.8174015,,,,,0.401,0.556,0.548,0.4553
2023,B3,150,173.25,136.095,,,,,-0.155,0,0,-0.0927
2024,B3,150.6666333,172.965295,137.4531696,,,,,-0.148,0.007,0.005,-0.0877
2025,B3,162.8333003,177.7054084,158.8655955,,,,,-0.091333333,0.063666667,0.068333333,-0.024366667
2026,B3,183.1666967,184.1435857,202.5152054,,,,,-0.005333333,0.149666667,0.198333333,0.105633333
2027,B3,198.1666967,194.5336406,226.2997621,,,,,0.018333333,0.173333333,0.234666667,0.141966667
2028,B3,202.3332967,197.2075199,228.8322141,,,,,0.025333333,0.180333333,0.223666667,0.130966667
2029,B3,206.8333033,201.3177485,230.336461,,,,,0.026666667,0.181666667,0.206333333,0.113633333
2030,B3,211.3332967,207.8815195,231.6142487,,,,,0.016333333,0.171333333,0.188666667,0.095966667
2031,B3,226.3332967,219.6187422,248.6573042,,,,,0.029666667,0.184666667,0.191333333,0.098633333
2032,B3,229.1667033,238.638927,237.7910102,,,,,-0.041333333,0.113666667,0.130333333,0.037633333
2033,B3,238.1666967,243.5651418,238.8732579,,,,,-0.022666667,0.132333333,0.095666667,0.002966667
2034,B3,241.1667033,244.3822593,251.207277,,,,,-0.013333333,0.141666667,0.134333333,0.041633333
2035,B3,239.8332967,221.206244,259.6515215,,,,,0.077666667,0.232666667,0.175333333,0.082633333
2036,B3,235.6666967,211.7858048,265.5885116,,,,,0.101333333,0.256333333,0.219666667,0.126966667
2037,B3,240.3332967,201.2390804,283.0245013,,,,,0.162666667,0.317666667,0.270333333,0.177633333
2038,B3,243.3332967,202.0477474,291.6674005,,,,,0.169666667,0.324666667,0.291333333,0.198633333
2039,B3,249.1667,188.9514142,312.6128474,,,,,0.241666667,0.396666667,0.347333333,0.254633333
2040,B3,249.3332967,197.6381932,300.4383114,,,,,0.207333333,0.362333333,0.297666667,0.204966667
2041,B3,250.1666967,204.7197468,306.8628091,,,,,0.181666667,0.336666667,0.319333333,0.226633333
2042,B3,245.3333,189.2337521,311.9740021,,,,,0.228666667,0.383666667,0.364333333,0.271633333
2043,B3,243.3332967,159.7888648,287.3685123,,,,,0.343333333,0.498333333,0.273666667,0.180966667
2044,B3,250.1669667,171.1142052,280.2620528,,,,,0.316,0.471,0.213,0.1203
2045,B3,252.3333333,160.484,296.8197,,,,,0.364,0.519,0.269,0.1763
2046,B3,258.16667,149.1342797,314.4383985,,,,,0.422333333,0.577333333,0.310666667,0.217966667
2047,B3,259.3332667,167.269957,310.4997202,,,,,0.355,0.51,0.29,0.1973
2048,B3,262.1667033,166.7380233,320.9706949,,,,,0.364,0.519,0.317,0.2243
2049,B3,266.8332967,175.4873648,331.3980601,,,,,0.342333333,0.497333333,0.334666667,0.241966667
2050,B3,269.1667033,167.1525227,345.9599638,,,,,0.379,0.534,0.378,0.2853
2051,B3,262.3333033,149.0927607,356.9394369,,,,,0.431666667,0.586666667,0.453333333,0.360633333
2052,B3,270.8332967,150.583313,377.081199,,,,,0.444,0.599,0.485,0.3923
2053,B3,270.1667,154.1751301,377.9542077,,,,,0.429333333,0.584333333,0.491666667,0.398966667
2023,B4,150,173.25,136.095,,,,,-0.155,0,0,-0.0927
2024,B4,149.5,168.8353333,140.7741833,,,,,-0.129333333,0.025666667,0.034333333,-0.058366667
2025,B4,151.3333333,167.1728889,143.6102889,,,,,-0.104666667,0.050333333,0.041666667,-0.051033333
2026,B4,152.3333333,170.8672222,142.8835889,,,,,-0.121666667,0.033333333,0.030666667,-0.062033333
2027,B4,149.3333333,162.9226666,142.6581333,,,,,-0.091,0.064,0.048,-0.0447
2028,B4,142.6666667,160.1671111,133.3885778,,,,,-0.122666667,0.032333333,0.027666667,-0.065033333
2029,B4,141,155.006,138.6923,,,,,-0.099333333,0.055666667,0.076333333,-0.016366667
2030,B4,129,143.964,121.8147,,,,,-0.116,0.039,0.037,-0.0557
2031,B4,121.6666667,127.9122223,124.5420556,,,,,-0.051333333,0.103666667,0.116333333,0.023633333
2032,B4,120.1666667,127.2565,118.64055,,,,,-0.059,0.096,0.08,-0.0127
2033,B4,121.3333333,137.7133333,113.4830666,,,,,-0.135,0.02,0.028,-0.0647
2034,B4,123.8333333,138.8171666,116.0689833,,,,,-0.121,0.034,0.03,-0.0627
2035,B4,124.8333333,137.8992222,118.4626722,,,,,-0.104666667,0.050333333,0.041666667,-0.051033333
2036,B4,128.1667,139.4453696,123.5911488,,,,,-0.088,0.067,0.057,-0.0357
2037,B4,128.8333,135.3179094,130.2032274,,,,,-0.050333333,0.104666667,0.103333333,0.010633333
2038,B4,130.3333,140.5861863,129.6772891,,,,,-0.078666667,0.076333333,0.087666667,-0.005033333
2039,B4,131.3333,130.7204113,141.7918085,,,,,0.004666667,0.159666667,0.172333333,0.079633333
2040,B4,134.1667,132.5566996,149.2336204,,,,,0.012,0.167,0.205,0.1123
2041,B4,136.1667,131.4462544,158.1757776,,,,,0.034666667,0.189666667,0.254333333,0.161633333
2042,B4,137.8333,128.9200799,165.9007543,,,,,0.064666667,0.219666667,0.296333333,0.203633333
2043,B4,137.6667,119.5405845,176.8512317,,,,,0.131666667,0.286666667,0.377333333,0.284633333
2044,B4,140.1667,117.4129724,188.0990392,,,,,0.162333333,0.317333333,0.434666667,0.341966667
2045,B4,142.3333333,128.7642222,165.8135889,,,,,0.095333333,0.250333333,0.257666667,0.164966667
2046,B4,143.6666667,131.3113334,166.4091,,,,,0.086,0.241,0.251,0.1583
2047,B4,142.5,119.89,174.08275,,,,,0.158666667,0.313666667,0.314333333,0.221633333
2048,B4,144.3333333,121.1437777,174.8790777,,,,,0.160666667,0.315666667,0.304333333,0.211633333
2049,B4,138.8333333,101.5797222,183.8107055,,,,,0.268333333,0.423333333,0.416666667,0.323966667
2050,B4,144.5,102.7395,195.26285,,,,,0.289,0.444,0.444,0.3513
2051,B4,146,90.32533333,208.9211333,,,,,0.381333333,0.536333333,0.523666667,0.430966667
2052,B4,148.6666667,105.8011111,196.2350445,,,,,0.288333333,0.443333333,0.412666667,0.319966667
2053,B4,148.1666667,102.5313334,202.73645,,,,,0.308,0.463,0.461,0.3683
