"years","V2","V3","V4"
2023,220,220,220
2024,217,209,202
2025,224,196,214
2026,219,215,218
2027,199,229,213
2028,219,230,194
2029,219,216,204
2030,205,210,196
2031,162,241,216
2032,156,233,205
2033,142,237,212
2034,138,230,205
2035,127,202,238
2036,136,222,224
2037,150,211,223
2038,142,178,252
2039,165,186,237
2040,175,177,251
2041,178,185,226
2042,169,175,247
2043,132,167,261
2044,136,155,258
2045,136,160,239
2046,142,158,242
2047,117,173,251
2048,111,172,252
2049,114,177,253
2050,111,176,268
2051,110,202,303
2052,108,204,311
2053,108,223,292
