years,scenario,pop_size
2023,A1,110
2024,A1,109
2025,A1,105.8333333
2026,A1,105.3333333
2027,A1,114
2028,A1,120.8333333
2029,A1,123.3333333
2030,A1,127.1666667
2031,A1,120.3333333
2032,A1,121.6666667
2033,A1,120.1666667
2034,A1,124.6666667
2035,A1,122
2036,A1,126.1666667
2037,A1,125.6666667
2038,A1,130.6666667
2039,A1,126
2040,A1,126
2041,A1,128.1666667
2042,A1,119.5
2043,A1,112.1666667
2044,A1,112.3333333
2045,A1,107.5
2046,A1,102.6666667
2047,A1,108
2048,A1,100.3333333
2049,A1,93.16666667
2050,A1,97.5
2051,A1,86.66666667
2052,A1,81.16666667
2053,A1,81.16666667
2023,A2,110
2024,A2,108.1666667
2025,A2,115.1666667
2026,A2,115.1666667
2027,A2,118.3333333
2028,A2,125.8333333
2029,A2,122.3333333
2030,A2,125
2031,A2,110.8333333
2032,A2,113.3333333
2033,A2,107.1666667
2034,A2,104
2035,A2,99.83333333
2036,A2,95.5
2037,A2,95.16666667
2038,A2,95.66666667
2039,A2,101.8333333
2040,A2,96.5
2041,A2,104.1666667
2042,A2,108.5
2043,A2,109.5
2044,A2,113.8333333
2045,A2,110.3333333
2046,A2,108
2047,A2,113.8333333
2048,A2,113.6666667
2049,A2,110
2050,A2,114.6666667
2051,A2,117.6666667
2052,A2,121.1666667
2053,A2,127.5
2023,A3,110
2024,A3,108.1666667
2025,A3,118.1666667
2026,A3,118.1666667
2027,A3,120.3333333
2028,A3,125.8333333
2029,A3,127.3333333
2030,A3,128
2031,A3,129.8333333
2032,A3,128.3333333
2033,A3,127.1667
2034,A3,124
2035,A3,119.8333
2036,A3,115.5
2037,A3,115.1667
2038,A3,115.6667
2039,A3,121.8333
2040,A3,116.5
2041,A3,124.1667
2042,A3,128.5
2043,A3,129.5
2044,A3,123.8333
2045,A3,120.3333
2046,A3,117.8333
2047,A3,122.16667
2048,A3,123.8333
2049,A3,119.8333
2050,A3,120.1667
2051,A3,121.3333
2052,A3,124.6667
2053,A3,128.1667
2023,A4,110
2024,A4,104.6666667
2025,A4,105.6666667
2026,A4,108.6666667
2027,A4,106.8333333
2028,A4,107.1666667
2029,A4,106.5
2030,A4,101.8333333
2031,A4,103.1666667
2032,A4,99
2033,A4,98.5
2034,A4,95.5
2035,A4,94.5
2036,A4,97
2037,A4,97.33333333
2038,A4,95.33333333
2039,A4,98
2040,A4,100.5
2041,A4,98.16666667
2042,A4,98.5
2043,A4,93.33333333
2044,A4,91.5
2045,A4,89.16666667
2046,A4,90.33333333
2047,A4,90.16666667
2048,A4,89.16666667
2049,A4,90.66666667
2050,A4,92.5
2051,A4,102.5
2052,A4,103.8333333
2053,A4,103.8333333
