years,scenario,pop_size,lcl,ucl
2023,A1,110,110,110
2024,A1,109,103.7316667,114.6316667
2025,A1,105.8333333,108.4791666,113.1358333
2026,A1,105.3333333,101.12,119.6586666
2027,A1,114,105.526,138.814
2028,A1,120.8333333,101.8222222,140.4888889
2029,A1,123.3333333,110.9588889,140.0655555
2030,A1,127.1666667,109.5752778,151.7946112
2031,A1,120.3333333,104.4493333,147.7693333
2032,A1,121.6666667,95.67055558,160.3972223
2033,A1,120.1666667,92.96894447,154.9749445
2034,A1,124.6666667,83.11111113,169.8791112
2035,A1,122,75.23333333,167.9533333
2036,A1,126.1666667,82.80738891,170.1147223
2037,A1,125.6666667,82.85622224,171.3255556
2038,A1,130.6666667,82.23288891,182.5848889
2039,A1,126,84.378,168.546
2040,A1,126,80.304,171.024
2041,A1,128.1666667,79.24972224,176.1437223
2042,A1,119.5,62.29933333,177.9753333
2043,A1,112.1666667,54.28866668,170.9420001
2044,A1,112.3333333,55.94199998,168.2753333
2045,A1,107.5,59.80583333,152.2558333
2046,A1,102.6666667,60.43644446,143.3911112
2047,A1,108,61.344,151.2
2048,A1,100.3333333,57.85888887,140.5335555
2049,A1,93.16666667,49.4715,133.3215
2050,A1,97.5,47.5475,137.6375
2051,A1,86.66666667,44.34444445,125.1177778
2052,A1,81.16666667,34.577,122.237
2053,A1,81.16666667,30.95155556,124.4555556
2023,A2,110,110,110
2024,A2,108.1666667,104.6692778,112.8899445
2025,A2,115.1666667,110.7135556,119.9268889
2026,A2,115.1666667,96.43288892,112.0955556
2027,A2,118.3333333,98.17722219,116.6372222
2028,A2,125.8333333,102.9736111,122.6036111
2029,A2,122.3333333,101.2512222,124.2498889
2030,A2,125,104.9166667,123.9166667
2031,A2,110.8333333,90.03361108,114.4169444
2032,A2,113.3333333,92.21555553,138.0022222
2033,A2,107.1666667,84.1972778,135.2086112
2034,A2,104,77.75733333,135.5813333
2035,A2,99.83333333,75.24105555,131.5470556
2036,A2,95.5,75.85883333,117.4968333
2037,A2,95.16666667,72.00944445,119.2121111
2038,A2,95.66666667,76.43766667,119.679
2039,A2,101.8333333,79.26027775,127.7329444
2040,A2,96.5,79.38733333,116.4433333
2041,A2,104.1666667,84.40972225,126.4930556
2042,A2,108.5,75.44366667,137.9396667
2043,A2,109.5,69.4595,151.3655
2044,A2,113.8333333,74.90233331,154.1303333
2045,A2,110.3333333,65.5012222,153.3265555
2046,A2,108,63.972,147.348
2047,A2,113.8333333,66.40277776,156.5587777
2048,A2,113.6666667,67.21488891,154.5108889
2049,A2,110,63.39666667,153.5966667
2050,A2,114.6666667,62.99022224,163.8968889
2051,A2,117.6666667,64.67744446,165.8707778
2052,A2,121.1666667,59.04855557,178.2765556
2053,A2,127.5,56.61,197.37
2023,A3,110,110,110
2024,A3,108.1666667,107.4095,108.7075
2025,A3,118.1666667,110.6433889,126.2413889
2026,A3,118.1666667,100.4810556,141.6030556
2027,A3,120.3333333,99.47555553,148.5715555
2028,A3,125.8333333,103.1413889,153.9780555
2029,A3,127.3333333,104.2011111,153.6064444
2030,A3,128,106.0693333,152.1493333
2031,A3,129.8333333,105.8574444,154.6747777
2032,A3,128.3333333,113.7461111,145.0594444
2033,A3,127.1667,110.3383067,139.3323143
2034,A3,124,106.4333333,140.6573333
2035,A3,119.8333,91.95208553,140.8440719
2036,A3,115.5,85.8935,140.8715
2037,A3,115.1667,78.5820783,146.3000979
2038,A3,115.6667,78.11357807,149.3642653
2039,A3,121.8333,73.506091,164.1500662
2040,A3,116.5,74.28816667,151.1781667
2041,A3,124.1667,82.363911,163.8172662
2042,A3,128.5,79.19883333,175.3168333
2043,A3,129.5,64.96583333,164.9398333
2044,A3,123.8333,65.5078157,150.2097929
2045,A3,120.3333,57.8803173,152.7029577
2046,A3,117.8333,49.80420813,154.4401785
2047,A3,122.16667,59.8616683,157.5950043
2048,A3,123.8333,59.5638173,163.0884561
2049,A3,119.8333,60.23620547,159.9375111
2050,A3,120.1667,55.9976822,165.5897126
2051,A3,121.3333,50.15109733,176.3377293
2052,A3,124.6667,49.9913467,185.1300495
2053,A3,128.1667,53.27462497,191.1819942
2023,A4,110,110,110
2024,A4,104.6666667,101.9802223,108.2602223
2025,A4,105.6666667,100.3481111,110.0694445
2026,A4,108.6666667,105.0444445,111.9991111
2027,A4,106.8333333,99.99599997,111.9613333
2028,A4,107.1666667,103.7016111,110.1316111
2029,A4,106.5,100.5715,114.6295
2030,A4,101.8333333,97.8618333,105.6011666
2031,A4,103.1666667,92.47172225,115.1683889
2032,A4,99,89.496,106.92
2033,A4,98.5,96.53,101.258
2034,A4,95.5,92.253,98.365
2035,A4,94.5,89.7435,98.4375
2036,A4,97,90.501,102.529
2037,A4,97.33333333,87.14577777,107.3911111
2038,A4,95.33333333,88.05622222,103.6908889
2039,A4,98,82.35266667,114.8886667
2040,A4,100.5,83.7165,121.1025
2041,A4,98.16666667,79.54772222,123.1337222
2042,A4,98.5,76.86283333,127.6888333
2043,A4,93.33333333,66.57777778,128.5511111
2044,A4,91.5,62.464,131.272
2045,A4,89.16666667,66.84527778,112.1419444
2046,A4,90.33333333,68.563,113.007
2047,A4,90.16666667,61.88438889,118.5090556
2048,A4,89.16666667,61.01972222,116.3030556
2049,A4,90.66666667,52.28444445,128.4444444
2050,A4,92.5,51.43,133.57
2051,A4,102.5,47.52583333,156.1758333
2052,A4,103.8333333,57.80055554,146.6818888
2053,A4,103.8333333,55.75849998,151.7005
