years,mean,lcl,ucl,scenario,,lcl_diff,ucl_diff
2023,110,110,110,B1,,0,0
2024,111.3333333,106.5,116.5,B1,,0.048333333,0.051666667
2025,109,111.5,115.9,B1,,-0.025,0.069
2026,114.5,110.5,128.1,B1,,0.04,0.136
2027,116.3333333,108.9,138.1,B1,,0.074333333,0.217666667
2028,114.3333333,98.6,130.6,B1,,0.157333333,0.162666667
2029,118.8333333,108.8,132.4,B1,,0.100333333,0.135666667
2030,119.3333333,105.5,138.7,B1,,0.138333333,0.193666667
2031,121.5,108.3,144.3,B1,,0.132,0.228
2032,120.6666667,99.3,152.5,B1,,0.213666667,0.318333333
2033,121.3333333,98.7,150.3,B1,,0.226333333,0.289666667
2034,120.3333333,87,156.6,B1,,0.333333333,0.362666667
2035,125.3333333,87,163,B1,,0.383333333,0.376666667
2036,122.6666667,88.3,157.5,B1,,0.343666667,0.348333333
2037,125.6666667,91.6,162,B1,,0.340666667,0.363333333
2038,129.1666667,92.1,168.9,B1,,0.370666667,0.397333333
2039,124.8333333,91.8,158.6,B1,,0.330333333,0.337666667
2040,119.1666667,82.9,154.9,B1,,0.362666667,0.357333333
2041,121.6666667,83.5,159.1,B1,,0.381666667,0.374333333
2042,124.6666667,76.8,173.6,B1,,0.478666667,0.489333333
2043,126.5,74.9,178.9,B1,,0.516,0.524
2044,135.5,85.3,185.3,B1,,0.502,0.498
2045,139.6666667,95.3,181.3,B1,,0.443666667,0.416333333
2046,140.8333333,99.7,180.5,B1,,0.411333333,0.396666667
2047,134,90.8,174,B1,,0.432,0.4
2048,136.8333333,94.5,176.9,B1,,0.423333333,0.400666667
2049,147.5,100.6,190.6,B1,,0.469,0.431
2050,150.3333333,99.1,191.5,B1,,0.512333333,0.411666667
2051,148.8333333,100,193.2,B1,,0.488333333,0.443666667
2052,153.5,96.1,204.1,B1,,0.574,0.506
2053,151.1666667,89.3,204.5,B1,,0.618666667,0.533333333
2023,110,110,110,B2,,0,0
2024,110.8333333,107.6,115.2,B2,,0.032333333,0.043666667
2025,110.6666667,106.8,114.8,B2,,0.038666667,0.041333333
2026,117.1666667,100.9,114.5,B2,,0.162666667,-0.026666667
2027,116.3333333,99.3,114.9,B2,,0.170333333,-0.014333333
2028,113.1666667,95,110.6,B2,,0.181666667,-0.025666667
2029,113.8333333,96.6,115.4,B2,,0.172333333,0.015666667
2030,115.1666667,99.1,114.3,B2,,0.160666667,-0.008666667
2031,118.6666667,99.9,121.9,B2,,0.187666667,0.032333333
2032,119.8333333,101.2,141.6,B2,,0.186333333,0.217666667
2033,121.3333333,99.9,147.5,B2,,0.214333333,0.261666667
2034,127.8333333,102.6,158.2,B2,,0.252333333,0.303666667
2035,133.8333333,109.2,165.6,B2,,0.246333333,0.317666667
2036,140.6666667,120.1,163.7,B2,,0.205666667,0.230333333
2037,133.8333333,109.5,159.1,B2,,0.243333333,0.252666667
2038,130,109.9,155.1,B2,,0.201,0.251
2039,126.1666667,104,151.6,B2,,0.221666667,0.254333333
2040,124.8333333,107.1,145.5,B2,,0.177333333,0.206666667
2041,128.1666667,109.2,149.6,B2,,0.189666667,0.214333333
2042,134.6666667,104.2,161.8,B2,,0.304666667,0.271333333
2043,132.1666667,95.6,170.4,B2,,0.365666667,0.382333333
2044,127,92.8,162.4,B2,,0.342,0.354
2045,126.3333333,85.7,165.3,B2,,0.406333333,0.389666667
2046,128.6666667,87.9,165.1,B2,,0.407666667,0.364333333
2047,141.1666667,99.5,178.7,B2,,0.416666667,0.375333333
2048,141.1666667,100.3,177.1,B2,,0.408666667,0.359333333
2049,146.6666667,104.3,186.3,B2,,0.423666667,0.396333333
2050,145.1666667,100.1,188.1,B2,,0.450666667,0.429333333
2051,141.8333333,96.8,182.8,B2,,0.450333333,0.409666667
2052,145.1666667,93.9,192.3,B2,,0.512666667,0.471333333
2053,156,100.4,210.8,B2,,0.556,0.548
2023,110,110,110,B3,,0,0
2024,107.5,106.8,108,B3,,0.007,0.005
2025,113.6666667,107.3,120.5,B3,,0.063666667,0.068333333
2026,116.6666667,101.7,136.5,B3,,0.149666667,0.198333333
2027,116.3333333,99,139.8,B3,,0.173333333,0.234666667
2028,112.3333333,94.3,134.7,B3,,0.180333333,0.223666667
2029,117.1666667,99,137.8,B3,,0.181666667,0.206333333
2030,118.3333333,101.2,137.2,B3,,0.171333333,0.188666667
2031,121.6666667,103.2,140.8,B3,,0.184666667,0.191333333
2032,125.1666667,113.8,138.2,B3,,0.113666667,0.130333333
