years,pop_size,lcl,ucl,scenario
2023,110,110,110,B1
2024,111.3333333,106.5,116.5,B1
2025,109,111.5,115.9,B1
2026,114.5,110.5,128.1,B1
2027,116.3333333,108.9,138.1,B1
2028,114.3333333,98.6,130.6,B1
2029,118.8333333,108.8,132.4,B1
2030,119.3333333,105.5,138.7,B1
2031,121.5,108.3,144.3,B1
2032,120.6666667,99.3,152.5,B1
2033,121.3333333,98.7,150.3,B1
2034,120.3333333,87,156.6,B1
2035,125.3333333,87,163,B1
2036,122.6666667,88.3,157.5,B1
2037,125.6666667,91.6,162,B1
2038,129.1666667,92.1,168.9,B1
2039,124.8333333,91.8,158.6,B1
2040,119.1666667,82.9,154.9,B1
2041,121.6666667,83.5,159.1,B1
2042,124.6666667,76.8,173.6,B1
2043,126.5,74.9,178.9,B1
2044,135.5,85.3,185.3,B1
2045,139.6666667,95.3,181.3,B1
2046,140.8333333,99.7,180.5,B1
2047,134,90.8,174,B1
2048,136.8333333,94.5,176.9,B1
2049,147.5,100.6,190.6,B1
2050,150.3333333,99.1,191.5,B1
2051,148.8333333,100,193.2,B1
2052,153.5,96.1,204.1,B1
2053,151.1666667,89.3,204.5,B1
2023,110,110,110,B2
2024,110.8333333,107.6,115.2,B2
2025,110.6666667,106.8,114.8,B2
2026,117.1666667,100.9,114.5,B2
2027,116.3333333,99.3,114.9,B2
2028,113.1666667,95,110.6,B2
2029,113.8333333,96.6,115.4,B2
2030,115.1666667,99.1,114.3,B2
2031,118.6666667,99.9,121.9,B2
2032,119.8333333,101.2,141.6,B2
2033,121.3333333,99.9,147.5,B2
2034,127.8333333,102.6,158.2,B2
2035,133.8333333,109.2,165.6,B2
2036,140.6666667,120.1,163.7,B2
2037,133.8333333,109.5,159.1,B2
2038,130,109.9,155.1,B2
2039,126.1666667,104,151.6,B2
2040,124.8333333,107.1,145.5,B2
2041,128.1666667,109.2,149.6,B2
2042,134.6666667,104.2,161.8,B2
2043,132.1666667,95.6,170.4,B2
2044,127,92.8,162.4,B2
2045,126.3333333,85.7,165.3,B2
2046,128.6666667,87.9,165.1,B2
2047,141.1666667,99.5,178.7,B2
2048,141.1666667,100.3,177.1,B2
2049,146.6666667,104.3,186.3,B2
2050,145.1666667,100.1,188.1,B2
2051,141.8333333,96.8,182.8,B2
2052,145.1666667,93.9,192.3,B2
2053,156,100.4,210.8,B2
2023,110,110,110,B3
2024,107.5,106.8,108,B3
2025,113.6666667,107.3,120.5,B3
2026,116.6666667,101.7,136.5,B3
2027,116.3333333,99,139.8,B3
2028,112.3333333,94.3,134.7,B3
2029,117.1666667,99,137.8,B3
2030,118.3333333,101.2,137.2,B3
2031,121.6666667,103.2,140.8,B3
2032,125.1666667,113.8,138.2,B3
2033,128.3333333,115.1,137.9,B3
2034,133.1666667,119,146.6,B3
2035,140.1666667,116.9,157.7,B3
2036,150.8333333,125.2,172.8,B3
2037,146.6666667,114.9,173.7,B3
2038,150.6666667,118.2,179.8,B3
2039,153.1666667,113.5,187.9,B3
2040,153.8333333,117.6,183.6,B3
2041,149.1666667,115.5,181.1,B3
2042,143.6666667,105.3,180.1,B3
2043,148.8333333,99,176.2,B3
2044,145,97.9,166.3,B3
2045,140,88.1,166.9,B3
2046,148.8333333,91.1,179.9,B3
2047,149,98,178,B3
2048,149.5,97.6,181.2,B3
2049,149.3333333,99.6,182.8,B3
2050,149,95.6,186.8,B3
2051,149.6666667,91,195,B3
2052,145.5,85.6,194,B3
2053,149.8333333,91.4,199,B3
2023,110,110,110,B4
2024,104.6666667,102.1,108.1,B4
2025,107.8333333,102.8,112,B4
2026,106.3333333,103,109.4,B4
2027,117.5,111.1,122.3,B4
2028,117.8333333,114.6,120.6,B4
2029,121.6666667,116.1,129.3,B4
2030,119.5,115.6,123.2,B4
2031,122.1666667,111.8,133.8,B4
2032,121.5,111.9,129.5,B4
2033,124.5,122.5,127.3,B4
2034,124,120.6,127,B4
2035,116.8333333,111.8,121,B4
2036,115,108.3,120.7,B4
2037,113.1666667,102.7,123.5,B4
2038,119.8333333,112.2,128.6,B4
2039,117.1666667,101.2,134.4,B4
2040,111.5,94.8,132,B4
2041,112.6666667,93.7,138.1,B4
2042,112.6666667,90.7,142.3,B4
2043,109.6666667,81,147.4,B4
2044,109.8333333,78.1,153.3,B4
2045,95.33333333,70.3,121.1,B4
2046,95.5,71.4,120.6,B4
2047,94.66666667,63.3,126.1,B4
2048,100.6666667,69.1,131.1,B4
2049,103.8333333,61.5,145.5,B4
2050,107.5,63.1,151.9,B4
2051,125.3333333,71.7,177.7,B4
2052,123.3333333,79,164.6,B4
2053,124,77.7,170.1,B4
