"years","values","pop_size","num_clutches"
"1",2022,"low values",114,10
"2",2023,"low values",115,10
"3",2024,"low values",116,10
"4",2025,"low values",108,10
"5",2026,"low values",97,10
"6",2027,"low values",103,10
"7",2028,"low values",92,10
"8",2029,"low values",79,10
"9",2030,"low values",79,10
"10",2031,"low values",79,10
"11",2032,"low values",79,10
"12",2033,"low values",71,10
"13",2034,"low values",73,10
"14",2035,"low values",71,10
"15",2036,"low values",73,10
"16",2037,"low values",74,10
"17",2038,"low values",72,10
"18",2039,"low values",80,10
"19",2040,"low values",83,10
"20",2041,"low values",83,10
"21",2042,"low values",79,10
"22",2043,"low values",87,10
"23",2044,"low values",77,10
"24",2045,"low values",75,10
"25",2046,"low values",65,10
"26",2047,"low values",63,10
"27",2048,"low values",65,10
"28",2049,"low values",59,10
"29",2050,"low values",52,10
"30",2051,"low values",54,10
"31",2052,"low values",60,10
"32",2022,"low values",114,15
"33",2023,"low values",108,15
"34",2024,"low values",109,15
"35",2025,"low values",92,15
"36",2026,"low values",97,15
"37",2027,"low values",86,15
"38",2028,"low values",92,15
"39",2029,"low values",83,15
"40",2030,"low values",94,15
"41",2031,"low values",104,15
"42",2032,"low values",97,15
"43",2033,"low values",91,15
"44",2034,"low values",88,15
"45",2035,"low values",79,15
"46",2036,"low values",67,15
"47",2037,"low values",58,15
"48",2038,"low values",49,15
"49",2039,"low values",51,15
"50",2040,"low values",46,15
"51",2041,"low values",40,15
"52",2042,"low values",41,15
"53",2043,"low values",31,15
"54",2044,"low values",32,15
"55",2045,"low values",30,15
"56",2046,"low values",28,15
"57",2047,"low values",28,15
"58",2048,"low values",27,15
"59",2049,"low values",25,15
"60",2050,"low values",22,15
"61",2051,"low values",24,15
"62",2052,"low values",28,15
"63",2022,"low values",114,20
"64",2023,"low values",113,20
"65",2024,"low values",115,20
"66",2025,"low values",105,20
"67",2026,"low values",116,20
"68",2027,"low values",103,20
"69",2028,"low values",115,20
"70",2029,"low values",112,20
"71",2030,"low values",95,20
"72",2031,"low values",82,20
"73",2032,"low values",79,20
"74",2033,"low values",83,20
"75",2034,"low values",90,20
"76",2035,"low values",97,20
"77",2036,"low values",90,20
"78",2037,"low values",85,20
"79",2038,"low values",83,20
"80",2039,"low values",93,20
"81",2040,"low values",92,20
"82",2041,"low values",96,20
"83",2042,"low values",85,20
"84",2043,"low values",91,20
"85",2044,"low values",78,20
"86",2045,"low values",89,20
"87",2046,"low values",72,20
"88",2047,"low values",78,20
"89",2048,"low values",73,20
"90",2049,"low values",72,20
"91",2050,"low values",68,20
"92",2051,"low values",72,20
"93",2052,"low values",69,20
"94",2022,"low values",114,25
"95",2023,"low values",118,25
"96",2024,"low values",118,25
"97",2025,"low values",123,25
"98",2026,"low values",109,25
"99",2027,"low values",111,25
"100",2028,"low values",107,25
"101",2029,"low values",117,25
"102",2030,"low values",126,25
"103",2031,"low values",115,25
"104",2032,"low values",83,25
"105",2033,"low values",86,25
"106",2034,"low values",79,25
"107",2035,"low values",92,25
"108",2036,"low values",70,25
"109",2037,"low values",74,25
"110",2038,"low values",63,25
"111",2039,"low values",65,25
"112",2040,"low values",69,25
"113",2041,"low values",68,25
"114",2042,"low values",65,25
"115",2043,"low values",57,25
"116",2044,"low values",56,25
"117",2045,"low values",51,25
"118",2046,"low values",53,25
"119",2047,"low values",48,25
"120",2048,"low values",49,25
"121",2049,"low values",54,25
"122",2050,"low values",54,25
"123",2051,"low values",45,25
"124",2052,"low values",51,25
"125",2022,"med values",114,10
"126",2023,"med values",106,10
"127",2024,"med values",112,10
"128",2025,"med values",109,10
"129",2026,"med values",109,10
