"years","values","pop_size","initN"
2022,"low values",116,58
2023,"low values",96,58
2024,"low values",94,58
2025,"low values",93,58
2026,"low values",86,58
2027,"low values",81,58
2028,"low values",69,58
2029,"low values",63,58
2030,"low values",65,58
2031,"low values",54,58
2032,"low values",50,58
2033,"low values",52,58
2034,"low values",49,58
2035,"low values",55,58
2036,"low values",58,58
2037,"low values",51,58
2038,"low values",49,58
2039,"low values",57,58
2040,"low values",59,58
2041,"low values",59,58
2042,"low values",58,58
2043,"low values",50,58
2044,"low values",55,58
2045,"low values",48,58
2046,"low values",42,58
2047,"low values",35,58
2048,"low values",31,58
2049,"low values",29,58
2050,"low values",25,58
2051,"low values",25,58
2052,"low values",18,58
2022,"low values",8,58
2023,"low values",7,58
2024,"low values",7,58
2025,"low values",6,58
2026,"low values",6,58
2027,"low values",6,58
2028,"low values",5,58
2029,"low values",5,58
2030,"low values",4,58
2031,"low values",3,58
2032,"low values",2,58
2033,"low values",2,58
2034,"low values",1,58
2035,"low values",0,58
2036,"low values",0,58
2037,"low values",0,58
2038,"low values",0,58
2039,"low values",0,58
2040,"low values",0,58
2041,"low values",0,58
2042,"low values",0,58
2043,"low values",0,58
2044,"low values",0,58
2045,"low values",0,58
2046,"low values",0,58
2047,"low values",0,58
2048,"low values",0,58
2049,"low values",0,58
2050,"low values",0,58
2051,"low values",0,58
2052,"low values",0,58
2022,"low values",16,58
2023,"low values",12,58
2024,"low values",11,58
2025,"low values",12,58
2026,"low values",9,58
2027,"low values",9,58
2028,"low values",7,58
2029,"low values",7,58
2030,"low values",6,58
2031,"low values",6,58
2032,"low values",5,58
2033,"low values",5,58
2034,"low values",5,58
2035,"low values",5,58
2036,"low values",4,58
2037,"low values",4,58
2038,"low values",3,58
2039,"low values",2,58
2040,"low values",1,58
2041,"low values",0,58
2042,"low values",0,58
2043,"low values",0,58
2044,"low values",0,58
2045,"low values",0,58
2046,"low values",0,58
2047,"low values",0,58
2048,"low values",0,58
2049,"low values",0,58
2050,"low values",0,58
2051,"low values",0,58
2052,"low values",0,58
2022,"low values",24,4
2023,"low values",26,4
2024,"low values",25,4
2025,"low values",22,4
2026,"low values",20,4
2027,"low values",18,4
2028,"low values",19,4
2029,"low values",19,4
2030,"low values",16,4
2031,"low values",13,4
2032,"low values",12,4
2033,"low values",11,4
2034,"low values",9,4
2035,"low values",8,4
2036,"low values",8,4
2037,"low values",8,4
2038,"low values",8,4
2039,"low values",7,4
2040,"low values",7,4
2041,"low values",6,4
2042,"low values",6,4
2043,"low values",5,4
2044,"low values",5,4
2045,"low values",4,4
2046,"low values",4,4
2047,"low values",4,4
2048,"low values",3,4
2049,"low values",2,4
