"years","initN","mean","lcl","ucl"
"1987","3800",7600,7600,7600
"1988","3800",7584.71905542656,6977,8189
"1989","3800",7569.40540617475,6716,8434
"1990","3800",7553.77390638975,6513,8617
"1991","3800",7538.45881772446,6341,8772
"1992","3800",7523.23080727554,6186,8906
"1993","3800",7508.12064009288,6046,9026
"1994","3800",7493.17383875129,5917,9135
"1995","3800",7478.21658539732,5794,9236
"1996","3800",7463.1061002322,5678,9330
"1997","3800",7448.15210216718,5568,9419
"1998","3800",7433.80048254214,5462,9503
"1999","3800",7419.20340660475,5362,9581
"2000","3800",7404.51147127623,5264,9656
"2001","3800",7389.88823572411,5171,9728
"2002","3800",7375.22817565359,5078,9798
"2003","3800",7360.64505994152,4990,9862
"2004","3800",7346.11842672859,4902,9925
"2005","3800",7332.04884399725,4818,9989
"2006","3800",7317.18220958032,4735,10046
"2007","3800",7302.555749914,4655,10103
"2008","3800",7288.12560397317,4575,10158
"2009","3800",7273.57128422773,4497,10213
"2010","3800",7259.30680147059,4422,10264
"2011","3800",7244.74797875817,4349,10314
"2012","3800",7230.55310612315,4275,10364
"2013","3800",7216.60288196594,4206,10412
"2014","3800",7202.76106363949,4136,10459
"2015","3800",7188.59092690059,4067,10505
"2016","3800",7174.57984644823,4000,10549
"2017","3800",7160.2507995356,3935,10593
"1987","4000",8000,8000,8000
"1988","4000",7983.98401590987,7365,8600
"1989","4000",7968.02091021672,7098,8847
"1990","4000",7951.92863441692,6890,9034
"1991","4000",7935.78744685243,6713,9191
"1992","4000",7919.57017621259,6554,9326
"1993","4000",7903.69712246302,6410,9448
"1994","4000",7887.83252055384,6276,9560
"1995","4000",7872.13836622807,6150,9663
"1996","4000",7856.18905534056,6030,9758
"1997","4000",7840.3882131063,5916,9847
"1998","4000",7824.49297652219,5808,9931
"1999","4000",7808.55798060716,5703,10009
"2000","4000",7792.76028328173,5601,10086
"2001","4000",7776.97222200722,5502,10157
"2002","4000",7761.51856363949,5407,10228
"2003","4000",7746.04742419161,5314,10295
"2004","4000",7730.60783814929,5225,10359
"2005","4000",7715.41383126935,5137,10422
"2006","4000",7699.93852124183,5051,10480
"2007","4000",7684.69309176127,4967,10536
"2008","4000",7669.81438411593,4886,10594
"2009","4000",7654.42076401789,4805,10648
"2010","4000",7639.4395368937,4726,10700
"2011","4000",7624.12213583591,4647,10750
"2012","4000",7608.98052330581,4572,10799
"2013","4000",7593.85900103199,4497,10846
"2014","4000",7578.86293326453,4423,10894
"2015","4000",7563.86728564671,4351,10938
"2016","4000",7548.45366830065,4278,10984
"2017","4000",7533.57157752838,4208,11027
"1987","4200",8400,8400,8400
"1988","4200",8383.02221568627,7755,9008
"1989","4200",8366.00949092707,7482,9258
"1990","4200",8349.01273224114,7270,9447
"1991","4200",8331.87545829033,7089,9605
"1992","4200",8315.0929629343,6926,9743
"1993","4200",8298.10861068111,6778,9866
"1994","4200",8281.26030641555,6641,9978
"1995","4200",8264.52626436188,6510,10080
"1996","4200",8247.84779489164,6388,10176
"1997","4200",8231.59030667355,6271,10266
"1998","4200",8215.51735689714,6160,10352
"1999","4200",8199.31227231682,6053,10432
"2000","4200",8182.85048034916,5948,10508
"2001","4200",8166.38513540592,5848,10580
"2002","4200",8149.78864899381,5750,10650
"2003","4200",8133.47955237358,5655,10717
"2004","4200",8116.98196396629,5560,10780
"2005","4200",8101.05918395253,5470,10843
"2006","4200",8084.87078293774,5381,10902
"2007","4200",8068.42132245442,5292,10960
"2008","4200",8052.55282383041,5207,11015
"2009","4200",8036.39786915205,5123,11069
"2010","4200",8019.77553345373,5040,11122
"2011","4200",8003.59624608703,4958,11171
"2012","4200",7987.74662280702,4878,11221
"2013","4200",7972.27892909357,4802,11268
"2014","4200",7956.26796581527,4725,11315
"2015","4200",7940.36685939113,4651,11360
"2016","4200",7924.75603431373,4576,11405
"2017","4200",7909.10705198658,4503,11448
"1987","4400",8800,8800,8800
"1988","4400",8781.86103181975,8146,9414
"1989","4400",8764.0778379773,7870,9666
"1990","4400",8746.12230529756,7654,9857
"1991","4400",8728.25996985724,7468,10015
"1992","4400",8710.56120472136,7303,10153
"1993","4400",8692.39009700722,7153,10276
"1994","4400",8675.10383561232,7012,10389
"1995","4400",8657.48903603371,6879,10492
"1996","4400",8640.01538390093,6754,10588
"1997","4400",8622.38057039044,6633,10678
"1998","4400",8605.05430654455,6520,10762
"1999","4400",8587.8646747506,6409,10844
"2000","4400",8570.63789413485,6301,10919
"2001","4400",8553.11624539904,6197,10992
"2002","4400",8535.98032684038,6097,11061
"2003","4400",8518.91574238906,5998,11129
"2004","4400",8501.99826633987,5903,11192
"2005","4400",8484.85182155143,5808,11253
"2006","4400",8467.7078130375,5716,11312
"2007","4400",8451.05251633987,5626,11370
"2008","4400",8434.33083638631,5537,11426
"2009","4400",8417.52625786894,5450,11481
"2010","4400",8400.65082688338,5366,11534
"2011","4400",8384.02144057448,5281,11585
"2012","4400",8367.28064649983,5199,11633
"2013","4400",8350.45531759546,5119,11681
"2014","4400",8333.62948202614,5038,11729
"2015","4400",8316.84147755418,4959,11772
"2016","4400",8300.20976096491,4881,11818
"2017","4400",8283.86833346233,4806,11860
"1987","4600",9200,9200,9200
"1988","4600",9181.24129729962,8540,9819
"1989","4600",9162.05747368421,8260,10072
"1990","4600",9143.43826793086,8040,10263
"1991","4600",9124.81345704334,7853,10422
"1992","4600",9106.28282881837,7685,10559
"1993","4600",9087.51316842965,7531,10683
"1994","4600",9068.93878603371,7389,10794
"1995","4600",9050.60613527692,7254,10898
"1996","4600",9032.2429375645,7126,10995
"1997","4600",9013.60080860853,7004,11084
"1998","4600",8995.19747918817,6885,11168
"1999","4600",8977.22206755246,6771,11249
"2000","4600",8958.89843154455,6662,11325
"2001","4600",8940.95817664259,6555,11399
"2002","4600",8922.83418846749,6453,11467
"2003","4600",8904.88766361369,6352,11533
"2004","4600",8887.20477648779,6252,11597
"2005","4600",8869.23383956828,6156,11658
"2006","4600",8851.43950094599,6060,11717
"2007","4600",8833.56337770898,5967,11774
"2008","4600",8816.04728904369,5876,11829
"2009","4600",8798.21225997592,5786,11882
"2010","4600",8780.80251625387,5699,11934
"2011","4600",8763.49390488476,5612,11986
"2012","4600",8745.783874398,5527,12034
"2013","4600",8728.08244392845,5443,12083
"2014","4600",8710.32950240798,5359,12129
"2015","4600",8692.84225933093,5278,12174
"2016","4600",8675.52014611283,5196,12220
"2017","4600",8658.48239748882,5119,12263
"1987","4800",9600,9600,9600
"1988","4800",9580.13163282594,8936,10220
"1989","4800",9560.56791825765,8653,10475
"1990","4800",9540.93968562952,8431,10665
"1991","4800",9521.35898202614,8241,10824
"1992","4800",9502.01393042656,8071,10961
"1993","4800",9482.75722402821,7916,11084
"1994","4800",9463.17482834537,7770,11195
"1995","4800",9444.31088458892,7633,11300
"1996","4800",9425.12609115927,7502,11395
"1997","4800",9405.75077334881,7379,11483
"1998","4800",9386.71333204334,7259,11567
"1999","4800",9367.69931544548,7144,11646
"2000","4800",9348.47908281734,7032,11722
"2001","4800",9329.73989275886,6922,11794
"2002","4800",9311.10829136567,6816,11862
"2003","4800",9292.0625623925,6713,11927
"2004","4800",9273.31848047816,6610,11992
"2005","4800",9254.30666627967,6510,12052
"2006","4800",9235.79136498108,6412,12111
"2007","4800",9217.0002000344,6316,12168
"2008","4800",9198.82556789646,6223,12223
