"years","initN","mean","lcl","ucl"
2022,100,200,200,200
2023,100,193.328295878911,168,219
2024,100,186.774222266031,153,224
2025,100,180.314968688511,140,225
2026,100,174.006475345712,129,224
2027,100,167.855231620175,120,222
2028,100,161.926951712057,111,219
2029,100,156.052464680216,103,216
2030,100,150.336522085237,95,212
2031,100,144.735096317609,88,208
2032,100,139.264838801043,81,203
2033,100,133.950595348756,75,198
2034,100,128.796589798905,70,192
2035,100,123.715736409541,65,186
2036,100,118.795561991009,61,180
2037,100,114.0139993986,57,174
2038,100,109.3158813944,54,167
2039,100,104.744381836716,51,161
2040,100,100.268416009223,49,154
2041,100,95.9321958717995,46,147
2042,100,91.7030951522403,44,140
2043,100,87.6013480971673,42,133
2044,100,83.5985909517969,40,126
2045,100,79.7275413836946,38,119
2046,100,75.9323702404228,37,112
2047,100,72.2640658395958,35,106
2048,100,68.6967093303122,34,99
2049,100,65.2249355241602,32,93
2050,100,61.8776397038915,31,87
2051,100,58.610974555282,30,81
2052,100,55.4485621918916,28,76
2022,150,300,300,300
2023,150,287.659253690906,250,329
2024,150,275.727897490298,224,335
2025,150,264.131434044486,200,337
2026,150,252.717472516151,176,336
2027,150,241.647066735861,151,334
2028,150,230.979656609289,114,330
2029,150,220.710914932669,88.75,325
2030,150,210.577954537649,80,319
2031,150,200.874525400381,74,312
2032,150,191.409800315191,69,305
2033,150,182.234042959136,65.5,297
2034,150,173.273227239252,62,289
2035,150,164.596933752571,59,279
2036,150,156.320213078535,56,270
2037,150,148.302881368221,54,260
2038,150,140.438656926006,51,249
2039,150,132.786280398225,49,237
2040,150,125.411193110054,47,225
2041,150,118.384337926376,45,213
2042,150,111.579569607308,43,199
2043,150,104.99204485181,41,184
2044,150,98.5709008902439,40,168
2045,150,92.4419290399637,38,151
2046,150,86.5742102089956,37,136
2047,150,80.8667963428641,35,122
2048,150,75.4171830819307,34,110
2049,150,70.0425365274762,32,100
2050,150,64.9089570065213,31,90
2051,150,60.0166982748423,30,82
2052,150,55.2663920507664,28,76
2022,200,400,400,400
2023,200,381.662959775506,333,439
2024,200,364.065820600879,293,447
2025,200,347.161010139737,250,450
2026,200,330.696988669272,132,449
2027,200,314.502649138979,106.5,446
2028,200,298.776768743831,96.5,441
2029,200,283.814095295586,90,434
2030,200,269.413600137046,84,427
2031,200,255.442120697953,79,419
2032,200,241.949701028657,75,410
2033,200,228.998951764869,71,400
2034,200,216.354476820544,67,389
2035,200,203.962522535016,64,377
2036,200,192.101509540163,61,365
2037,200,180.744397856216,58,352
2038,200,169.76544821229,55,338
2039,200,159.23068514606,53,323
2040,200,149.019712530692,51,309
2041,200,139.217733120151,48,293
2042,200,129.843943485035,46,277
2043,200,121.039374077186,44,260
2044,200,112.313006273096,42,240
2045,200,104.00131947107,41,217
2046,200,95.9792025255533,39,187
2047,200,88.3810681393623,37,151
2048,200,81.0619559985969,36,122
2049,200,74.1970580077822,34,104
2050,200,67.5591783794366,33,92
2051,200,61.3268760145856,31,82
2052,200,55.2925493730983,30,76
2022,250,500,500,500
2023,250,475.564751682894,416,548
2024,250,451.780747118135,360,559
2025,250,428.490921041227,267,561
2026,250,406.562523473839,131.5,560
2027,250,384.950166844827,119,555
2028,250,364.384902348828,110,548
2029,250,344.211539017132,102,538
2030,250,324.447115245717,95,527
2031,250,305.618095079883,89,513
2032,250,287.969000086673,84,500
2033,250,270.633367520874,80,486
2034,250,254.06522477104,75,470
2035,250,237.749754427527,71,455
2036,250,222.709003842487,68,437
2037,250,208.067218241701,65,420
2038,250,194.19292245688,61.25,400
2039,250,180.845679369023,59,382
2040,250,168.187801548551,56,364
2041,250,156.23538843787,53,346
2042,250,144.755926241586,51,327
2043,250,133.744196544651,48.25,305
2044,250,123.574123161818,46,285
2045,250,113.432160604397,44,260
2046,250,103.944684800508,42,235
2047,250,94.6833017941236,41,195
2048,250,85.956793690232,39,135
2049,250,77.9340096206628,37,107
2050,250,70.2300183457083,35.625,92
2051,250,63.0474135440441,34,83
2052,250,56.2602526507382,32,76
