"years","initN","mean","lcl","ucl"
2022,100,200,200,200
2023,100,182.75940694148,156,217
2024,100,166.8401662361,52,218
2025,100,152.56340559362,45,216
2026,100,138.525497023475,40,210
2027,100,125.552735033135,36,204
2028,100,114.194176120409,32,195
2029,100,103.802004942154,29,188
2030,100,93.7123160732337,27,179
2031,100,84.8778501628665,24,169
2032,100,76.6070144894979,22,159
2033,100,69.1424800629001,20,150
2034,100,62.1359373244974,18,138
2035,100,55.6390261709536,16,127
2036,100,50.0184207570482,15,115
2037,100,44.8269684376053,13,105
2038,100,40.032124003145,12,94
2039,100,35.7262158822869,11,86
2040,100,31.7414354711895,10,75
2041,100,27.9277771537684,9,65
2042,100,24.4757946759519,8,55
2043,100,21.4598169156464,7,46
2044,100,18.7933561720768,7,37
2045,100,16.519684376053,6,31
2046,100,14.4397955745254,5,24
2047,100,12.5393406716837,5,19
2048,100,10.8641188363473,4,16
2049,100,9.43563967202067,3,13
2050,100,8.20386386611255,3,12
2051,100,6.99997191957767,2,10
2052,100,5.90006177692912,2,9
2022,150,300,300,300
2023,150,272.249149659864,232.7,324
2024,150,244.544703595724,72,327
2025,150,221.55029154519,65,323
2026,150,200.931000971817,59,314
2027,150,182.330417881438,52,310
2028,150,164.711370262391,46,299
2029,150,149.587463556851,41,290
2030,150,134.277453838678,35.35,278
2031,150,118.856049562682,30,259
2032,150,105.172376093294,25,241
2033,150,93.5685131195335,21,218
2034,150,83.6396987366375,18,198.3
2035,150,74.6932701652089,16,182.6
2036,150,65.8333333333333,14,159.6
2037,150,58.0706997084548,13,141
2038,150,51.1688532555879,11,121.3
2039,150,44.8362487852284,10,104.3
2040,150,39.7248542274052,9,88
2041,150,34.9425413022352,8,74
2042,150,29.8826530612245,7.60000000000001,63
2043,150,25.8177842565598,7,54
2044,150,21.7490281827017,6,44
2045,150,18.5512633624879,6,36.3
2046,150,15.9465500485909,5,31
2047,150,14.1175898931001,4,28
2048,150,11.8634596695821,4,18.65
2049,150,10.1853741496599,3,14
2050,150,8.4851797862002,2,12
2051,150,7.13678328474247,2,10
2052,150,5.78984450923226,1,9
2022,200,400,400,400
2023,200,365.148774795799,305.2,436
2024,200,326.996207701284,97.65,437.4
2025,200,295.172403733956,87,433.2
2026,200,267.697782963827,80.3,424.4
2027,200,237.55950991832,67.6,411.4
2028,200,213.113768961494,54.55,393.4
2029,200,190.653442240373,46,387
2030,200,172.955075845974,28.6,360.8
2031,200,152.770711785298,23.4,352
2032,200,129.278879813302,21,311.4
2033,200,116.149358226371,18,294.8
2034,200,104.438739789965,16,278
2035,200,91.487747957993,14,251.4
2036,200,80.9139439906651,14,220.2
2037,200,70.2532088681447,12,195
2038,200,61.3255542590432,11.7,158.4
2039,200,54.2149941656943,11,129.4
2040,200,46.3302217036173,10,88.4
2041,200,40.2809218203034,9,78
2042,200,35.4346557759627,8,69
2043,200,30.0005834305718,7,60.4
2044,200,25.1899066511085,7,51
2045,200,22.0991831971995,6,46
2046,200,17.9232788798133,5,39.4
2047,200,14.9620770128355,4,34
2048,200,12.4168611435239,4,25
2049,200,10.392065344224,4,15
2050,200,8.79317386231038,3,12
2051,200,7.32234539089848,2,10
2052,200,5.89527421236873,2,9
2022,250,500,500,500
2023,250,445.930970149254,355.3,545.9
2024,250,395.419154228856,115.3,543.7
2025,250,357.549751243781,104,537
2026,250,314.956467661692,89,519
2027,250,279.205845771144,77,498.7
2028,250,246.850746268657,65,470.9
2029,250,218.757462686567,51.025,456.9
2030,250,192.236940298507,38.025,436.5
2031,250,167.496268656716,25.1,400
2032,250,151.942164179104,23.55,378
2033,250,136.053482587065,22,346.9
2034,250,119.28855721393,19.775,328.9
2035,250,106.186567164179,17.525,304.9
2036,250,88.7151741293532,16,252.9
2037,250,77.3575870646766,14,218.7
2038,250,68.2549751243781,13,174.1
2039,250,58.8936567164179,12,123.8
2040,250,50.7649253731343,11,99.7000000000001
2041,250,42.9838308457711,9,82.9
2042,250,37.1940298507463,9,72.7000000000001
2043,250,31.353855721393,8,65
2044,250,26.1610696517413,8,54.9
2045,250,20.830223880597,7,49
2046,250,18.1411691542289,6,41.9
2047,250,14.4794776119403,5,31.9
2048,250,12.0715174129353,4,19
2049,250,10.773631840796,4,16
2050,250,9.17786069651741,3,12
2051,250,7.84141791044776,3,11
2052,250,6.16791044776119,2,9
