"years","initN","mean","lcl","ucl"
2022,100,200,200,200
2023,100,182.714919719584,157,217
2024,100,166.353007688829,51.25,217
2025,100,152.007745364089,44.25,215
2026,100,137.958842152872,40,209
2027,100,126.072082767978,36,203
2028,100,114.989767073722,32,196
2029,100,103.976594301221,29,187
2030,100,94.5212290818634,27,179
2031,100,84.9947704658526,24,170
2032,100,76.5420341474446,22,160
2033,100,68.4459520578924,20,147
2034,100,61.5260345997286,18,136
2035,100,55.3765547263682,16,126
2036,100,49.3959746720941,15,115
2037,100,44.1606173677069,13,104
2038,100,39.2918928086839,12,94
2039,100,34.9274366802352,11,84
2040,100,30.7640490728177,10,73
2041,100,27.2290818634102,9,63
2042,100,24.0214834916327,8,54
2043,100,21.1132971506106,7,45
2044,100,18.7615897783808,6.07500000000002,37
2045,100,16.41157847128,6,29
2046,100,14.395578923564,5,23
2047,100,12.4696687019448,4,19
2048,100,10.7798790140208,4,15
2049,100,9.40179782903664,3,13
2050,100,8.07683175033921,3,12
2051,100,6.92548620533695,2,10
2052,100,5.8493894165536,1,9
2022,150,300,300,300
2023,150,274.597402597403,236,327
2024,150,247.668947124304,74,325
2025,150,225.758928571429,65,323
2026,150,203.266813543599,56.25,319
2027,150,183.525510204082,51,308
2028,150,164.532235621521,45,297
2029,150,148.384624304267,40,286
2030,150,133.467416512059,34,275.5
2031,150,118.164540816327,29.25,255
2032,150,106.149930426716,24,244
2033,150,95.300672541744,19,234
2034,150,85.0019712430427,16,212
2035,150,75.6313775510204,15,190.5
2036,150,66.9211502782931,13,173
2037,150,58.7043135435993,12,152.5
2038,150,51.4191790352505,11,122.5
2039,150,45.2418831168831,10,101
2040,150,39.1421614100186,9,81
2041,150,33.4152365491651,8,66
2042,150,28.8060064935065,8,57
2043,150,24.8079777365492,7,51
2044,150,21.3641001855288,6,46.5
2045,150,18.4086270871985,5,39.5
2046,150,15.9181354359926,5,33
2047,150,13.6515538033395,4,25
2048,150,11.5207560296846,3.125,18
2049,150,9.82026901669759,3,14
2050,150,8.34230055658627,2,12
2051,150,7.02214749536178,2,10
2052,150,5.77307513914657,1,9
2022,200,400,400,400
2023,200,360.181506849315,296.2,434.8
2024,200,327.860211706102,95.35,441.8
2025,200,293.850560398506,85.6,439
2026,200,264.586861768369,76,426
2027,200,236.602117061021,69,409.8
2028,200,210.084682440847,58,388.8
2029,200,186.428704856787,47,382.2
2030,200,164.979452054795,30.4,364.4
2031,200,149.096824408468,22.55,339.8
2032,200,134.054483188045,20,318.6
2033,200,117.902241594022,18,295.6
2034,200,102.607721046077,17,259
2035,200,90.1351183063512,16,244
2036,200,78.6460149439602,14,203
2037,200,67.0470112079701,13,173.8
2038,200,58.9741594022416,12,138
2039,200,51.9713574097136,11,109.8
2040,200,45.5168119551681,10,89.6000000000001
2041,200,38.8539850560399,9,76.4
2042,200,33.865504358655,8,68.8000000000001
2043,200,27.9788293897883,7,59
2044,200,24.1681195516812,6.1,53.8000000000001
2045,200,20.5554171855542,6,46.2
2046,200,17.2020547945205,5,40
2047,200,14.7954545454545,4.2,34
2048,200,12.2300747198007,4,23
2049,200,10.1861768368618,3,14
2050,200,8.49252801992528,3,12
2051,200,7.10180572851806,2,10
2052,200,5.85803237858032,2,9
2022,250,500,500,500
2023,250,450.466381418093,380.8,542.2
2024,250,400.64608801956,117,551
2025,250,339.993887530562,99.2,535
2026,250,308.399144254279,86.6,521.2
2027,250,279.068459657702,78,516.2
2028,250,253.788508557457,67,502.4
2029,250,221.243276283619,53.6,457.4
2030,250,196.743887530562,33.8,437.6
2031,250,172.129584352078,26,410.4
2032,250,151.14608801956,21.95,379
2033,250,131.441320293399,20,338.8
2034,250,116.253056234719,18.8,318.6
2035,250,103.004278728606,17,287.6
2036,250,90.2677261613692,15,246.4
2037,250,76.4902200488998,14,183.4
2038,250,66.7341075794621,12.2,141.4
2039,250,56.8581907090465,11,107.2
2040,250,50.1246943765281,10,101.2
2041,250,42.6491442542787,9.85,87.4
2042,250,37.7982885085575,9,76.2
2043,250,29.5586797066015,8,64.15
2044,250,25.4468215158924,7,55.4
2045,250,22.0690709046455,7,50
2046,250,18.8092909535452,6,41
2047,250,15.9957212713936,5,35
2048,250,13.3264058679707,5,19
2049,250,10.4932762836186,4,14
2050,250,8.9559902200489,4,12
2051,250,7.55378973105134,3,10
2052,250,6.03667481662592,2,9
