"years","initN","mean","lcl","ucl"
2022,100,200,200,200
2023,100,199.343544955357,174,225
2024,100,198.681732410714,164,235
2025,100,198.026208348214,156,243
2026,100,197.346629464286,149,250
2027,100,196.6806846875,143,255
2028,100,196.0164709375,138,261
2029,100,195.325672366071,133,265
2030,100,194.652035758929,129,269
2031,100,193.979713482143,124,273
2032,100,193.320988794643,120,277
2033,100,192.644081026786,117,281
2034,100,191.980121383929,113,284
2035,100,191.328619151786,110,287
2036,100,190.671486964286,107,290
2037,100,190.016406919643,103,293
2038,100,189.371764910714,100,295
2039,100,188.703754910714,98,298
2040,100,188.018380625,95,300
2041,100,187.369457276786,92,302
2042,100,186.714801651786,90,304
2043,100,186.058387142857,87,307
2044,100,185.384902232143,85,308
2045,100,184.721440848214,82,310
2046,100,184.068541383929,80,312
2047,100,183.416239419643,78,314
2048,100,182.762391919643,76,316
2049,100,182.107232857143,74,317
2050,100,181.448793080357,72,319
2051,100,180.789413392857,70,320
2052,100,180.153920089286,68,322
2022,150,300,300,300
2023,150,299.24215875,262,337
2024,150,298.478770223214,247,352
2025,150,297.705954598214,235,365
2026,150,296.936356383929,225,375
2027,150,296.169687857143,217,383
2028,150,295.396717946429,209,391
2029,150,294.627682366071,202,398
2030,150,293.842557366071,195,405
2031,150,293.073637455357,189,411
2032,150,292.313155223214,184,417
2033,150,291.521369375,178,422
2034,150,290.764145535714,173,427
2035,150,290.009659642857,168,432
2036,150,289.261681875,163,437
2037,150,288.495954598214,159,441
2038,150,287.708123526786,155,445
2039,150,286.955063616071,151,450
2040,150,286.208085491071,147,454
2041,150,285.462515178571,143,457
2042,150,284.712748125,139,461
2043,150,283.967451964286,136,464
2044,150,283.201985446429,132,468
2045,150,282.450411964286,129,471
2046,150,281.687725535714,126,474
2047,150,280.903344821429,122,477
2048,150,280.131356339286,120,479
2049,150,279.387914553571,117,482
2050,150,278.640362991071,114,485
2051,150,277.880975535714,111,487
2052,150,277.121006830357,108,490
2022,200,400,400,400
2023,200,399.131435133929,350,449
2024,200,398.2380215625,330,470
2025,200,397.382554553571,314,486
2026,200,396.508615044643,302,499
2027,200,395.643670357143,290,511
2028,200,394.754299553571,280,521
2029,200,393.886476071429,271,531
2030,200,392.9938615625,263,540
2031,200,392.128781741071,255,548
2032,200,391.234573348214,247,556
2033,200,390.3628503125,240,563
2034,200,389.476844821429,233,570
2035,200,388.633899732143,227,577
2036,200,387.734447455357,221,583
2037,200,386.874338303571,215,589
2038,200,386.001184330357,209,595
2039,200,385.140575848214,204,600
2040,200,384.2937790625,199,605
2041,200,383.428937410714,194,611
2042,200,382.566483705357,189,616
2043,200,381.691911160714,184,620
2044,200,380.816666160714,180,625
2045,200,379.961826205357,176,629
2046,200,379.074223169643,171,633
2047,200,378.214207678571,167,638
2048,200,377.335297366071,163,642
2049,200,376.435833392857,160,645
2050,200,375.567700044643,156,649
2051,200,374.67257,152,653
2052,200,373.782735803571,149,656
2022,250,500,500,500
2023,250,499.03260625,438,560
2024,250,498.026075044643,413,586
2025,250,497.039103616071,394,606
2026,250,496.038711607143,379,623
2027,250,495.029593125,365,637
2028,250,494.041422142857,352,651
2029,250,493.027573928571,341,662
2030,250,491.990153125,330,674
2031,250,491.021594866071,321,684
2032,250,490.026606294643,311,694
2033,250,489.035800535714,303,703
2034,250,488.029673571429,294,712
2035,250,487.053290089286,286,720
2036,250,486.083467544643,279,728
2037,250,485.059729330357,272,735
2038,250,484.0877528125,265,743
2039,250,483.100950714286,258,750
2040,250,482.120172633929,252,756
2041,250,481.146320892857,245,763
2042,250,480.1734015625,239,769
2043,250,479.171041026786,234,775
2044,250,478.192907232143,228,781
2045,250,477.218556428571,223,786
2046,250,476.226151741071,218,792
2047,250,475.2310015625,213,797
2048,250,474.2173946875,208,802
2049,250,473.233285758929,203,807
2050,250,472.2604696875,199,811
2051,250,471.292135758929,194,816
2052,250,470.2627178125,190,820
