"years","initN","mean","lcl","ucl"
2022,100,200,200,200
2023,100,199.342099330357,174,225
2024,100,198.6786575,164,235
2025,100,198.007232678571,156,243
2026,100,197.349523348214,149,250
2027,100,196.684166205357,143,255
2028,100,196.009198973214,138,261
2029,100,195.3266390625,133,265
2030,100,194.658228526786,129,269
2031,100,193.996934285714,124,273
2032,100,193.327245401786,120,277
2033,100,192.652922276786,117,281
2034,100,191.984530491071,113,284
2035,100,191.321023973214,110,287
2036,100,190.656100089286,106,290
2037,100,189.990136026786,103,293
2038,100,189.324611830357,100,295
2039,100,188.672030357143,98,298
2040,100,188.017338303571,95,300
2041,100,187.348293482143,92,302
2042,100,186.680537857143,90,304
2043,100,186.021368839286,87,306
2044,100,185.360859464286,85,308
2045,100,184.709589821429,82,310
2046,100,184.050579107143,80,312
2047,100,183.403692410714,78,314
2048,100,182.733198705357,76,316
2049,100,182.070491875,74,317
2050,100,181.414499419643,72,319
2051,100,180.7510603125,70,320
2052,100,180.100528080357,68,321
2022,150,300,300,300
2023,150,299.235979241071,262,337
2024,150,298.487983660714,247,353
2025,150,297.727420089286,235,365
2026,150,296.961046964286,225,375
2027,150,296.205726607143,217,383
2028,150,295.436842455357,209,391
2029,150,294.656460580357,202,398
2030,150,293.892492544643,195,405
2031,150,293.118472455357,189,411
2032,150,292.341159285714,184,417
2033,150,291.559602053571,178,422
2034,150,290.800590223214,173,427
2035,150,290.019438392857,168,432
2036,150,289.2513075,163,437
2037,150,288.493510401786,159,441
2038,150,287.726102053571,155,446
2039,150,286.943847321429,151,450
2040,150,286.173230892857,147,453
2041,150,285.396494017857,143,457
2042,150,284.645966473214,139,461
2043,150,283.888181205357,136,464
2044,150,283.122185089286,132,467
2045,150,282.392942232143,129,471
2046,150,281.638235982143,125,473
2047,150,280.874118169643,122,476
2048,150,280.085524241071,119,479
2049,150,279.339655758929,116,482
2050,150,278.573674776786,114,485
2051,150,277.822828482143,111,487
2052,150,277.055861919643,108,490
2022,200,400,400,400
2023,200,399.122713169643,350,449
2024,200,398.277505133929,330,470
2025,200,397.3900284375,314,486
2026,200,396.520151071429,302,499
2027,200,395.614747901786,290,511
2028,200,394.739006785714,280,521
2029,200,393.887468392857,271,531
2030,200,393.008492991071,263,540
2031,200,392.129139285714,255,548
2032,200,391.242006741071,247,556
2033,200,390.372774241071,240,563
2034,200,389.501347901786,233,570
2035,200,388.625790446429,227,577
2036,200,387.7304259375,221,583
2037,200,386.890659196429,215,589
2038,200,385.982721071429,209,595
2039,200,385.140982767857,204,601
2040,200,384.279060803571,199,606
2041,200,383.384113348214,194,611
2042,200,382.541824285714,189,616
2043,200,381.680728526786,184,621
2044,200,380.798011383929,180,625
2045,200,379.917769107143,176,629
2046,200,379.050275714286,171,634
2047,200,378.185885446429,167,638
2048,200,377.325093660714,163,642
2049,200,376.446153080357,160,645
2050,200,375.559711071429,156,649
2051,200,374.685069821429,152,653
2052,200,373.827509910714,149,656
2022,250,500,500,500
2023,250,499.016954955357,438,560
2024,250,498.001455267857,413,586
2025,250,496.990384151786,394,606
2026,250,495.966809598214,378,623
2027,250,495.000701830357,365,637
2028,250,493.960925848214,352,650
2029,250,492.987447901786,341,663
2030,250,491.99422375,330,674
2031,250,490.983097276786,321,684
2032,250,489.937288035714,311,694
2033,250,488.951779151786,303,703
2034,250,487.951748348214,294,711
2035,250,486.960528348214,286,720
2036,250,485.987121964286,279,728
2037,250,485.002584598214,272,735
2038,250,483.998798794643,265,742
2039,250,483.006796964286,258,749
2040,250,482.064845044643,252,756
2041,250,481.100982723214,246,763
2042,250,480.0943403125,240,769
2043,250,479.101069776786,234,775
2044,250,478.093715,228,780
2045,250,477.079172857143,223,786
2046,250,476.086865401786,218,792
2047,250,475.102265491071,213,796
2048,250,474.091606071429,208,802
2049,250,473.08010125,203,807
2050,250,472.074540982143,199,811
2051,250,471.103586294643,194,816
2052,250,470.135782098214,190,820
