"years","initN","mean","lcl","ucl"
2022,100,200,200,200
2023,100,199.334179464286,174,225
2024,100,198.671390491071,164,235
2025,100,198.004841160714,156,243
2026,100,197.3428921875,149,250
2027,100,196.675829866071,143,255
2028,100,196.000548839286,138,260
2029,100,195.334338794643,133,265
2030,100,194.672844732143,129,269
2031,100,194.008960133929,124,273
2032,100,193.346514375,120,277
2033,100,192.697257991071,117,281
2034,100,192.032102991071,113,284
2035,100,191.365301964286,110,287
2036,100,190.696632678571,107,290
2037,100,190.031848883929,104,292
2038,100,189.381267366071,100,295
2039,100,188.728127321429,98,298
2040,100,188.066129642857,95,300
2041,100,187.400547723214,92,302
2042,100,186.732659107143,90,304
2043,100,186.055270401786,87,306
2044,100,185.404250625,85,308
2045,100,184.729467410714,83,310
2046,100,184.060770223214,80,312
2047,100,183.417090714286,78,314
2048,100,182.759922053571,76,316
2049,100,182.101808705357,74,317
2050,100,181.440490089286,72,319
2051,100,180.7945784375,70,320
2052,100,180.129093616071,68,322
2022,150,300,300,300
2023,150,299.231800401786,262,337
2024,150,298.445487098214,247,352
2025,150,297.664174017857,235,364
2026,150,296.909656651786,225,375
2027,150,296.1567109375,217,383
2028,150,295.3932059375,209,391
2029,150,294.647492232143,202,399
2030,150,293.881518348214,195,405
2031,150,293.107260803571,189,411
2032,150,292.334456830357,184,417
2033,150,291.569134107143,178,422
2034,150,290.798893526786,173,428
2035,150,290.035634955357,168,433
2036,150,289.264053839286,163,437
2037,150,288.480133928571,159,441
2038,150,287.723363526786,155,446
2039,150,286.958276116071,151,450
2040,150,286.175481964286,147,453
2041,150,285.411244598214,143,457
2042,150,284.659245044643,139,461
2043,150,283.879648169643,136,464
2044,150,283.094933883929,132,467
2045,150,282.315636741071,129,470
2046,150,281.5422478125,126,473
2047,150,280.779505714286,122,476
2048,150,280.030492276786,119,479
2049,150,279.283376964286,116,482
2050,150,278.506005625,114,485
2051,150,277.754213616071,111,487
2052,150,276.980760803571,108,489
2022,200,400,400,400
2023,200,399.119979866071,350,449
2024,200,398.241733214286,330,470
2025,200,397.345198928571,314,485
2026,200,396.437936294643,302,499
2027,200,395.564128526786,290,511
2028,200,394.677304910714,280,521
2029,200,393.779846607143,271,531
2030,200,392.887920089286,263,540
2031,200,391.999466428571,255,548
2032,200,391.156447276786,247,556
2033,200,390.280692276786,240,563
2034,200,389.410540580357,233,570
2035,200,388.546685982143,227,577
2036,200,387.6949790625,221,583
2037,200,386.783231071429,215,589
2038,200,385.882941517857,210,595
2039,200,385.008540848214,204,600
2040,200,384.1549821875,199,605
2041,200,383.289300580357,194,611
2042,200,382.411894866071,189,615
2043,200,381.528702142857,184,620
2044,200,380.586381696429,180,624
2045,200,379.704505580357,176,629
2046,200,378.85119875,171,633
2047,200,377.965367098214,167,637
2048,200,377.096461026786,163,641
2049,200,376.240939419643,160,645
2050,200,375.359439419643,156,648
2051,200,374.470284419643,152,652
2052,200,373.598259464286,149,656
2022,250,500,500,500
2023,250,499.01451875,438,560
2024,250,497.987233883929,413,586
2025,250,497.005048973214,394,606
2026,250,496.040786339286,379,623
2027,250,495.047179955357,365,637
2028,250,494.035842767857,352,651
2029,250,493.065442232143,341,663
2030,250,492.112495580357,330,674
2031,250,491.112426160714,321,684
2032,250,490.121900446429,311,694
2033,250,489.118065535714,303,703
2034,250,488.129223035714,294,712
2035,250,487.145446919643,286,720
2036,250,486.148055357143,279,728
2037,250,485.178485491071,272,736
2038,250,484.178427589286,265,743
2039,250,483.208240178571,258,750
2040,250,482.203079598214,252,756
2041,250,481.234412366071,246,763
2042,250,480.274361339286,240,769
2043,250,479.318306607143,234,775
2044,250,478.318646160714,228,781
2045,250,477.297389508929,223,787
2046,250,476.283480892857,218,792
2047,250,475.292125357143,213,797
2048,250,474.310365491071,208,802
2049,250,473.280380803571,203,807
2050,250,472.2761209375,199,812
2051,250,471.284669464286,194,816
2052,250,470.309775,190,821
