"years","initN","mean","lcl","ucl"
2022,100,296,296,296
2023,100,277.818181818182,224,326
2024,100,259.772727272727,202.5,343.7
2025,100,243.409090909091,198.2,285.9
2026,100,351.227272727273,280.7,416.8
2027,100,311.102272727273,119.1,396.1
2028,100,191.181818181818,64.525,353
2029,100,150.738636363636,23.65,342.6
2030,100,125.806818181818,19.5,303
2031,100,92.4545454545455,16.775,240.4
2032,100,67.4772727272727,11.525,173.9
2033,100,46.9659090909091,11.2,96
2034,100,45.4659090909091,10.3,107.1
2035,100,36.3068181818182,9.05,96.7000000000001
2036,100,33.6022727272727,8.1,95.8000000000001
2037,100,33.7045454545455,6.55,103
2038,100,33.7727272727273,5.1,104.8
2039,100,27.375,5,56.1
2040,100,19.0568181818182,4.1,28.375
2041,100,17.4659090909091,3.1,23.5
2042,100,9.84090909090909,3.1,22.8
2043,100,8.54545454545454,2.1,19.8
2044,100,5.59090909090909,2,8.675
2045,100,4.68181818181818,1.1,6
2046,100,3.22727272727273,0.775,4.9
2047,100,2.03409090909091,0,4
2048,100,1.5,0,3
2049,100,1,0,2
2050,100,0.545454545454545,0,1.9
2051,100,0.272727272727273,0,1
2052,100,0,0,0
2022,150,396,396,396
2023,150,404.5,363,440.5
2024,150,380.666666666667,309,427.5
2025,150,395.833333333333,299.5,496
2026,150,481.166666666667,392.5,562.5
2027,150,407.291666666667,242.375,542
2028,150,425.333333333333,252,587
2029,150,393,212.5,552.5
2030,150,341.5,193.5,474
2031,150,312.166666666667,189.5,447
2032,150,278,181,391
2033,150,219.541666666667,87.125,351
2034,150,181.833333333333,52,353
2035,150,130.5,44.5,249.5
2036,150,131.208333333333,26.125,275.5
2037,150,128.708333333333,11.625,271
2038,150,83.125,10,208
2039,150,82.0416666666667,7.125,217.5
2040,150,79.8333333333333,7,213
2041,150,69.5833333333333,6.5,191
2042,150,27.9583333333333,5.5,68.375
2043,150,24.8333333333333,4.5,60
2044,150,10.8333333333333,3,22
2045,150,4.58333333333333,2,7
2046,150,2.66666666666667,1,4.5
2047,150,2.16666666666667,1,3.5
2048,150,1.5,0.5,3
2049,150,0.833333333333333,0,2
2050,150,0.5,0,1.5
2051,150,0.166666666666667,0,0.5
2052,150,0,0,0
2022,200,496,496,496
2023,200,476.5,434.5,518.5
2024,200,474,439.6,508.4
2025,200,483,399.8,566.2
2026,200,608,536,680
2027,200,596,559.2,632.8
2028,200,554.5,549.3,559.7
2029,200,351.875,160.575,543.175
2030,200,81.75,39.15,124.35
2031,200,31,30.2,31.8
2032,200,18.125,9.425,26.825
2033,200,18.5,9.3,27.7
2034,200,18,10,26
2035,200,13.5,6.7,20.3
2036,200,14,6.8,21.2
2037,200,12,6.4,17.6
2038,200,10,6,14
2039,200,9,5,13
2040,200,8.5,4.9,12.1
2041,200,7,4.6,9.4
2042,200,6.5,4.5,8.5
2043,200,6.5,4.5,8.5
2044,200,2.375,1.875,2.875
2045,200,2,1.2,2.8
2046,200,2,1.2,2.8
2047,200,1.5,1.1,1.9
2048,200,1,1,1
2049,200,1,1,1
2050,200,0.5,0.1,0.9
2051,200,0,0,0
2052,200,0,0,0
2022,250,596,596,596
2023,250,559.333333333333,532.4,591.6
2024,250,573,554,588.4
2025,250,507.666666666667,490.8,523.6
2026,250,495.583333333333,315.2,637
2027,250,308.75,165.8,479.2
2028,250,276.333333333333,175,392.6
2029,250,226.666666666667,160.4,298
2030,250,171.25,72,282.6
2031,250,168,69.8,273.8
2032,250,83.5,47.7,130.9
2033,250,61.3333333333333,20.4,108.4
2034,250,57.6666666666667,17.6,106.4
2035,250,59,14.6,115.4
2036,250,51.6666666666667,13.2,100.4
2037,250,46,13.2,88.4
2038,250,44,12.6,83.8
2039,250,13.25,6.4,21.8
2040,250,10.3333333333333,5.4,16.6
2041,250,9.66666666666667,5.2,15.6
2042,250,10,5,17
2043,250,9.33333333333333,4.2,16.2
2044,250,4.16666666666667,3.3,4.9
2045,250,4,3.2,4.8
2046,250,3.33333333333333,2.2,4.6
2047,250,2.66666666666667,1.2,4.4
2048,250,2,0.4,3.6
2049,250,1.66666666666667,0.4,2.8
2050,250,1,0.2,1.8
2051,250,0.333333333333333,0,0.8
2052,250,0,0,0
