"years","initN","mean","lcl","ucl"
2022,100,296,296,296
2023,100,295.231058258929,258,332
2024,100,294.490874955357,243,348
2025,100,293.732020089286,232,360
2026,100,412.963860580357,342,490
2027,100,412.1066821875,326,505
2028,100,411.214406026786,313,519
2029,100,410.30818625,301,531
2030,100,409.419422544643,290,542
2031,100,408.5322003125,281,551
2032,100,407.630297053571,272,561
2033,100,406.760401741071,264,569
2034,100,405.871937098214,256,577
2035,100,404.949334776786,249,585
2036,100,404.070068571429,242,592
2037,100,403.182236651786,235,599
2038,100,402.356660982143,229,605
2039,100,401.460877589286,223,611
2040,100,400.583755982143,217,617
2041,100,399.711082455357,212,623
2042,100,398.83386375,207,628
2043,100,397.96773125,201,634
2044,100,397.081688214286,196,639
2045,100,396.190573392857,192,644
2046,100,395.286554330357,187,648
2047,100,394.397951830357,183,653
2048,100,393.5163690625,178,657
2049,100,392.614378303571,174,661
2050,100,391.713273526786,170,666
2051,100,390.816514776786,166,670
2052,100,389.925756651786,162,674
2022,150,396,396,396
2023,150,395.140500446429,346,444
2024,150,394.259629330357,326,465
2025,150,393.390238035714,311,481
2026,150,512.520980892857,418,614
2027,150,511.507173839286,400,632
2028,150,510.508058928571,385,648
2029,150,509.502256026786,371,662
2030,150,508.525058705357,358,675
2031,150,507.532006071429,347,687
2032,150,506.542701830357,336,698
2033,150,505.549671607143,327,709
2034,150,504.547032455357,317,719
2035,150,503.583463794643,309,728
2036,150,502.595813973214,300,737
2037,150,501.571140982143,292,745
2038,150,500.5427790625,285,753
2039,150,499.548963169643,277,761
2040,150,498.544455089286,270,768
2041,150,497.542113214286,264,775
2042,150,496.518841875,257,782
2043,150,495.506660580357,251,788
2044,150,494.492930669643,245,794
2045,150,493.470966964286,239,801
2046,150,492.483361205357,234,806
2047,150,491.430987723214,228,812
2048,150,490.438822232143,223,818
2049,150,489.429430580357,218,823
2050,150,488.4523215625,213,828
2051,150,487.428811651786,208,833
2052,150,486.418414553571,204,838
2022,200,496,496,496
2023,200,495.037303705357,435,556
2024,200,494.022606160714,410,581
2025,200,493.029094732143,391,601
2026,200,612.040727098214,495,738
2027,200,610.8844059375,475,759
2028,200,609.746275,457,777
2029,200,608.602400580357,441,793
2030,200,607.464125,427,808
2031,200,606.312211473214,414,822
2032,200,605.175094910714,401,835
2033,200,604.060382276786,390,847
2034,200,602.942875803571,379,859
2035,200,601.850437410714,369,870
2036,200,600.706210669643,359,880
2037,200,599.531766383929,350,890
2038,200,598.409417098214,341,899
2039,200,597.243435848214,332,908
2040,200,596.098796071429,324,917
2041,200,594.975861160714,316,925
2042,200,593.810751875,309,933
2043,200,592.652034241071,301,941
2044,200,591.521677633929,294,949
2045,200,590.397210267857,287,956
2046,200,589.217639151786,281,963
2047,200,588.054737991071,274,969
2048,200,586.9272065625,268,976
2049,200,585.7954009375,262,982
2050,200,584.674357321429,257,988
2051,200,583.509595223214,251,994
2052,200,582.371085625,245,1000
2022,250,596,596,596
2023,250,594.890526071429,523,667
2024,250,593.855921339286,494,698
2025,250,592.720863214286,472,721
2026,250,711.617180223214,573,861
2027,250,710.345247901786,550,884
2028,250,709.032130714286,530,905
2029,250,707.771383125,512,924
2030,250,706.494742991071,496,940
2031,250,705.223072321429,481,956
2032,250,703.933476473214,467,971
2033,250,702.635600491071,453,985
2034,250,701.378229196429,441,998
2035,250,700.146278883929,430,1011
2036,250,698.867048035714,418,1022
2037,250,697.601262053571,408,1034
2038,250,696.294547589286,397,1045
2039,250,694.98468,387,1055
2040,250,693.740670223214,378,1065
2041,250,692.450300491071,369,1074
2042,250,691.16860125,360,1084
2043,250,689.858897767857,352,1092
2044,250,688.600175446429,344,1101
2045,250,687.3149121875,336,1109
2046,250,686.012892901786,328,1117
2047,250,684.783158348214,321,1125
2048,250,683.470657901786,314,1133
2049,250,682.2364415625,307,1140
2050,250,680.938387455357,300,1147
2051,250,679.712053794643,294,1154
2052,250,678.452410133929,288,1161
