"years","initN","mean","lcl","ucl"
2022,200,500,500,500
2023,200,457.023835029459,389.6,541
2024,200,421.300482056776,130.4,547
2025,200,385.843733261918,111.45,543
2026,200,352.39823245849,102,539
2027,200,319.993706480986,92,522
2028,200,291.617702196036,81,513.4
2029,200,264.562265666845,72,490
2030,200,243.622121049813,63.9,473
2031,200,221.280262453133,54,456.8
2032,200,201.197911087306,44,431
2033,200,182.177155865024,35.65,417
2034,200,165.167916443492,30,394
2035,200,147.781199785753,27,365.4
2036,200,131.219603642207,24,332.8
2037,200,118.365291912159,22,299.8
2038,200,105.416845206213,20.3,266
2039,200,94.0811462238886,19,232
2040,200,83.7072844134976,17,198.4
2041,200,73.5923942153187,16,167
2042,200,64.7232190680236,15,139
2043,200,56.3512319228709,14,118
2044,200,48.9334493840386,13,103.4
2045,200,42.6094001071237,12,89
2046,200,36.4823245848956,11,80
2047,200,31.2566952329941,10,70
2048,200,26.9787091590787,9.45000000000002,59
2049,200,22.7929833958222,9,37
2050,200,19.0927959292983,8,25.3000000000001
2051,200,16.3144081414033,7,21
2052,200,13.3780128548473,7,19
2022,225,550,550,550
2023,225,506.593501805054,435,596
2024,225,457.743321299639,139.2,602
2025,225,423.75523465704,121,608
2026,225,387.407400722022,110,595.6
2027,225,352.527436823105,97.6,589.8
2028,225,321.307220216606,86.3,566
2029,225,289.97274368231,74.4,548
2030,225,266.208303249097,65,532.2
2031,225,239.292238267148,53.4,496.2
2032,225,214.98844765343,36,474.6
2033,225,193.261010830325,31,453
2034,225,175.690252707581,28,430.6
2035,225,158.620216606498,26,405
2036,225,141.703068592058,24.45,373
2037,225,126.200180505415,22,336.6
2038,225,113.085920577617,21,290.6
2039,225,99.4447653429603,20,246.8
2040,225,89.3236462093863,19,205.8
2041,225,77.6167870036101,17,170.2
2042,225,68.5830324909747,15.35,146
2043,225,60.2198555956679,14,118.6
2044,225,53.1137184115523,13.25,107
2045,225,45.5037906137184,12,96
2046,225,39.9575812274368,11.1,85
2047,225,34.1359205776173,11,75
2048,225,29.270036101083,10,66.6000000000001
2049,225,24.2425992779783,9,52
2050,225,20.2884476534296,8,27
2051,225,16.8164259927798,8,22
2052,225,13.6438628158845,7,19
2022,250,600,600,600
2023,250,553.942414431082,475,659
2024,250,507.961840888067,149,677
2025,250,464.164662349676,133.5,664
2026,250,421.808973172988,117,659
2027,250,385.658186864015,107,639
2028,250,339.109620721554,89,620
2029,250,304.562210915819,79,586
2030,250,280.179463459759,70,577
2031,250,252.793246993525,59,550
2032,250,227.981267345051,43,520
2033,250,205.392229417206,37,493
2034,250,181.152173913043,31,453
2035,250,161.234505087882,28,416
2036,250,143.511100832562,25,386
2037,250,128.996068455134,22,348
2038,250,110.56914893617,20.75,287
2039,250,95.9303885291397,19,217
2040,250,84.477335800185,18,187
2041,250,73.5797872340426,16,148
2042,250,63.817992599445,15,128
2043,250,55.3096669750231,14,112
2044,250,48.817992599445,14,102
2045,250,41.9495837187789,13,89
2046,250,36.3034227567068,11,81
2047,250,31.4322386679001,11,73
2048,250,27.6676688251619,10,64
2049,250,23.0494912118409,9,50
2050,250,19.3172987974098,8,27
2051,250,16.2985661424607,7,21
2052,250,13.3381128584644,6,19
2022,275,650,650,650
2023,275,585.951388888889,493.7,709.3
2024,275,531.813405797101,156.875,705.3
2025,275,487.320350241546,139.525,700
2026,275,443.039553140097,125.525,689.3
2027,275,401.698369565217,113.6,672
2028,275,370.172101449275,101.175,652.3
2029,275,326.592693236715,82,617.3
2030,275,293.49577294686,66,595
2031,275,264.528079710145,47.55,564.3
2032,275,237.204106280193,36,537.6
2033,275,211.39402173913,32,515.8
2034,275,189.393719806763,27.775,465.6
2035,275,170.382850241546,25,439.8
2036,275,152.800422705314,24,391
2037,275,135.995169082126,22,357.6
2038,275,119.910326086957,21,318.3
2039,275,102.614130434783,19,255.5
2040,275,91.8526570048309,18,210
2041,275,80.911231884058,16,163.5
2042,275,67.5984299516908,15,134
2043,275,57.3288043478261,14,112
2044,275,49.5540458937198,13,98
2045,275,42.2958937198068,12,88
2046,275,35.99788647343,11,82
2047,275,30.580615942029,10,75
2048,275,26.1340579710145,9,63
2049,275,22.0694444444444,9,33.3000000000001
2050,275,18.6579106280193,8,24
2051,275,15.9631642512077,7,21
2052,275,13.1881038647343,6.175,19
2022,300,700,700,700
2023,300,638.631699846861,543.4,763
2024,300,578.675727411945,172.05,767
2025,300,528.745788667688,147,771.6
2026,300,478.802067381317,134,748.8
2027,300,435.85145482389,121,726.6
2028,300,391.617534456355,110,710
2029,300,356.184915773354,89,697
2030,300,314.749617151608,73,660
2031,300,280.681852986217,51.6,620.6
2032,300,249.857580398162,42.2,566
2033,300,223.601071975498,36,536
2034,300,201.508805513017,31,530.6
2035,300,178.56202143951,28,481.8
2036,300,159.1202143951,25,436
2037,300,145.590735068913,23,410.4
2038,300,129.125574272588,21,358.6
2039,300,115.535604900459,20,320
2040,300,101.401225114855,19,221.4
2041,300,90.0846094946401,17,169.6
2042,300,79.6179173047473,16,149.2
2043,300,66.1232771822358,15.1,126
2044,300,57.9923430321593,14,109
2045,300,50.0566615620214,13,100
2046,300,42.5581929555896,12,92
2047,300,35.8920367534456,11,82.8000000000001
2048,300,29.0038284839204,10,71.2000000000001
2049,300,23.97932618683,9,53.8000000000001
2050,300,19.7507656967841,9,27
2051,300,17.0987748851455,8,22
2052,300,13.4862174578867,7,19
