"years","initN","mean","lcl","ucl"
2022,200,500,500,500
2023,200,458.091196626252,387.6,542
2024,200,420.112150764365,128.4,549
2025,200,386.237612018977,112,549
2026,200,352.083684765419,100,538.4
2027,200,321.225487612019,91,528
2028,200,289.709804955192,80.3,508
2029,200,263.1081971534,70,484.4
2030,200,236.296125461255,59,470
2031,200,215.260147601476,48,455
2032,200,193.899051133368,41,429.4
2033,200,175.780311017396,33.15,400
2034,200,160.653795466526,29,387
2035,200,142.068265682657,25,354
2036,200,126.184238270954,22,320.4
2037,200,111.52503953611,21,280.4
2038,200,99.1066157090142,19,243
2039,200,86.1895097522404,18,201
2040,200,76.2799156562994,16,168.4
2041,200,66.4351607801792,15,141
2042,200,59.0453347390617,14,123.4
2043,200,52.5720875065894,13,108.4
2044,200,46.4037954665261,12,98
2045,200,39.8385608856089,12,86
2046,200,35.3707169214549,11,78
2047,200,29.6761992619926,10,64
2048,200,25.2054559831313,9,48
2049,200,21.7231154454402,8,31
2050,200,18.5674749604639,8,25
2051,200,15.6261201897733,7,21
2052,200,13.2444649446494,6,19
2022,225,550,550,550
2023,225,502.312045123726,431.3,595.7
2024,225,456.558588064047,141,598.7
2025,225,417.931404657933,122,594
2026,225,380.890647743814,109,588
2027,225,350.758551673945,99,579.1
2028,225,315.636098981077,87,558.7
2029,225,290.814956331878,75,541.7
2030,225,265.45942503639,66,517
2031,225,238.795669577875,56,493.7
2032,225,211.855531295488,44.3,472.4
2033,225,188.623544395924,35.825,440.1
2034,225,168.341521106259,29,401
2035,225,150.588791848617,25.15,370.4
2036,225,132.902838427948,23,336.7
2037,225,117.942321688501,21,298
2038,225,102.744177583697,20,257.7
2039,225,93.5387554585153,19,220.4
2040,225,81.723981077147,17,181.7
2041,225,71.4215793304221,16,150.7
2042,225,63.3018558951965,14,129
2043,225,54.1473799126638,14,111
2044,225,47.2079694323144,13,100
2045,225,41.5300218340611,12,92
2046,225,35.5877001455604,11,80
2047,225,30.2851164483261,10,66.7
2048,225,26.0864264919942,9.825,53
2049,225,21.9255822416303,8.30000000000001,33.7
2050,225,18.2079694323144,8,24
2051,225,15.6149927219796,7,21
2052,225,13.3729985443959,6,19
2022,250,600,600,600
2023,250,551.770680147059,475,656.3
2024,250,508.744025735294,163.175,665
2025,250,464.860753676471,140.7,661
2026,250,420.224724264706,124,649.3
2027,250,387.378676470588,113,645.3
2028,250,349.908777573529,97,624
2029,250,319.758272058824,82,607.3
2030,250,290.62890625,72.225,583.5
2031,250,261.645450367647,56,556.3
2032,250,230.6953125,42,515.3
2033,250,208.586397058824,33.7,483
2034,250,185.43359375,29.7,446.3
2035,250,166.214384191176,27,421
2036,250,147.990349264706,25,395
2037,250,130.931755514706,23,347.6
2038,250,117.806985294118,21,304.3
2039,250,104.180606617647,20,256.3
2040,250,89.4034926470588,17.175,199
2041,250,79.3377757352941,16,160
2042,250,70.7385110294118,15,141
2043,250,60.3416819852941,14,123.3
2044,250,50.2612591911765,13,106
2045,250,43.6465992647059,12,92
2046,250,36.5032169117647,11,83
2047,250,30.51171875,10,71
2048,250,26.3635110294118,10,58.3000000000001
2049,250,22.4329044117647,9,40
2050,250,19.0907628676471,8,25
2051,250,15.8145680147059,8,21
2052,250,13.3818933823529,7,19
2022,275,650,650,650
2023,275,595.578335373317,517.6,709.4
2024,275,537.914320685435,161.75,704
2025,275,492.99541003672,141.8,703.4
2026,275,457.508873929009,130.7,694
2027,275,418.435128518972,117,681.4
2028,275,375.088739290086,105.15,664.4
2029,275,344.420440636475,91.6,646.4
2030,275,309.053243574051,77,619.4
2031,275,274.383414932681,60.6,576.4
2032,275,245.292839657283,37,545.4
2033,275,220.887086903305,33,516.4
2034,275,196.570379436965,29,475
2035,275,177.940636474908,26,445.8
2036,275,160.806915544676,23.75,416.2
2037,275,140.955936352509,22,366.8
2038,275,123.860159118727,19.15,333
2039,275,110.370563035496,19,305.2
2040,275,94.640452876377,17,235
2041,275,78.5205018359853,15,159.4
2042,275,66.3362913096695,15,131
2043,275,58.7151162790698,14,117
2044,275,50.7129742962056,13,104
2045,275,44.3148714810281,11,93
2046,275,37.2643818849449,11,83.4
2047,275,32.374847001224,10,75
2048,275,26.9856181150551,9,62.4
2049,275,22.6187270501836,8,41.4
2050,275,18.1435128518972,8,24
2051,275,15.7102203182375,7,21
2052,275,13.1083231334149,6,18.2
2022,300,700,700,700
2023,300,634.968888888889,525.8,762
2024,300,577.968518518519,176,764
2025,300,529.197407407407,156,758
2026,300,479.847777777778,139,744.2
2027,300,432.891481481481,124,715
2028,300,394.014444444444,110.8,704
2029,300,358.617407407407,93.9,690
2030,300,318.355185185185,78,647.6
2031,300,287.760740740741,48.1,620.6
2032,300,255.245555555556,39,580.2
2033,300,223.232222222222,36,528.6
2034,300,200.514074074074,32,501
2035,300,179.999259259259,28,449.6
2036,300,157.912592592593,25.3,404.8
2037,300,141.527407407407,23,350.4
2038,300,126.434074074074,21,320
2039,300,109.284814814815,19,280.2
2040,300,96.9281481481482,18,204.8
2041,300,84.5544444444444,17,169
2042,300,73.4166666666667,15,143
2043,300,62.6777777777778,14,124.6
2044,300,54.0411111111111,13.4,107
2045,300,43.2622222222222,12,94.6
2046,300,36.322962962963,12,86
2047,300,30.5359259259259,11,70.6
2048,300,26.442962962963,10,58
2049,300,22.9337037037037,9,45.6
2050,300,19.2414814814815,9,25
2051,300,16.1748148148148,8,21
2052,300,13.5085185185185,7,19
