"years","initN","mean","lcl","ucl"
2022,200,500,500,500
2023,200,426.691919191919,128.65,529
2024,200,374.280303030303,111.8,548
2025,200,300.808080808081,95,513
2026,200,263.126262626263,82.6,496.2
2027,200,241.588383838384,36.6,503.8
2028,200,221.04797979798,24.8,483.6
2029,200,174.888888888889,22.4,454.2
2030,200,155.815656565657,20.8,407.8
2031,200,128.207070707071,17,358.8
2032,200,111.795454545455,15.95,335
2033,200,91.3484848484848,13.8,302.4
2034,200,77.2020202020202,12.8,210.6
2035,200,62.9772727272727,11.8,123
2036,200,55.010101010101,10.8,119.6
2037,200,45.3560606060606,9,88.8
2038,200,36.2550505050505,9,67
2039,200,33.7070707070707,7,62.4
2040,200,24.9848484848485,7,56.15
2041,200,19.4015151515152,6,46
2042,200,16.9116161616162,6,40.6
2043,200,13.9318181818182,5,32.2
2044,200,10.979797979798,5,18.2
2045,200,9.36111111111111,4,13
2046,200,8.15151515151515,3,12
2047,200,7.01010101010101,2,10
2048,200,5.92929292929293,2,9
2049,200,5.08080808080808,1.8,7.2
2050,200,3.6969696969697,1,6
2051,200,2.97222222222222,0.800000000000001,5
2052,200,2.3459595959596,0,4
2022,225,550,550,550
2023,225,488.438271604938,134.5,603
2024,225,418.601851851852,130,596
2025,225,344.003086419753,111.75,559
2026,225,291.25,98,545
2027,225,260.373456790123,72,518
2028,225,233.021604938272,48,464
2029,225,187.475308641975,27.25,425
2030,225,164.549382716049,22,428
2031,225,152.268518518519,19,413
2032,225,120.475308641975,15,335
2033,225,105.37037037037,13,282
2034,225,89.5987654320988,12,254
2035,225,82.4753086419753,11,241
2036,225,74.75,11,215
2037,225,56.6358024691358,9,179
2038,225,43.4197530864198,9,95
2039,225,38.9351851851852,8,88
2040,225,30.1265432098765,7,54
2041,225,19.3302469135802,5,46
2042,225,16.9907407407407,5,37
2043,225,14.7530864197531,4,31
2044,225,12.7777777777778,4,28
2045,225,10.7777777777778,3,24
2046,225,8.97530864197531,3,21
2047,225,7.80864197530864,3,19
2048,225,6.33641975308642,2,9
2049,225,4.96604938271605,1,7
2050,225,3.79320987654321,1,6
2051,225,3.08641975308642,0,5
2052,225,2.45679012345679,0,4
2022,250,600,600,600
2023,250,550.052083333333,457.7,644.1
2024,250,505.046875,167.2,681.2
2025,250,425.401041666667,144.875,620.5
2026,250,384.489583333333,124.6,579.2
2027,250,316.244791666667,98,549.6
2028,250,255.708333333333,37.075,526.3
2029,250,223.536458333333,29.1,482.5
2030,250,197.848958333333,25.4,493
2031,250,176.333333333333,23.7,474.7
2032,250,146.729166666667,22.7,396.1
2033,250,123.067708333333,17.4,341.9
2034,250,107.088541666667,16.1,282.8
2035,250,85.3177083333333,13.75,193.4
2036,250,78.3333333333333,12.4,201.2
2037,250,71.7083333333333,12.4,207.1
2038,250,65.1302083333333,10.7,179.7
2039,250,58.09375,9,172.3
2040,250,54.4114583333333,9,121.7
2041,250,48.21875,7.7,83.1000000000003
2042,250,28.4635416666667,6.85,64.2250000000001
2043,250,25.4166666666667,5.7,56.3
2044,250,19.2395833333333,4.7,47.975
2045,250,16.4166666666667,3.7,37
2046,250,14.078125,3,25.3
2047,250,12.0625,3,23
2048,250,9.59375,2,14.9
2049,250,5.65625,1.7,9.80000000000003
2050,250,4.27604166666667,1,6
2051,250,3.83333333333333,1,5
2052,250,2.390625,0,4
2022,275,650,650,650
2023,275,543.198717948718,165.95,696.4
2024,275,503.74358974359,151.8,725.2
2025,275,439.076923076923,131.4,692.8
2026,275,393.903846153846,119.7,658.2
2027,275,347.564102564103,86.65,621.4
2028,275,297.564102564103,34.15,568.8
2029,275,242.230769230769,30.7,472.2
2030,275,206.358974358974,32.6,435.4
2031,275,167.544871794872,22.2,423
2032,275,159.205128205128,17,434.6
2033,275,119.705128205128,16.8,338.4
2034,275,107.544871794872,14.8,234.8
2035,275,93.7820512820513,15,242
2036,275,73.2179487179487,13,216.8
2037,275,62.1282051282051,11.8,132.8
2038,275,48.5576923076923,10,95
2039,275,39.8333333333333,10,76.6
2040,275,34.6858974358974,9,66.2
2041,275,26.1858974358974,8,59.4
2042,275,22.1666666666667,8,55.6
2043,275,16.7692307692308,7,41.6
2044,275,16.2564102564103,5.8,39.4
2045,275,11.6025641025641,4.8,26.2
2046,275,10.3846153846154,3.8,19.6
2047,275,8.58333333333333,3,14.2
2048,275,7.23076923076923,2,9.80000000000001
2049,275,4.83974358974359,2,7.2
2050,275,4.07692307692308,1,6
2051,275,2.83974358974359,1,5
2052,275,2.25641025641026,0,4
2022,300,700,700,700
2023,300,585.284090909091,215.875,699
2024,300,534.75,180.9,715.7
2025,300,462.568181818182,131.9,669.3
2026,300,446.556818181818,53.3,658.1
2027,300,407.818181818182,43.2,714.3
2028,300,336.363636363636,32.975,679.4
2029,300,331.136363636364,31,671.2
2030,300,271.727272727273,29.9,592.8
2031,300,236.204545454545,27.1,569.3
2032,300,192.715909090909,28,494.7
2033,300,165.886363636364,18.4,504.2
2034,300,94.8636363636364,15.5,163.5
2035,300,85.5454545454545,12.2,170.2
2036,300,86.6818181818182,11.1,166
2037,300,85.3181818181818,10.1,169.8
2038,300,75.4090909090909,10.1,154.5
2039,300,64.8068181818182,8.1,148.5
2040,300,54.9772727272727,7.1,149.3
2041,300,44.6931818181818,7,84.8000000000001
2042,300,23.4318181818182,6.1,51.425
2043,300,17.7954545454545,6.1,31.6
2044,300,16.8636363636364,5,34.4
2045,300,14.9204545454545,5,29.1
2046,300,14.4090909090909,5,29.7
2047,300,12.3522727272727,4,16.8
2048,300,10.3522727272727,3.1,16.2
2049,300,6.02272727272727,2.1,8
2050,300,4.27272727272727,2,6.9
2051,300,3.40909090909091,1.1,5
2052,300,2.63636363636364,1,4
