"years","initN","mean","lcl","ucl"
2022,200,500,500,500
2023,200,456.330432489451,389,546.5
2024,200,420.696729957806,129,548.5
2025,200,382.456223628692,110.625,546
2026,200,347.220464135021,98,537
2027,200,318.826872362869,89,527.5
2028,200,289.601529535865,80.375,515.5
2029,200,264.138317510549,71,492
2030,200,241.365901898734,63,481.5
2031,200,219.997099156118,54,463
2032,200,198.71848628692,44,439
2033,200,178.583992616034,33.125,414.5
2034,200,162.598892405063,29,388.5
2035,200,147.495912447257,27,366
2036,200,132.271756329114,24,341.5
2037,200,116.902821729958,22,305
2038,200,104.101133966245,20,262.5
2039,200,90.3516613924051,19,207
2040,200,78.8101265822785,17,174
2041,200,69.6279008438819,16,146.5
2042,200,61.0580168776371,15,125
2043,200,53.707805907173,14,110
2044,200,47.1881592827004,13,102
2045,200,41.2778217299578,12,90
2046,200,35.557753164557,11,80
2047,200,30.370385021097,10,69
2048,200,25.8164556962025,9.5,57
2049,200,22.0806962025316,9,33
2050,200,18.7439345991561,8,25
2051,200,16.0909810126582,7,21
2052,200,13.4816719409283,6,19
2022,225,550,550,550
2023,225,500.712104488595,430,593
2024,225,449.813649742458,138,596.2
2025,225,413.717071376012,122.45,598.2
2026,225,377.970198675497,109.7,589
2027,225,343.227189109639,97.9,568.2
2028,225,311.849889624724,86,552
2029,225,281.48749080206,74.8,534
2030,225,256.1304267844,64,514
2031,225,231.585724797645,51,497.2
2032,225,208.037895511405,39.85,470
2033,225,185.603384841795,32,441
2034,225,165.324135393672,28.7,412.2
2035,225,147.870676968359,27,375
2036,225,134.763061074319,23.85,348.4
2037,225,120.011221486387,22,310.6
2038,225,105.596946284032,20,278
2039,225,96.0445180279617,19,244
2040,225,83.8977189109639,17,198
2041,225,74.0202354672553,15,156.4
2042,225,64.9950331125828,15,134
2043,225,56.9681751287712,14,118
2044,225,49.1664827078734,13,102
2045,225,42.0340323767476,12,89
2046,225,36.967255334805,11,80
2047,225,32.1806475349522,10,70
2048,225,27.7454010301692,9,59
2049,225,23.0638337012509,8.80000000000001,43
2050,225,18.9530905077263,8,26
2051,225,16.1388888888889,7,21
2052,225,13.3590875643856,6,19
2022,250,600,600,600
2023,250,554.563367252544,484,654
2024,250,507.134366327475,151.75,668
2025,250,461.947733580019,133,659
2026,250,415.050647548566,119,645
2027,250,378.478260869565,108,623
2028,250,339.164893617021,94,610
2029,250,306.377197039778,83,586
2030,250,277.715541165587,70,560
2031,250,253.587187789084,54,540
2032,250,226.991674375578,38,511
2033,250,205.079093432007,34,476
2034,250,182.699352451434,29.25,443
2035,250,163.412580943571,27,406
2036,250,146.368871415356,24,380
2037,250,129.905411655874,22,336
2038,250,115.398242368178,20,296
2039,250,99.1269657724329,19,237
2040,250,88.9264569842738,18,197
2041,250,78.6857076780759,17,160
2042,250,66.9354764107308,16,128
2043,250,57.6008325624422,15,115
2044,250,49.5434782608696,14,100
2045,250,43.1653561517114,12,92
2046,250,37.7016651248844,11,84
2047,250,32.1288159111933,10,74
2048,250,26.9789546716004,10,62
2049,250,22.5198889916744,9,44
2050,250,18.4285383903793,8,24
2051,250,15.459296947271,7,20.25
2052,250,13.2402867715079,7,19
2022,275,650,650,650
2023,275,591.738554216867,504.9,702
2024,275,535.255421686747,157.95,712
2025,275,487.65813253012,141,705
2026,275,443.747590361446,127.8,698.2
2027,275,409.144879518072,111.225,690
2028,275,366.659337349398,100.45,671.1
2029,275,336.022590361446,87.7,646.1
2030,275,300.303313253012,69.8,608.1
2031,275,263.420481927711,46.475,588.1
2032,275,235.230120481928,36,533.1
2033,275,212.930421686747,33,507.3
2034,275,192.575602409639,29,463
2035,275,169.671686746988,27,444.2
2036,275,151.930421686747,25,401.1
2037,275,134.096385542169,23,351.5
2038,275,116.789156626506,21,311.3
2039,275,103.624397590361,19,242
2040,275,92.4487951807229,18,209.1
2041,275,78.9198795180723,16.95,161.4
2042,275,65.5298192771084,16,128.125
2043,275,57.3765060240964,15,114.1
2044,275,49.3653614457831,14,101.025
2045,275,43.5159638554217,12,93
2046,275,37.6201807228916,11,82
2047,275,32.7906626506024,11,73
2048,275,27.8725903614458,10,62.1
2049,275,23.2457831325301,9,48.9750000000001
2050,275,19.3816265060241,8,26
2051,275,16.4015060240964,7.925,22
2052,275,13.391265060241,7,19
2022,300,700,700,700
2023,300,636.487421383648,531.5,766
2024,300,580.637578616352,177,771
2025,300,528.907625786164,155,754.5
2026,300,491.22641509434,136.5,749
2027,300,450.602201257862,121.625,741
2028,300,410.889937106918,108.5,709.5
2029,300,366.56643081761,94.5,687.5
2030,300,329.33215408805,68.5,662.5
2031,300,292.603773584906,46,640.5
2032,300,259.503537735849,35,594.5
2033,300,228.401336477987,33,547
2034,300,202.176493710692,29.75,514.5
2035,300,184.185141509434,27.375,476.5
2036,300,163.082547169811,26,453
2037,300,146.117531446541,23.5,412.5
2038,300,128.32036163522,21,368.5
2039,300,110.690251572327,19.75,320.5
2040,300,95.6945754716981,18,186.5
2041,300,82.0683962264151,17,153.5
2042,300,70.5699685534591,16.5,134
2043,300,61.1827830188679,14.5,123.5
2044,300,52.9477201257862,14,108
2045,300,45.685141509434,13,98
2046,300,38.7224842767296,12,83
2047,300,31.7727987421384,11,71.5
2048,300,27.0581761006289,10,60.5
2049,300,23.8451257861635,9,56
2050,300,19.4559748427673,8,27
2051,300,15.9375,7.375,21
2052,300,13.3793238993711,7,19
