"years","initN","mean","lcl","ucl"
2022,200,500,500,500
2023,200,499.005219776786,438,560
2024,200,498.011704955357,413,586
2025,200,497.028502410714,394,606
2026,200,496.034893794643,379,623
2027,200,495.04229875,365,637
2028,200,494.042255,352,650
2029,200,493.033688303571,341,662
2030,200,492.019312723214,330,673
2031,200,491.028968169643,321,684
2032,200,490.0030159375,311,694
2033,200,489.007144241071,303,703
2034,200,487.995056517857,294,712
2035,200,486.984538839286,286,720
2036,200,486.021556026786,279,728
2037,200,485.032991116071,272,735
2038,200,484.036274196429,265,742
2039,200,483.045314642857,258,749
2040,200,482.057093928571,252,756
2041,200,481.030018214286,246,763
2042,200,479.994299642857,240,768
2043,200,479.0133490625,234,774
2044,200,478.020016651786,228,780
2045,200,477.055846875,223,786
2046,200,476.038420446429,218,791
2047,200,475.053483035714,213,796
2048,200,474.100295892857,208,802
2049,200,473.141732946429,203,807
2050,200,472.189003258929,199,811
2051,200,471.202605044643,194,816
2052,200,470.259851428571,190,821
2022,225,550,550,550
2023,225,548.987130357143,482,616
2024,225,547.956625,455,644
2025,225,546.914517901786,435,666
2026,225,545.890281473214,417,684
2027,225,544.8404396875,402,701
2028,225,543.799288883929,389,715
2029,225,542.741428973214,376,728
2030,225,541.670569821429,365,740
2031,225,540.591753794643,354,752
2032,225,539.527223660714,344,762
2033,225,538.443291294643,334,772
2034,225,537.359189375,325,782
2035,225,536.278002991071,317,791
2036,225,535.172570982143,308,799
2037,225,534.109996517857,300,808
2038,225,533.067822410714,293,816
2039,225,532.018776116071,285,824
2040,225,530.972554955357,278,831
2041,225,529.941435758929,272,838
2042,225,528.900357053571,265,845
2043,225,527.803404285714,259,851
2044,225,526.763700491071,253,858
2045,225,525.701744464286,247,864
2046,225,524.647280267857,241,870
2047,225,523.5926996875,236,876
2048,225,522.549039107143,230,881
2049,225,521.504210178571,225,887
2050,225,520.449569285714,220,892
2051,225,519.374614866071,215,897
2052,225,518.3513296875,211,902
2022,250,600,600,600
2023,250,598.814552991071,527,671
2024,250,597.702069598214,497,702
2025,250,596.598763169643,474,726
2026,250,595.492626428571,456,746
2027,250,594.364040357143,439,763
2028,250,593.234736383929,425,779
2029,250,592.101858258929,411,793
2030,250,590.981051428571,399,807
2031,250,589.856825089286,387,819
2032,250,588.766215133929,376,831
2033,250,587.593677321429,366,841
2034,250,586.467095133929,356,852
2035,250,585.328363035714,346,862
2036,250,584.243105401786,338,871
2037,250,583.102590491071,329,880
2038,250,581.952640267857,321,889
2039,250,580.821587633929,313,897
2040,250,579.711450803571,305,905
2041,250,578.587338303571,298,913
2042,250,577.460113169643,291,920
2043,250,576.362092589286,284,927
2044,250,575.24461125,277,935
2045,250,574.112092991071,271,942
2046,250,572.992152633929,265,948
2047,250,571.8960925,259,954
2048,250,570.720589375,253,960
2049,250,569.60000125,247,966
2050,250,568.467061339286,242,972
2051,250,567.369323169643,237,978
2052,250,566.290484642857,232,983
2022,275,650,650,650
2023,275,648.817193348214,571,727
2024,275,647.621446116071,539,760
2025,275,646.423132991071,515,786
2026,275,645.244589107143,495,807
2027,275,644.074367321429,477,826
2028,275,642.884566741071,461,843
2029,275,641.664926785714,447,858
2030,275,640.465778035714,433,873
2031,275,639.264855044643,420,886
2032,275,638.060502455357,409,898
2033,275,636.844634776786,397,910
2034,275,635.648918883929,387,921
2035,275,634.480644776786,377,932
2036,275,633.313759776786,367,942
2037,275,632.063062901786,358,952
2038,275,630.880060758929,349,962
2039,275,629.682828705357,340,970
2040,275,628.442140982143,332,979
2041,275,627.258770892857,324,987
2042,275,626.092179776786,317,995
2043,275,624.854706785714,309,1003
2044,275,623.704786875,302,1010
2045,275,622.539697589286,295,1018
2046,275,621.363323080357,289,1025
2047,275,620.1818815625,282,1032
2048,275,618.976573973214,276,1039
2049,275,617.777611741071,270,1045
2050,275,616.614756696429,264,1051
2051,275,615.4059834375,258,1058
2052,275,614.224004285714,253,1063
2022,300,700,700,700
2023,300,698.735462276786,615,783
2024,300,697.504608125,581,818
2025,300,696.251389196429,555,845
2026,300,694.997889910714,534,868
2027,300,693.721362589286,515,889
2028,300,692.444356294643,498,907
2029,300,691.200506964286,482,923
2030,300,689.930899419643,468,938
2031,300,688.710614598214,454,953
2032,300,687.446480223214,442,966
2033,300,686.168076473214,430,979
2034,300,684.955218392857,418,991
2035,300,683.6822096875,407,1003
2036,300,682.442438125,397,1014
2037,300,681.191190267857,387,1024
2038,300,679.897227678571,377,1034
2039,300,678.710309866071,368,1044
2040,300,677.496828303571,359,1053
2041,300,676.259720982143,351,1062
2042,300,675.01187125,343,1071
2043,300,673.745823482143,335,1079
2044,300,672.509744285714,327,1088
2045,300,671.258030803571,320,1095
2046,300,669.964113660714,312,1103
2047,300,668.740350133929,306,1110
2048,300,667.497679508929,299,1117
2049,300,666.220032946429,293,1124
2050,300,664.959807857143,286,1131
2051,300,663.705387455357,280,1138
2052,300,662.408092678571,274,1144
