"years","initN","mean","lcl","ucl"
2022,200,500,500,500
2023,200,498.995240178571,438,560
2024,200,497.997990223214,413,586
2025,200,497.009978303571,394,606
2026,200,496.023398571429,379,623
2027,200,495.001089508929,365,637
2028,200,494.019434285714,352,650
2029,200,493.048466294643,341,663
2030,200,492.044052455357,330,674
2031,200,491.109194419643,321,684
2032,200,490.118078080357,311,694
2033,200,489.156241785714,303,703
2034,200,488.1724353125,294,712
2035,200,487.18568125,287,720
2036,200,486.226229151786,279,728
2037,200,485.248036919643,272,736
2038,200,484.280314330357,265,743
2039,200,483.310523125,258,750
2040,200,482.323379241071,252,756
2041,200,481.348385267857,246,763
2042,200,480.351983303571,240,769
2043,200,479.335852633929,234,775
2044,200,478.364072723214,229,781
2045,200,477.37912125,223,787
2046,200,476.403668125,218,792
2047,200,475.3979834375,213,797
2048,200,474.4080028125,208,802
2049,200,473.410189285714,203,807
2050,200,472.369853526786,199,812
2051,200,471.390375401786,194,816
2052,200,470.423420669643,190,821
2022,225,550,550,550
2023,225,548.9543384375,482,616
2024,225,547.892116205357,455,644
2025,225,546.850786741071,434,666
2026,225,545.788162767857,417,684
2027,225,544.755388482143,402,700
2028,225,543.728465982143,388,715
2029,225,542.6539884375,376,728
2030,225,541.608983526786,365,740
2031,225,540.585274375,354,752
2032,225,539.566137991071,344,762
2033,225,538.521139910714,334,773
2034,225,537.486919508929,325,782
2035,225,536.458158571429,317,791
2036,225,535.393732901786,308,800
2037,225,534.343157098214,300,808
2038,225,533.3001975,293,816
2039,225,532.276161026786,286,824
2040,225,531.202631026786,279,831
2041,225,530.156128928571,272,838
2042,225,529.087621830357,265,845
2043,225,528.047597366071,259,852
2044,225,526.967555803571,253,858
2045,225,525.844377946429,247,864
2046,225,524.808085535714,242,870
2047,225,523.784630758929,236,876
2048,225,522.759693348214,231,881
2049,225,521.702808571429,225,887
2050,225,520.624578392857,221,892
2051,225,519.593698928571,216,897
2052,225,518.525178348214,211,902
2022,250,600,600,600
2023,250,598.866921696429,527,671
2024,250,597.754660089286,497,702
2025,250,596.610567410714,475,726
2026,250,595.514757321429,456,746
2027,250,594.401623883929,439,763
2028,250,593.319450267857,425,779
2029,250,592.178212723214,411,793
2030,250,591.044511696429,399,807
2031,250,589.901693348214,387,819
2032,250,588.820809508929,376,831
2033,250,587.767066517857,366,842
2034,250,586.646378839286,356,852
2035,250,585.547987232143,346,862
2036,250,584.444336696429,338,872
2037,250,583.315420580357,329,881
2038,250,582.226888928571,321,889
2039,250,581.083348482143,313,898
2040,250,580.008892723214,305,906
2041,250,578.910163794643,298,914
2042,250,577.807132366071,291,921
2043,250,576.682690714286,284,928
2044,250,575.582406473214,277,935
2045,250,574.450807544643,271,942
2046,250,573.328422232143,265,949
2047,250,572.194216830357,259,955
2048,250,571.109786607143,253,961
2049,250,570.015709017857,247,967
2050,250,568.9076184375,242,973
2051,250,567.815610267857,237,979
2052,250,566.709219910714,232,984
2022,275,650,650,650
2023,275,648.862604330357,571,727
2024,275,647.695883035714,539,760
2025,275,646.517408303571,515,786
2026,275,645.333989598214,495,807
2027,275,644.152870982143,477,826
2028,275,642.948402053571,461,843
2029,275,641.804653214286,447,858
2030,275,640.600482366071,433,873
2031,275,639.401586875,421,886
2032,275,638.219680714286,409,899
2033,275,636.960985848214,398,911
2034,275,635.767154776786,387,922
2035,275,634.619434107143,377,933
2036,275,633.461002232143,367,943
2037,275,632.258308660714,358,953
2038,275,631.0643640625,349,962
2039,275,629.896828303571,340,971
2040,275,628.733075178571,332,980
2041,275,627.557380848214,324,988
2042,275,626.377706785714,317,996
2043,275,625.129712053571,309,1004
2044,275,623.953817410714,302,1011
2045,275,622.768910982143,295,1019
2046,275,621.584849151786,289,1026
2047,275,620.415299375,282,1033
2048,275,619.26324625,276,1039
2049,275,618.059690089286,270,1046
2050,275,616.904799642857,264,1052
2051,275,615.751405,258,1058
2052,275,614.562955491071,253,1064
2022,300,700,700,700
2023,300,698.685452008929,615,782
2024,300,697.397878125,581,818
2025,300,696.178755044643,555,845
2026,300,694.8995978125,534,868
2027,300,693.679437366071,515,889
2028,300,692.419090044643,497,907
2029,300,691.156126026786,482,923
2030,300,689.917396875,468,939
2031,300,688.666607142857,454,953
2032,300,687.450591696429,441,967
2033,300,686.233909107143,429,980
2034,300,685.004526116071,418,992
2035,300,683.759826071429,407,1003
2036,300,682.532871919643,397,1014
2037,300,681.297443928571,387,1024
2038,300,680.096566964286,377,1035
2039,300,678.875174330357,368,1045
2040,300,677.689327991071,359,1054
2041,300,676.490803883929,351,1063
2042,300,675.260416741071,343,1071
2043,300,674.045119330357,335,1080
2044,300,672.802576964286,327,1088
2045,300,671.581072008929,320,1096
2046,300,670.327872946429,313,1104
2047,300,669.026611116071,306,1111
2048,300,667.771566473214,299,1118
2049,300,666.525656607143,292,1125
2050,300,665.254176339286,286,1132
2051,300,664.025968035714,280,1138
2052,300,662.794632053571,274,1145
