"years","initN","mean","lcl","ucl"
2022,200,500,500,500
2023,200,498.97670125,438,560
2024,200,497.996284732143,413,586
2025,200,496.978700133929,394,606
2026,200,496.0110171875,379,623
2027,200,494.986611651786,365,637
2028,200,494.0020190625,352,650
2029,200,493.058722633929,341,662
2030,200,492.086864196429,330,674
2031,200,491.09698375,321,684
2032,200,490.086633571429,311,694
2033,200,489.077593125,303,703
2034,200,488.083613883929,294,712
2035,200,487.094579375,287,720
2036,200,486.152461026786,279,728
2037,200,485.163481517857,272,735
2038,200,484.208690044643,265,743
2039,200,483.214007366071,258,750
2040,200,482.236686116071,252,757
2041,200,481.261393839286,246,763
2042,200,480.29543875,240,769
2043,200,479.316131517857,234,775
2044,200,478.332874598214,228,781
2045,200,477.357080178571,223,787
2046,200,476.3636890625,218,792
2047,200,475.325547321429,213,797
2048,200,474.335695758929,208,802
2049,200,473.355829375,203,807
2050,200,472.335319330357,199,812
2051,200,471.356083348214,194,816
2052,200,470.361766919643,190,821
2022,225,550,550,550
2023,225,548.950504419643,482,616
2024,225,547.902049330357,455,644
2025,225,546.872705446429,434,666
2026,225,545.8309459375,417,684
2027,225,544.761019955357,402,700
2028,225,543.69662625,388,715
2029,225,542.636552589286,376,728
2030,225,541.572534598214,364,740
2031,225,540.492232857143,354,752
2032,225,539.468917008929,344,762
2033,225,538.370448526786,334,773
2034,225,537.359825133929,325,782
2035,225,536.311976428571,316,791
2036,225,535.215234017857,308,800
2037,225,534.136536294643,300,808
2038,225,533.076347544643,293,816
2039,225,532.0219490625,285,823
2040,225,530.9427859375,278,831
2041,225,529.860842232143,272,838
2042,225,528.831538794643,265,845
2043,225,527.757562008929,259,851
2044,225,526.693451830357,253,857
2045,225,525.632328973214,247,863
2046,225,524.562973080357,241,870
2047,225,523.486876071429,236,875
2048,225,522.395156116071,230,881
2049,225,521.331072053571,225,886
2050,225,520.263045714286,220,892
2051,225,519.241614508929,215,897
2052,225,518.2120390625,211,902
2022,250,600,600,600
2023,250,598.915503794643,527,672
2024,250,597.799552901786,497,702
2025,250,596.656073928571,475,726
2026,250,595.536131919643,456,746
2027,250,594.439129821429,440,763
2028,250,593.356473571429,425,779
2029,250,592.2639478125,411,793
2030,250,591.139454330357,399,807
2031,250,590.028607053571,387,819
2032,250,588.937922232143,376,831
2033,250,587.788711473214,366,842
2034,250,586.684156517857,356,852
2035,250,585.574434241071,347,862
2036,250,584.437767723214,338,871
2037,250,583.349814598214,329,880
2038,250,582.2442115625,321,889
2039,250,581.126630401786,313,898
2040,250,580.007735669643,305,906
2041,250,578.918205892857,298,913
2042,250,577.815113392857,291,921
2043,250,576.704020178571,284,928
2044,250,575.561565803571,278,935
2045,250,574.439163214286,271,942
2046,250,573.31241625,265,948
2047,250,572.192278035714,259,955
2048,250,571.102483482143,253,961
2049,250,570.007407633929,248,967
2050,250,568.903328169643,242,973
2051,250,567.777680491071,237,978
2052,250,566.639816339286,232,984
2022,275,650,650,650
2023,275,648.786169464286,571,727
2024,275,647.598623258929,539,760
2025,275,646.387243214286,515,786
2026,275,645.228674017857,495,807
2027,275,644.019131160714,477,826
2028,275,642.898050848214,461,843
2029,275,641.7060871875,447,859
2030,275,640.568827053571,433,873
2031,275,639.333343348214,421,886
2032,275,638.082147633929,409,898
2033,275,636.873072723214,398,910
2034,275,635.721324464286,387,922
2035,275,634.561636339286,377,932
2036,275,633.363951741071,367,943
2037,275,632.152350580357,358,952
2038,275,630.949480133929,349,962
2039,275,629.714329598214,341,971
2040,275,628.552496964286,332,979
2041,275,627.324600178571,324,988
2042,275,626.158006696429,317,996
2043,275,624.971418794643,309,1004
2044,275,623.769020446429,302,1011
2045,275,622.5797090625,295,1018
2046,275,621.418259866071,289,1025
2047,275,620.258846651786,282,1033
2048,275,619.083782142857,276,1039
2049,275,617.911984866071,270,1046
2050,275,616.717320178571,264,1052
2051,275,615.562251607143,259,1058
2052,275,614.390813125,253,1064
2022,300,700,700,700
2023,300,698.756184330357,615,783
2024,300,697.483809196429,581,818
2025,300,696.2809165625,555,846
2026,300,695.072426383929,534,869
2027,300,693.840863169643,515,889
2028,300,692.592327366071,498,907
2029,300,691.307858705357,482,923
2030,300,690.014649776786,468,939
2031,300,688.740425580357,454,953
2032,300,687.515311651786,441,967
2033,300,686.259025044643,429,979
2034,300,685.011680892857,418,991
2035,300,683.758582678571,407,1003
2036,300,682.4438825,397,1014
2037,300,681.147251651786,387,1024
2038,300,679.8714371875,378,1034
2039,300,678.629865491071,368,1044
2040,300,677.419605848214,359,1053
2041,300,676.175640267857,351,1062
2042,300,674.901255580357,343,1071
2043,300,673.655441294643,335,1079
2044,300,672.409523973214,327,1088
2045,300,671.149053214286,320,1095
2046,300,669.874083482143,312,1103
2047,300,668.558137455357,305,1110
2048,300,667.332065714286,299,1117
2049,300,666.064933660714,292,1125
2050,300,664.811360446429,286,1131
2051,300,663.591012455357,280,1138
2052,300,662.348305178571,274,1144
