"years","initN","mean","lcl","ucl"
2022,200,500,500,500
2023,200,499.001175803571,438,560
2024,200,498.042159196429,413,586
2025,200,497.036557901786,394,606
2026,200,496.047194464286,379,623
2027,200,495.0510559375,365,637
2028,200,494.099136339286,352,651
2029,200,493.103217857143,341,663
2030,200,492.091469330357,330,674
2031,200,491.093234508929,321,684
2032,200,490.082586205357,311,694
2033,200,489.06235375,303,703
2034,200,488.068349107143,294,712
2035,200,487.047873526786,286,720
2036,200,486.058690223214,279,728
2037,200,485.047251071429,272,735
2038,200,484.083924375,265,743
2039,200,483.07647125,258,749
2040,200,482.1033759375,252,756
2041,200,481.100610535714,246,762
2042,200,480.121824107143,240,769
2043,200,479.113401741071,234,775
2044,200,478.146698125,228,780
2045,200,477.161193616071,223,786
2046,200,476.134668348214,218,791
2047,200,475.157536875,213,797
2048,200,474.167410044643,208,802
2049,200,473.167681696429,203,807
2050,200,472.162710714286,199,811
2051,200,471.148970491071,194,816
2052,200,470.184085357143,190,820
2022,225,550,550,550
2023,225,548.933923303571,482,616
2024,225,547.904555,455,644
2025,225,546.851735133929,434,666
2026,225,545.825412946429,417,684
2027,225,544.802030178571,402,701
2028,225,543.730604330357,388,715
2029,225,542.703137991071,376,728
2030,225,541.674100580357,364,740
2031,225,540.601412098214,354,752
2032,225,539.544904196429,344,763
2033,225,538.486558928571,334,772
2034,225,537.421624241071,325,782
2035,225,536.352609419643,316,791
2036,225,535.306656875,308,800
2037,225,534.290923928571,300,808
2038,225,533.212682901786,293,816
2039,225,532.173672678571,285,824
2040,225,531.119355,278,831
2041,225,530.052138482143,272,838
2042,225,528.9854325,265,845
2043,225,527.886009285714,259,852
2044,225,526.882899642857,253,858
2045,225,525.807566607143,247,864
2046,225,524.740643125,241,870
2047,225,523.686433392857,236,876
2048,225,522.656588883929,230,881
2049,225,521.592070625,225,887
2050,225,520.554689241071,220,892
2051,225,519.550497589286,216,897
2052,225,518.490680178571,211,902
2022,250,600,600,600
2023,250,598.864991160714,527,671
2024,250,597.722436116071,497,702
2025,250,596.568253482143,475,726
2026,250,595.496262232143,456,746
2027,250,594.385857723214,439,763
2028,250,593.246218303571,425,779
2029,250,592.12324875,411,793
2030,250,591.039493035714,399,807
2031,250,589.923657901786,387,819
2032,250,588.775934107143,376,831
2033,250,587.662766071429,366,842
2034,250,586.50542875,356,852
2035,250,585.351169732143,346,861
2036,250,584.247871383929,337,871
2037,250,583.147669732143,329,880
2038,250,582.016276651786,321,889
2039,250,580.871046428571,313,897
2040,250,579.761621294643,305,905
2041,250,578.653599464286,298,913
2042,250,577.532529419643,291,921
2043,250,576.427232589286,284,928
2044,250,575.310093794643,277,935
2045,250,574.159875089286,271,941
2046,250,573.024154642857,265,948
2047,250,571.909303616071,259,954
2048,250,570.775384955357,253,960
2049,250,569.659184285714,247,966
2050,250,568.588334151786,242,972
2051,250,567.485845357143,237,977
2052,250,566.353457232143,232,983
2022,275,650,650,650
2023,275,648.826767991071,571,727
2024,275,647.6680871875,539,760
2025,275,646.475424330357,515,786
2026,275,645.338576294643,495,807
2027,275,644.159728214286,477,826
2028,275,642.998421026786,461,843
2029,275,641.835989196429,447,858
2030,275,640.705051696429,433,873
2031,275,639.515228482143,421,886
2032,275,638.320833839286,409,899
2033,275,637.101964151786,398,911
2034,275,635.888512366071,387,922
2035,275,634.681505446429,377,933
2036,275,633.471694017857,367,943
2037,275,632.324036160714,358,953
2038,275,631.144152946429,349,962
2039,275,629.964297767857,341,971
2040,275,628.780688660714,332,980
2041,275,627.602186071429,324,988
2042,275,626.415222991071,317,996
2043,275,625.201682901786,309,1004
2044,275,623.996663928571,302,1012
2045,275,622.851534821429,295,1019
2046,275,621.646775535714,289,1026
2047,275,620.476364107143,282,1033
2048,275,619.326803035714,276,1040
2049,275,618.164031919643,270,1046
2050,275,616.939265625,264,1052
2051,275,615.80724125,258,1059
2052,275,614.610607276786,253,1064
2022,300,700,700,700
2023,300,698.758017991071,615,783
2024,300,697.513783214286,581,818
2025,300,696.277869419643,555,846
2026,300,694.989503616071,534,869
2027,300,693.769654419643,515,889
2028,300,692.517341294643,498,907
2029,300,691.265281785714,482,923
2030,300,690.016477410714,468,939
2031,300,688.769787544643,454,953
2032,300,687.500829196429,442,966
2033,300,686.21072375,430,979
2034,300,684.998361875,418,991
2035,300,683.735636026786,407,1003
2036,300,682.452227410714,397,1014
2037,300,681.173781339286,387,1025
2038,300,679.893242767857,377,1034
2039,300,678.684972857143,368,1044
2040,300,677.405390848214,359,1053
2041,300,676.146758839286,351,1062
2042,300,674.853041160714,343,1071
2043,300,673.563351383929,335,1079
2044,300,672.308506071429,327,1087
2045,300,671.005613660714,320,1095
2046,300,669.734671964286,312,1102
2047,300,668.531996830357,306,1110
2048,300,667.247644910714,299,1117
2049,300,665.9630796875,292,1124
2050,300,664.679426160714,286,1130
2051,300,663.488612232143,280,1137
2052,300,662.250918839286,274,1143
