"years","initN","mean","lcl","ucl"
2022,100,200,200,200
2023,100,199.33382,174,225
2024,100,198.673990357143,164,235
2025,100,197.994921339286,156,243
2026,100,197.312976071429,149,250
2027,100,196.632245580357,143,255
2028,100,195.988767098214,138,260
2029,100,195.315140625,133,265
2030,100,194.658442544643,129,269
2031,100,193.986265223214,124,273
2032,100,193.326075982143,120,277
2033,100,192.640893660714,117,281
2034,100,191.989988392857,113,284
2035,100,191.328337366071,110,287
2036,100,190.658248348214,107,290
2037,100,190.004523660714,103,293
2038,100,189.328266160714,100,295
2039,100,188.675620267857,98,298
2040,100,188.015902276786,95,300
2041,100,187.362711696429,92,302
2042,100,186.69091,90,304
2043,100,186.026917857143,87,307
2044,100,185.36465625,85,309
2045,100,184.690939508929,82,310
2046,100,184.042679330357,80,312
2047,100,183.378157946429,78,314
2048,100,182.712519553571,76,316
2049,100,182.038773348214,74,317
2050,100,181.366178705357,72,319
2051,100,180.721517142857,70,320
2052,100,180.054442232143,68,322
2022,150,300,300,300
2023,150,299.222270982143,262,337
2024,150,298.464269241071,247,353
2025,150,297.718622232143,235,365
2026,150,296.963907544643,225,375
2027,150,296.191240178571,217,383
2028,150,295.430515892857,209,391
2029,150,294.669381830357,202,399
2030,150,293.913642321429,195,405
2031,150,293.137291785714,189,411
2032,150,292.372328571429,184,417
2033,150,291.634853883929,178,423
2034,150,290.872377321429,173,428
2035,150,290.118705491071,168,433
2036,150,289.324216830357,163,437
2037,150,288.574783080357,159,441
2038,150,287.825963214286,155,446
2039,150,287.047330758929,151,450
2040,150,286.27710125,147,454
2041,150,285.530828973214,143,457
2042,150,284.765110848214,139,461
2043,150,284.010088705357,135,464
2044,150,283.218429017857,132,467
2045,150,282.463031473214,129,471
2046,150,281.698985714286,126,474
2047,150,280.918855044643,122,477
2048,150,280.162829285714,119,479
2049,150,279.402413705357,116,482
2050,150,278.622142053571,114,485
2051,150,277.861846026786,111,487
2052,150,277.107860535714,108,490
2022,200,400,400,400
2023,200,399.124829419643,350,449
2024,200,398.264916875,330,469
2025,200,397.368685535714,314,485
2026,200,396.504885089286,302,499
2027,200,395.631581116071,290,511
2028,200,394.7357665625,280,521
2029,200,393.864995401786,271,531
2030,200,393.009533348214,263,540
2031,200,392.150305357143,255,548
2032,200,391.267808839286,247,556
2033,200,390.380660133929,240,563
2034,200,389.479649330357,233,570
2035,200,388.609518214286,227,577
2036,200,387.731914107143,221,583
2037,200,386.884345178571,215,589
2038,200,386.013831741071,209,595
2039,200,385.138303526786,204,600
2040,200,384.272874866071,199,605
2041,200,383.393068794643,194,611
2042,200,382.538239419643,189,616
2043,200,381.696141473214,184,620
2044,200,380.841382678571,180,625
2045,200,379.981789732143,176,629
2046,200,379.084494910714,171,634
2047,200,378.191519107143,167,638
2048,200,377.336036919643,163,642
2049,200,376.479754910714,160,645
2050,200,375.618223303571,156,649
2051,200,374.760445625,152,653
2052,200,373.861911741071,149,656
2022,250,500,500,500
2023,250,498.991496071429,438,560
2024,250,497.968335714286,413,586
2025,250,496.977970178571,394,606
2026,250,495.964466383929,379,623
2027,250,494.980152142857,365,637
2028,250,494.007483214286,352,650
2029,250,493.006196294643,341,662
2030,250,491.974862321429,330,673
2031,250,490.94935,321,684
2032,250,489.942047946429,311,693
2033,250,488.984449196429,303,703
2034,250,487.977828616071,294,711
2035,250,486.9670840625,286,719
2036,250,485.946839375,279,728
2037,250,484.9478309375,272,735
2038,250,483.967475267857,265,742
2039,250,482.973342232143,258,749
2040,250,481.972494955357,252,756
2041,250,480.984784642857,246,762
2042,250,480.004168125,240,768
2043,250,479.009655714286,234,774
2044,250,478.045643348214,228,780
2045,250,477.03459375,223,786
2046,250,476.064693616071,218,791
2047,250,475.076906785714,213,797
2048,250,474.077541785714,208,802
2049,250,473.100562544643,203,807
2050,250,472.164314553571,199,811
2051,250,471.14483875,194,816
2052,250,470.173727098214,190,820
