"years","initN","mean","lcl","ucl"
2022,100,200,200,200
2023,100,199.3243303125,174,225
2024,100,198.651532321429,164,235
2025,100,197.9832653125,156,243
2026,100,197.308848482143,149,250
2027,100,196.634819508929,143,255
2028,100,195.971776785714,138,260
2029,100,195.309887366071,133,265
2030,100,194.648338348214,129,269
2031,100,193.972199732143,124,273
2032,100,193.290094330357,120,277
2033,100,192.628996607143,117,280
2034,100,191.974208660714,113,284
2035,100,191.312039955357,110,287
2036,100,190.645534464286,107,290
2037,100,189.989002678571,103,292
2038,100,189.329092142857,100,295
2039,100,188.643486428571,98,298
2040,100,187.986735982143,95,300
2041,100,187.323671696429,92,302
2042,100,186.660724241071,90,304
2043,100,186.009141696429,87,306
2044,100,185.344841607143,85,308
2045,100,184.691724910714,82,310
2046,100,184.026106741071,80,312
2047,100,183.368848214286,78,314
2048,100,182.727051473214,76,316
2049,100,182.058366205357,74,317
2050,100,181.387823303571,72,319
2051,100,180.730102098214,70,320
2052,100,180.059738392857,68,321
2022,150,300,300,300
2023,150,299.246090892857,262,337
2024,150,298.489128616071,247,353
2025,150,297.708081473214,235,364
2026,150,296.939410669643,225,375
2027,150,296.190685446429,217,383
2028,150,295.416894464286,209,391
2029,150,294.634686160714,202,398
2030,150,293.885342544643,195,405
2031,150,293.123054598214,189,411
2032,150,292.346398214286,184,417
2033,150,291.579889241071,178,422
2034,150,290.817974017857,173,427
2035,150,290.057271696429,168,432
2036,150,289.288608214286,164,437
2037,150,288.505986428571,159,441
2038,150,287.743358794643,155,445
2039,150,287.000397857143,151,450
2040,150,286.237938392857,147,453
2041,150,285.469276696429,143,457
2042,150,284.6982725,139,461
2043,150,283.944194285714,136,464
2044,150,283.200417142857,132,467
2045,150,282.435285491071,129,471
2046,150,281.689248214286,126,474
2047,150,280.927007678571,123,477
2048,150,280.176284419643,120,479
2049,150,279.420568928571,117,482
2050,150,278.66227625,114,485
2051,150,277.918881964286,111,487
2052,150,277.131279017857,108,490
