"years","initN","mean","lcl","ucl"
2022,100,200,200,200
2023,100,182.639480432601,156,217
2024,100,167.427444531163,52,218
2025,100,152.482328018731,44,215
2026,100,138.603244508864,40,208
2027,100,126.385856840227,36,203
2028,100,114.681987958524,32,196
2029,100,103.497909465938,29,187
2030,100,93.9338555022857,26,178
2031,100,84.8025420894191,24,168
2032,100,76.5833426245958,22,158
2033,100,68.9591091537518,20,147
2034,100,62.1426859181626,18,137
2035,100,55.6276898204928,16,126
2036,100,49.43558367711,15,115
2037,100,44.3437674211172,13,105
2038,100,39.4525309399041,12,93
2039,100,35.0707436726502,11,84
2040,100,31.2893020403612,10,75
2041,100,27.7128999888505,9,64
2042,100,24.4973519901884,8,56
2043,100,21.6102687033114,7,47
2044,100,18.9298138030996,6,39
2045,100,16.6188817036459,6,32
2046,100,14.5609320994537,5,24
2047,100,12.718558367711,4,19
2048,100,11.0511205262571,4,16
2049,100,9.48051622254432,3,13
2050,100,8.08253428475861,3,12
2051,100,6.90207938454677,2,10
2052,100,5.81854164343851,1.25,9
2022,150,300,300,300
2023,150,271.365868121442,228.7,326
2024,150,248.674928842505,74,328
2025,150,224.818904174573,65,327.3
2026,150,203.187855787476,57.675,319
2027,150,182.310365275142,52,310
2028,150,162.877134724858,45.925,299.3
2029,150,146.066769449715,40,281
2030,150,131.242291271347,35,270
2031,150,117.35424573055,29,257
2032,150,104.53474857685,24,239
2033,150,93.0424573055029,19,220
2034,150,83.1544117647059,17,200.3
2035,150,73.2502371916509,15,179.3
2036,150,64.7896110056926,13,159
2037,150,56.706119544592,12,139
2038,150,50.1915322580645,11,120
2039,150,44.407495256167,10,101
2040,150,38.7835626185958,9,84
2041,150,33.4022770398482,8,71.3
2042,150,29.5489800759013,7.925,63
2043,150,25.7962523719165,7,53
2044,150,22.175284629981,6,46.475
2045,150,19.3111954459203,5,41
2046,150,16.4519686907021,5,34
2047,150,13.9597960151803,4,28
2048,150,11.7584203036053,3,19
2049,150,10.0314278937381,3,14.65
2050,150,8.39539848197343,2,12
2051,150,6.96240512333966,2,10
2052,150,5.77324478178368,1,9
