"years","initN","mean","lcl","ucl"
2022,100,200,200,200
2023,100,182.389867090765,155,217
2024,100,166.675139157106,51,217
2025,100,151.329262751335,44,213
2026,100,136.858088151766,39,208.8
2027,100,125.008605021016,35,203
2028,100,113.774963080768,32,196
2029,100,103.517863228445,29,186
2030,100,94.3751845961604,27,178
2031,100,85.1539531977735,24,168
2032,100,76.5078098375554,22,159
2033,100,69.0810803135295,20,148
2034,100,62.1269169601272,18,138
2035,100,55.8098659547881,16,127
2036,100,49.9922469612632,14,116
2037,100,44.6445529932977,13,106
2038,100,39.9459275247075,12,94
2039,100,35.7795637850733,11,84
2040,100,31.4823355674202,10,74
2041,100,27.783426104737,9,64
2042,100,24.4694138361922,8,55
2043,100,21.7080540724753,7,47
2044,100,18.970947404294,6,39
2045,100,16.6043110303306,6,32
2046,100,14.4389980688402,5,24
2047,100,12.5359252527547,4,19
2048,100,10.9474042939907,4,16
2049,100,9.52439509258207,3,14
2050,100,8.19675110757696,3,12
2051,100,7.00434510962172,2,10
2052,100,5.90730432806998,2,9
2022,150,300,300,300
2023,150,273.008163748225,234,325
2024,150,248.688831045906,75.55,326
2025,150,226.033838144818,65,325
2026,150,206.879910080454,59,318
2027,150,185.523544723142,51.2,307.8
2028,150,167.948651206815,46,302
2029,150,151.965925224799,39,292
2030,150,134.965451964032,34,273
2031,150,121.360033128254,28,259
2032,150,108.942853762423,25,245
2033,150,98.0843587316611,20,230.8
2034,150,86.2326076668244,17.2,209
2035,150,76.4172976810222,15,186.8
2036,150,67.299219119735,13.8,168
2037,150,58.9574065309986,12.8,141
2038,150,51.8529342167534,11.8,123
2039,150,45.1645764316138,10.55,104
2040,150,39.0767865593942,10,89
2041,150,34.0354945575012,9,73
2042,150,29.7916469474681,8,62
2043,150,25.5231897775674,7,55
2044,150,22.1921438712731,7,48
2045,150,19.0259110269759,6,42
2046,150,16.3179129200189,5,36
2047,150,14.0634169427354,4.55,30
2048,150,12.1153573118788,4,20
2049,150,10.2311878845244,3,14
2050,150,8.53833412210128,3,12
2051,150,7.19238050165641,2,10
2052,150,5.91374822527212,2,9
