"years","initN","mean","lcl","ucl"
2022,100,200,200,200
2023,100,180.826658576052,152.1,216
2024,100,162.87317961165,48.75,216
2025,100,145.28590210356,42,213
2026,100,129.251516990291,37,205.9
2027,100,114.894822006472,32,200
2028,100,101.872067152104,29,191
2029,100,90.4353762135922,25,183
2030,100,79.8326254045307,22,169.9
2031,100,70.8652912621359,18,158
2032,100,62.4565129449838,16,145.9
2033,100,55.0244741100324,13,132
2034,100,48.2709344660194,11,119
2035,100,42.0951658576052,10,105.9
2036,100,36.4082726537217,9,89
2037,100,32.0117313915858,8,78
2038,100,27.6060881877023,7,65
2039,100,23.7012540453074,6,50
2040,100,20.45428802589,5,41.6750000000001
2041,100,17.3534587378641,5,36
2042,100,15.1248988673139,4,31
2043,100,12.7239077669903,3,25.9000000000001
2044,100,10.7657766990291,3,20
2045,100,8.99221278317152,2,15.9250000000001
2046,100,7.667071197411,2,12
2047,100,6.44144417475728,1,10
2048,100,5.37732605177994,1,8
2049,100,4.39704692556634,0,7
2050,100,3.56978155339806,0,6
2051,100,2.85234627831715,0,5
2052,100,2.21217637540453,0,4
2022,150,300,300,300
2023,150,266.144819466248,86.4,326
2024,150,238.170722135008,71,323
2025,150,212.222135007849,63,320
2026,150,189.638540031397,55.9,311.4
2027,150,167.331632653061,48.9,301.4
2028,150,151.248037676609,42,294
2029,150,133.171899529042,27.45,278.4
2030,150,116.613422291994,19.9,258
2031,150,102.025117739403,17,246.4
2032,150,88.1079277864992,14,220.4
2033,150,78.1640502354788,13,214.6
2034,150,64.6456043956044,11,178.4
2035,150,56.4478021978022,10,159.8
2036,150,48.0321821036107,9,122.4
2037,150,39.6475667189953,8,89.5999999999999
2038,150,33.2574568288854,7,65
2039,150,27.7209576138148,6.25,52
2040,150,23.9905808477237,6,48
2041,150,19.4148351648352,5,41
2042,150,16.2931711145997,4,36
2043,150,13.8010204081633,4,31
2044,150,11.8041601255887,3,27.4
2045,150,10.0396389324961,3,21
2046,150,8.04395604395604,2,14
2047,150,6.53375196232339,2,10
2048,150,5.54199372056515,1,8
2049,150,4.43328100470958,1,7
2050,150,3.61302982731554,0,6
2051,150,2.85949764521193,0,5
2052,150,2.18602825745683,0,4
