"years","initN","mean","lcl","ucl"
2022,100,200,200,200
2023,100,199.334796964286,174,225
2024,100,198.6470884375,164,235
2025,100,197.97925125,156,243
2026,100,197.313663080357,149,250
2027,100,196.655254776786,143,255
2028,100,195.990039508929,138,260
2029,100,195.303261741071,133,265
2030,100,194.630449464286,129,269
2031,100,193.9532,124,273
2032,100,193.2949996875,120,277
2033,100,192.622896473214,117,280
2034,100,191.967110625,113,284
2035,100,191.286363303571,110,287
2036,100,190.609740669643,107,290
2037,100,189.9366128125,103,292
2038,100,189.275374553571,100,295
2039,100,188.619923125,98,298
2040,100,187.97498375,95,300
2041,100,187.312218348214,92,302
2042,100,186.649105848214,90,304
2043,100,185.976017008929,87,306
2044,100,185.320813928571,85,308
2045,100,184.6558328125,82,310
2046,100,183.992417946429,80,312
2047,100,183.323794151786,78,314
2048,100,182.671891785714,76,315
2049,100,182.014539196429,74,317
2050,100,181.355054419643,72,319
2051,100,180.707617857143,70,320
2052,100,180.054120714286,68,322
2022,150,300,300,300
2023,150,299.231073348214,262,337
2024,150,298.441305535714,247,352
2025,150,297.682098080357,235,364
2026,150,296.929958839286,225,375
2027,150,296.167278303571,217,383
2028,150,295.385092633929,209,391
2029,150,294.604620982143,202,398
2030,150,293.849584196429,195,405
2031,150,293.090373883929,189,411
2032,150,292.312445848214,183,417
2033,150,291.5475690625,178,422
2034,150,290.778820089286,173,427
2035,150,290.0149725,168,432
2036,150,289.250740223214,163,437
2037,150,288.479058883929,159,441
2038,150,287.689577366071,155,445
2039,150,286.921847678571,150,450
2040,150,286.148770625,147,454
2041,150,285.381360044643,143,457
2042,150,284.606214821429,139,461
2043,150,283.846482544643,135,464
2044,150,283.068624464286,132,467
2045,150,282.291686473214,129,470
2046,150,281.523664419643,125,473
2047,150,280.779791741071,122,477
2048,150,280.009894598214,119,479
2049,150,279.257190982143,116,482
2050,150,278.480439107143,114,485
2051,150,277.724991205357,111,487
2052,150,276.9440028125,108,490
