"years","initN","mean","lcl","ucl"
2022,100,200,200,200
2023,100,199.329510803571,174,225
2024,100,198.661539196429,164,235
2025,100,197.982694776786,156,243
2026,100,197.3156378125,149,250
2027,100,196.645247901786,143,255
2028,100,195.970586071429,138,260
2029,100,195.296455089286,133,265
2030,100,194.629086294643,129,269
2031,100,193.9482475,124,273
2032,100,193.275568883929,120,277
2033,100,192.587874598214,117,280
2034,100,191.934315178571,113,284
2035,100,191.272940089286,110,287
2036,100,190.611848571429,107,290
2037,100,189.952149508929,103,293
2038,100,189.299188080357,100,295
2039,100,188.6415565625,98,298
2040,100,187.975518482143,95,300
2041,100,187.324211785714,92,302
2042,100,186.660202232143,90,304
2043,100,185.996427633929,87,306
2044,100,185.343922767857,85,308
2045,100,184.689916071429,82,310
2046,100,184.0201128125,80,312
2047,100,183.352529330357,78,314
2048,100,182.693915848214,76,316
2049,100,182.036048839286,74,317
2050,100,181.358047321429,72,319
2051,100,180.690945267857,70,320
2052,100,180.059758839286,68,322
2022,150,300,300,300
2023,150,299.244906830357,262,337
2024,150,298.487995,247,352
2025,150,297.698599598214,235,364
2026,150,296.940995223214,225,375
2027,150,296.1602434375,217,383
2028,150,295.388370803571,209,391
2029,150,294.629317544643,202,398
2030,150,293.870347589286,195,405
2031,150,293.080796830357,189,411
2032,150,292.322268482143,184,417
2033,150,291.541657544643,178,422
2034,150,290.785783035714,173,428
2035,150,290.021735803571,168,432
2036,150,289.255168169643,163,437
2037,150,288.497202633929,159,441
2038,150,287.739131517857,155,446
2039,150,286.949593705357,151,450
2040,150,286.188351741071,147,453
2041,150,285.434350982143,143,457
2042,150,284.674079642857,139,461
2043,150,283.9138640625,135,464
2044,150,283.126580133929,132,467
2045,150,282.379540535714,129,470
2046,150,281.6211671875,126,473
2047,150,280.847537410714,122,477
2048,150,280.082119642857,119,479
2049,150,279.325953125,117,482
2050,150,278.563606651786,114,485
2051,150,277.813540267857,111,487
2052,150,277.057755803571,108,490
