"years","initN","mean","lcl","ucl"
2022,200,400,400,400
2023,200,366.923363659338,313.6,433
2024,200,338.034306292646,105.65,438.4
2025,200,311.810146575689,92,436
2026,200,284.862269396007,82,429
2027,200,260.014025777104,73.4,416
2028,200,240.355256507455,66.15,404
2029,200,218.184040940106,60,389
2030,200,198.79504675259,53,368
2031,200,180.515289360627,48,348
2032,200,163.857657316149,43.75,328
2033,200,146.983762951731,39,305.4
2034,200,131.18233510235,34,284
2035,200,118.159906494819,30,263
2036,200,105.835670962851,26,240
2037,200,95.7191053828658,24,219
2038,200,85.2197371746272,21,197.4
2039,200,75.5912307303513,19,176
2040,200,67.3229719484458,17,156
2041,200,59.9555850391711,16,136
2042,200,53.3109679049785,15,120
2043,200,47.5867450088451,14,104.4
2044,200,42.1583901945919,13,93
2045,200,37.1871998989133,12,82.4000000000001
2046,200,32.4543846348244,11,72
2047,200,28.2939095274198,10,59
2048,200,24.1921278746525,9,39
2049,200,20.7752084912813,8,29
2050,200,18.0485847864544,7.40000000000001,24
2051,200,15.4563431892848,7,21
2052,200,13.3376295173111,6,19
2022,225,450,450,450
2023,225,412.264177693762,351,492
2024,225,377.734310018904,114.1,493
2025,225,347.794612476371,100,491
2026,225,319.172495274102,90.1,478
2027,225,292.370699432892,83,466
2028,225,266.465784499055,73,452.6
2029,225,243.796691871456,64,443
2030,225,221.323251417769,58,428
2031,225,200.27618147448,50.5,409.6
2032,225,179.844896030246,43,389
2033,225,162.388941398866,37,363
2034,225,146.526370510397,32.1,339
2035,225,131.584593572779,29,309.6
2036,225,117.962948960302,25,276
2037,225,106.212948960302,23,259
2038,225,94.8862948960303,20,232
2039,225,83.8105860113422,18.35,197
2040,225,74.5833648393195,17,168
2041,225,66.1184310018904,15,146
2042,225,57.4695652173913,14,127
2043,225,50.8364839319471,13,111
2044,225,45.1299621928166,12,99
2045,225,39.7195652173913,12,87
2046,225,34.6161625708885,11,75
2047,225,29.9558601134216,10,63
2048,225,25.7317580340265,9,50
2049,225,21.9490548204159,8,33
2050,225,18.9879017013233,8,25
2051,225,16.0810018903592,7,21
2052,225,13.3937618147448,6,19
2022,250,500,500,500
2023,250,459.741015625,394,544
2024,250,419.229427083333,127,547
2025,250,384.811458333333,111.725,546
2026,250,350.856901041667,100.5,540
2027,250,320.292838541667,91,530
2028,250,291.593489583333,81,513.1
2029,250,261.24375,70.675,486.1
2030,250,236.292317708333,61.9,467.1
2031,250,212.094661458333,53,453
2032,250,188.914713541667,45,424
2033,250,173.333072916667,36,403.1
2034,250,155.160026041667,30,375.2
2035,250,140.43359375,27,347.1
2036,250,124.269401041667,24,313
2037,250,110.3328125,21.7,274.1
2038,250,96.7486979166667,20,231
2039,250,84.6145833333333,18,190.1
2040,250,74.701953125,17,161.1
2041,250,66.4842447916667,15,141
2042,250,58.46640625,15,120
2043,250,51.56953125,13.225,106
2044,250,44.6205729166667,13,93
2045,250,38.9688802083333,11.95,82
2046,250,33.7330729166667,10,72
2047,250,29.4350260416667,10,64
2048,250,25.2859375,9,51
2049,250,21.320703125,8,33
2050,250,18.1018229166667,8,25
2051,250,15.4325520833333,7,21
2052,250,13.126171875,6,19
2022,275,550,550,550
2023,275,501.404017857143,427.5,599
2024,275,465.253090659341,141.5,606.5
2025,275,419.416380494506,123.125,599
2026,275,377.261332417582,107.5,591.5
2027,275,345.258585164835,99,579
2028,275,318.084306318681,89,559.5
2029,275,287.168440934066,78,532.5
2030,275,260.030391483516,66,514
2031,275,230.557177197802,55.75,480
2032,275,206.406593406593,41.5,450
2033,275,187.460851648352,33,429.5
2034,275,168.467032967033,30,398.5
2035,275,148.896119505495,26,370.5
2036,275,131.569883241758,24,332
2037,275,117.956559065934,22,299.5
2038,275,104.56095467033,20.875,254.5
2039,275,92.7898351648352,19,219
2040,275,81.9318337912088,17,179.5
2041,275,73.3521634615385,16,156
2042,275,65.8665865384615,15,133
2043,275,56.3954326923077,14,113.5
2044,275,50.7888049450549,13,106
2045,275,43.9496909340659,12,92
2046,275,37.8775755494505,11,82
2047,275,31.6478365384615,10,70
2048,275,26.8580013736264,10,60.5
2049,275,23.6033653846154,9,49
2050,275,20.0053228021978,8,26.5
2051,275,16.4754464285714,7,21
2052,275,13.4230769230769,7,19
2022,300,600,600,600
2023,300,544.807559288538,457.4,651
2024,300,498.157608695652,148.025,662
2025,300,449.708250988142,133,650
2026,300,399.825839920949,118,635.9
2027,300,363.062005928854,104.325,621.8
2028,300,327.454792490119,91.325,602.9
2029,300,301.355484189723,80.1,580
2030,300,270.8979743083,66.1,558.9
2031,300,238.036067193676,39.775,524
2032,300,214.970602766798,35,499.6
2033,300,190.637351778656,30.55,459.9
2034,300,169.001729249012,27.775,419.8
2035,300,148.969861660079,26,371.8
2036,300,133.444169960474,23,350.5
2037,300,119.819664031621,21.05,309.9
2038,300,107.179841897233,20,276
2039,300,95.0491600790514,19,226
2040,300,84.0704051383399,17.025,174.8
2041,300,72.2732213438735,16,139.9
2042,300,63.2346837944664,16,122
2043,300,56.401185770751,14,108
2044,300,48.8325098814229,13,97
2045,300,42.3814229249012,12,89
2046,300,37.4720849802372,11,80
2047,300,32.582756916996,11,74
2048,300,28.2747035573123,10,66
2049,300,23.8120059288538,9,50.9
2050,300,19.4901185770751,8,25
2051,300,16.4528162055336,8,21
2052,300,13.4402173913043,7,19
