"years","initN","mean","lcl","ucl"
2022,200,400,400,400
2023,200,357.625,277.1,435.3
2024,200,316.309210526316,91.05,433
2025,200,272.293859649123,80.55,432.9
2026,200,243.752192982456,72.4,402.3
2027,200,212.752192982456,60,396.1
2028,200,189.915570175439,25.525,398.6
2029,200,170.512061403509,21.7,373.9
2030,200,145.776315789474,19.775,330.3
2031,200,125.381578947368,17,316.9
2032,200,109.232456140351,16,293.2
2033,200,90.2247807017544,14,252
2034,200,77.4813596491228,12,214.3
2035,200,64.6962719298246,10,191.6
2036,200,59.3771929824561,10,168.2
2037,200,50.6239035087719,9,150
2038,200,44.1688596491228,8,124.6
2039,200,35.3925438596491,7,70.6
2040,200,28.0230263157895,6,54
2041,200,24.1809210526316,5,48.3
2042,200,19.7401315789474,5,39.3
2043,200,16.1348684210526,4,32
2044,200,13.4868421052632,4,28
2045,200,10.8969298245614,3,22
2046,200,9.09868421052632,3,15
2047,200,7.28837719298246,2,10.3
2048,200,6.06140350877193,2,8
2049,200,4.81140350877193,1,7
2050,200,3.82017543859649,1,6
2051,200,3.01315789473684,0,5
2052,200,2.33881578947368,0,4
2022,225,450,450,450
2023,225,395.25,120.025,484.9
2024,225,359.348765432099,100.4,489.9
2025,225,317.695987654321,91.85,478.8
2026,225,285.983024691358,71.3,463.7
2027,225,248.089506172839,28.025,459.4
2028,225,223.052469135802,25,423.6
2029,225,187.376543209877,22.1,404.8
2030,225,153.609567901235,20.775,350.4
2031,225,126.62037037037,17.05,338.8
2032,225,107.924382716049,15.5,311.5
2033,225,94.6234567901235,14.1,285.1
2034,225,79.5941358024691,13,229.7
2035,225,66.7608024691358,12,145.1
2036,225,53.4675925925926,11,104.4
2037,225,44.1219135802469,10,77.9
2038,225,38.4320987654321,9,72.8
2039,225,33.0895061728395,8.075,65
2040,225,27.7916666666667,7,54.7
2041,225,22.1450617283951,6,44.9
2042,225,17.429012345679,6,37.9
2043,225,14.658950617284,5,33.8
2044,225,12.1311728395062,4.1,23.9
2045,225,9.89197530864197,4,17
2046,225,8.65277777777778,3,13.9
2047,225,6.93981481481481,2,10.9
2048,225,5.81327160493827,2,8
2049,225,4.44753086419753,1,7
2050,225,3.67592592592593,1,6
2051,225,3.09259259259259,0,5
2052,225,2.53858024691358,0,4
2022,250,500,500,500
2023,250,442.29,230.3,543.4
2024,250,381.144,112,533
2025,250,324.662,99.8,512.4
2026,250,284.972,77.2,506
2027,250,246.972,67,500
2028,250,210.346,31.85,443.8
2029,250,183.724,24.4,419.6
2030,250,150.472,19.4,389.6
2031,250,117.544,18,340.2
2032,250,94.278,16.2,260.6
2033,250,74.748,14,148.2
2034,250,61.634,13,108.2
2035,250,53.054,11,96.8
2036,250,47.556,11,88.6000000000001
2037,250,40.86,10,79
2038,250,34.766,9,69.2
2039,250,30.35,8,61.2
2040,250,20.606,8,43.6
2041,250,18.462,7,36.6
2042,250,17.144,7,36.6
2043,250,14.51,5.1,29.2
2044,250,12.302,5,24.6
2045,250,10.186,4,14
2046,250,8.58,4,13
2047,250,7.484,3,11.2
2048,250,6.19,2,9
2049,250,4.92,2,7
2050,250,4.136,1.4,6
2051,250,3.404,1,5
2052,250,2.594,0,4
2022,275,550,550,550
2023,275,480.801470588235,146,592.9
2024,275,419.426470588235,117.425,590.8
2025,275,354.816176470588,103.7,563.9
2026,275,338.183823529412,101,559.6
2027,275,288.279411764706,88.7,518.2
2028,275,239.5625,76.4,505.7
2029,275,203.261029411765,64.7,515.6
2030,275,180.3125,45.7,407.7
2031,275,140.522058823529,25.75,337.6
2032,275,110.694852941176,20.4,246.8
2033,275,99.8933823529412,18.7,195.3
2034,275,83.1029411764706,15.7,184.7
2035,275,72.75,13.7,164.8
2036,275,62.5551470588235,12.175,137.2
2037,275,52.3786764705882,9.7,118.525
2038,275,37.2389705882353,8,76.5
2039,275,30.7757352941176,7.7,64.4
2040,275,26.4963235294118,6.4,55.3
2041,275,21.5477941176471,5,47.2
2042,275,18.1948529411765,4.7,40.1
2043,275,14.0367647058824,4,24.525
2044,275,10.7757352941176,3.925,23.3
2045,275,8.42647058823529,3,12.6
2046,275,7.89338235294118,2.525,11.5
2047,275,5.85661764705882,2,9
2048,275,5.09558823529412,2,7
2049,275,4.23529411764706,1.7,6
2050,275,3.69117647058824,1,6
2051,275,2.92647058823529,0,5
2052,275,2.40808823529412,0,4
2022,300,600,600,600
2023,300,501.4375,161.5,649.2
2024,300,436.46875,135.825,632.8
2025,300,391.40625,115.025,634.7
2026,300,359.64375,93.9,638.5
2027,300,322.06875,81.6,625.3
2028,300,262.25625,31.6,571.3
2029,300,228.375,24.9,533.5
2030,300,199.34375,23,515.2
2031,300,181.1625,21.125,488.9
2032,300,145.6,19.9,479.3
2033,300,129.7875,16,460.2
2034,300,111.15625,15.9,436.3
2035,300,105.925,13.8,430.5
2036,300,76.99375,13.9,139.45
2037,300,63.19375,10.775,125.4
2038,300,55.33125,7.825,117.9
2039,300,38.325,6.8,105.775
2040,300,34.6125,6.7,91.2
2041,300,22.625,6.7,46.5
2042,300,21.1,5.8,40.4
2043,300,17.3375,2.9,34.2
2044,300,15.4875,2.9,26.8
2045,300,10.9125,1.9,21.1
2046,300,9.50625,1.9,13.6
2047,300,8.625,1.9,13.4
2048,300,7.775,1.8,13.2
2049,300,5.08125,0.9,7.1
2050,300,4.4,0,6
2051,300,3.08125,0,5
2052,300,2.325,0,4
