"years","initN","mean","lcl","ucl"
2022,200,400,400,400
2023,200,369.163212760613,322,435
2024,200,341.059532780708,112,440
2025,200,312.877606129113,92,435
2026,200,284.902034664657,81,424
2027,200,260.087792012057,73,411
2028,200,238.034601858829,66,399
2029,200,217.079377040944,60,384
2030,200,197.367621200703,54,371
2031,200,179.189964832957,48,352
2032,200,162.608766641547,43,328
2033,200,148.574039186134,39,315
2034,200,132.956166792263,34,292
2035,200,120.540316503391,30,270
2036,200,108.036674202462,26.5,249
2037,200,97.0360462195428,24,224
2038,200,87.1514694800301,21.5,201
2039,200,77.5665033911078,20,178
2040,200,68.6887088671188,18,157
2041,200,62.015511178096,17,144
2042,200,55.2634388344637,15,124
2043,200,48.1182491836222,14,107
2044,200,42.0190278824416,13,92
2045,200,37.4986184375785,12,81
2046,200,33.0191534790254,11,70
2047,200,28.948568198945,10,61
2048,200,25.3607761868877,10,48
2049,200,21.6512182868626,9,30
2050,200,18.9082516955539,8,25
2051,200,16.0243657372519,7,21
2052,200,13.5232981662899,7,19
2022,225,450,450,450
2023,225,436.350516515979,381,494
2024,225,423.002170501,348,504
2025,225,409.872126637424,322,507
2026,225,396.846405872348,298,507
2027,225,384.249157640319,277,505
2028,225,371.767061438845,258,500
2029,225,359.503879091696,240,494
2030,225,347.546152836213,224,486
2031,225,335.877956017068,208,477
2032,225,324.446375138006,194,468
2033,225,313.150512040104,180,457
2034,225,302.158958314684,168,446
2035,225,291.360681526572,157,434
2036,225,280.790970369707,148,421
2037,225,270.481240414168,139.25,408
2038,225,260.460399844836,132,395
2039,225,250.641356786919,126,381
2040,225,241.014377704175,120,366
2041,225,231.609843642765,115,351
2042,225,222.407220481604,110,336
2043,225,213.41305194999,106,320
2044,225,204.600245277952,102,305
2045,225,196.067442783397,98,290
2046,225,187.672790260496,94,275
2047,225,179.520856980873,91,260
2048,225,171.557844716975,88,245
2049,225,163.812018321248,85,231
2050,225,156.253536836452,82,217
2051,225,148.951697550204,79,203
2052,225,141.771625637812,77,191
2022,250,500,500,500
2023,250,458.501472951259,395,544
2024,250,419.981922870916,126.45,548
2025,250,384.643545795394,110.8,549
2026,250,352.37493304767,97.7,536
2027,250,322.539635779325,88,519.4
2028,250,293.404392072844,81,512.4
2029,250,268.393545795394,72,490
2030,250,240.770889126942,62,466
2031,250,220.055570433851,54,450
2032,250,197.984600964114,43,422.4
2033,250,180.165238350295,35,403.4
2034,250,161.153454740225,30,377.8
2035,250,144.691215854312,27,344.4
2036,250,127.844001071237,25.15,324
2037,250,113.918050348152,23,290.4
2038,250,100.767139796465,21,250.8
2039,250,88.9263524370648,19,209.4
2040,250,79.9144349223353,18,181
2041,250,71.15907873594,16,156
2042,250,60.9365291912159,15,125
2043,250,53.2344670594537,14,107
2044,250,46.7159882163899,13,97
2045,250,40.5258435993573,12,86
2046,250,34.6594804499197,11,73
2047,250,29.3620782003214,11,62
2048,250,25.5393679700054,10,51.4000000000001
2049,250,22.4505891805035,9,38
2050,250,18.9619710765935,8,26
2051,250,15.7189341189073,7,21
2052,250,13.3619442956615,6,19
2022,275,550,550,550
2023,275,502.73095065312,430,601
2024,275,462.769412191582,142,609
2025,275,419.47206095791,122.175,604
2026,275,380.926886792453,108,602
2027,275,345.659651669086,99,578
2028,275,311.761973875181,88,556.3
2029,275,282.32202467344,76.7,544
2030,275,254.759615384615,67,517
2031,275,231.074020319303,55.85,492.3
2032,275,209.276124818578,42.85,462
2033,275,188.937409288824,34,442
2034,275,171.28084179971,28.7,415.3
2035,275,152.232946298984,26,377.9
2036,275,137.558962264151,24,355.2
2037,275,121.630986937591,21.85,320
2038,275,110.114296081277,20,278.6
2039,275,99.1741654571843,19,243.2
2040,275,87.6119375907112,17,189
2041,275,77.4747822931785,16,167
2042,275,67.0903483309144,15,142.3
2043,275,59.3320029027576,14,123
2044,275,51.6197387518142,13,107
2045,275,44.8572206095791,12,95
2046,275,38.5197750362845,11,82.225
2047,275,33.0555152394775,10,77
2048,275,27.8544992743106,9,62.3
2049,275,23.6044992743106,9,47.3
2050,275,19.7746734397678,8,26
2051,275,16.6819666182874,7,21.825
2052,275,13.4214441219158,7,19
2022,300,600,600,600
2023,300,547.700989632422,472,656
2024,300,505.448162111216,153,666
2025,300,460.007775683318,133,660
2026,300,416.238925541942,119,642
2027,300,385.978793590952,109,628
2028,300,347.444627709708,99,612
2029,300,315.967954759661,86,597
2030,300,285.759896324222,75,562
2031,300,261.669886899152,63,551
2032,300,237.483034872762,46,518
2033,300,210.507775683318,37,492
2034,300,189.73656927427,32,451
2035,300,167.372290292177,30,420
2036,300,147.609095193214,25,380
2037,300,131.13383600377,24,344
2038,300,115.407634307257,22,284
2039,300,102.109566446748,21,240
2040,300,87.3628652214892,19,176
2041,300,74.3534401508011,17.75,147
2042,300,65.0591423185674,16,133
2043,300,58.1529217719133,15,117
2044,300,51.496465598492,14,107
2045,300,44.2478793590952,13,95
2046,300,38.1017907634307,12,84.75
2047,300,32.5937794533459,11,75
2048,300,28.2747408105561,10,61
2049,300,23.5348727615457,10,52
2050,300,19.8367106503299,9,25.25
2051,300,16.3235155513666,8,21
2052,300,13.5108388312912,7,19
