"years","initN","mean","lcl","ucl"
2022,200,400,400,400
2023,200,399.123685803571,350,449
2024,200,398.241648883929,330,469
2025,200,397.377704151786,314,486
2026,200,396.539257991071,302,499
2027,200,395.673201517857,290,511
2028,200,394.805631919643,280,521
2029,200,393.921261517857,271,531
2030,200,393.026075446429,263,540
2031,200,392.163512946429,255,548
2032,200,391.312876517857,247,556
2033,200,390.453489241071,240,563
2034,200,389.551184285714,233,570
2035,200,388.692577410714,227,577
2036,200,387.819482767857,221,583
2037,200,386.965135223214,215,589
2038,200,386.106102098214,209,595
2039,200,385.2197503125,204,600
2040,200,384.379805357143,199,606
2041,200,383.536114821429,194,611
2042,200,382.656774107143,189,616
2043,200,381.772078303571,184,621
2044,200,380.9300384375,180,625
2045,200,380.091779375,176,629
2046,200,379.194970803571,171,634
2047,200,378.319277633929,167,638
2048,200,377.4906171875,164,642
2049,200,376.626790401786,160,646
2050,200,375.750241339286,156,649
2051,200,374.870946339286,152,653
2052,200,373.9831165625,149,656
2022,225,450,450,450
2023,225,449.089134464286,394,504
2024,225,448.130268928571,371,528
2025,225,447.197360133929,354,546
2026,225,446.235940669643,340,561
2027,225,445.30718,327,574
2028,225,444.332679553571,316,586
2029,225,443.4002378125,306,597
2030,225,442.438356517857,296,607
2031,225,441.503208125,287,616
2032,225,440.595606116071,279,625
2033,225,439.683149375,271,633
2034,225,438.707472544643,264,641
2035,225,437.773988973214,257,649
2036,225,436.839370178571,250,655
2037,225,435.888230714286,243,662
2038,225,434.969883839286,237,669
2039,225,434.040730669643,231,675
2040,225,433.087977053571,225,681
2041,225,432.169810357143,220,687
2042,225,431.231574419643,214,692
2043,225,430.303251071429,209,698
2044,225,429.381375491071,204,703
2045,225,428.460554464286,199,708
2046,225,427.5391659375,195,713
2047,225,426.613812098214,190,717
2048,225,425.66804875,186,722
2049,225,424.740061785714,181,726
2050,225,423.792739107143,177,730
2051,225,422.900143526786,173,735
2052,225,421.953550982143,169,738
2022,250,500,500,500
2023,250,498.998442723214,438,560
2024,250,498.040866741071,413,586
2025,250,497.005878214286,394,606
2026,250,496.026645401786,379,623
2027,250,495.0212703125,365,637
2028,250,494.035664553571,352,650
2029,250,493.077462633929,341,663
2030,250,492.096804241071,330,674
2031,250,491.144202410714,321,684
2032,250,490.195762767857,311,694
2033,250,489.230216071429,303,703
2034,250,488.256520133929,294,712
2035,250,487.2550021875,287,720
2036,250,486.238519955357,279,728
2037,250,485.275776026786,272,736
2038,250,484.247613660714,265,743
2039,250,483.2840584375,258,750
2040,250,482.263467008929,252,756
2041,250,481.279856741071,246,763
2042,250,480.275305357143,240,769
2043,250,479.270158214286,234,775
2044,250,478.25831875,228,781
2045,250,477.295089732143,223,786
2046,250,476.320762321429,218,792
2047,250,475.317114330357,213,797
2048,250,474.312118392857,208,802
2049,250,473.324067276786,203,807
2050,250,472.311134241071,199,811
2051,250,471.373540892857,194,817
2052,250,470.368980178571,190,821
2022,275,550,550,550
2023,275,548.9593175,482,616
2024,275,547.896328080357,455,644
2025,275,546.831241428571,434,666
2026,275,545.752180669643,417,684
2027,275,544.684526785714,402,700
2028,275,543.657964375,388,715
2029,275,542.619207008929,376,728
2030,275,541.559696116071,365,740
2031,275,540.495339330357,354,752
2032,275,539.441167053571,344,762
2033,275,538.376968125,334,772
2034,275,537.363143035714,325,782
2035,275,536.312649375,316,791
2036,275,535.227871741071,308,800
2037,275,534.202938035714,300,808
2038,275,533.123685,293,816
2039,275,532.050593125,285,824
2040,275,531.054839508929,278,831
2041,275,530.045969598214,272,839
2042,275,529.043209732143,265,845
2043,275,528.002384241071,259,852
2044,275,526.939679553571,253,858
2045,275,525.884796071429,247,865
2046,275,524.837337410714,241,871
2047,275,523.751726205357,236,876
2048,275,522.720968616071,231,882
2049,275,521.6827609375,225,888
2050,275,520.641741071429,220,893
2051,275,519.617639419643,216,898
2052,275,518.548310580357,211,903
2022,300,600,600,600
2023,300,598.873822321429,527,671
2024,300,597.767551428571,497,702
2025,300,596.628257232143,475,726
2026,300,595.5553071875,456,746
2027,300,594.412050848214,439,763
2028,300,593.320609955357,425,779
2029,300,592.189978973214,411,793
2030,300,591.024239642857,399,807
2031,300,589.868912098214,387,819
2032,300,588.776792232143,376,831
2033,300,587.6554975,366,842
2034,300,586.497746607143,356,852
2035,300,585.438662991071,346,862
2036,300,584.313453973214,337,871
2037,300,583.159832991071,329,880
2038,300,582.055984285714,321,889
2039,300,580.921877544643,313,897
2040,300,579.819027857143,305,905
2041,300,578.706619464286,298,913
2042,300,577.615109330357,291,921
2043,300,576.496754375,284,928
2044,300,575.402507321429,277,935
2045,300,574.306701964286,271,942
2046,300,573.189347098214,265,948
2047,300,572.038725267857,259,954
2048,300,570.914888839286,253,960
2049,300,569.815835669643,247,966
2050,300,568.698828928571,242,972
2051,300,567.602169598214,237,978
2052,300,566.483288660714,232,983
