"years","initN","mean","lcl","ucl"
2022,200,400,400,400
2023,200,399.151522366071,350,449
2024,200,398.255059508929,330,470
2025,200,397.3844515625,314,486
2026,200,396.496582321429,302,499
2027,200,395.626052589286,290,511
2028,200,394.758024330357,280,521
2029,200,393.853969107143,271,531
2030,200,393.000446964286,263,540
2031,200,392.111848169643,255,548
2032,200,391.2792665625,247,556
2033,200,390.4177590625,240,563
2034,200,389.531084955357,233,570
2035,200,388.643081339286,227,577
2036,200,387.787777678571,221,583
2037,200,386.908397410714,215,589
2038,200,386.046963616071,209,595
2039,200,385.165966651786,204,600
2040,200,384.289620446429,199,606
2041,200,383.437315446429,194,611
2042,200,382.563038928571,189,616
2043,200,381.687249553571,184,620
2044,200,380.826016205357,180,625
2045,200,379.978480714286,176,629
2046,200,379.089247633929,171,634
2047,200,378.248173973214,167,637
2048,200,377.377105803571,163,641
2049,200,376.486764910714,160,645
2050,200,375.612691875,156,649
2051,200,374.732392678571,152,653
2052,200,373.848168125,149,656
2022,225,450,450,450
2023,225,449.092399017857,394,504
2024,225,448.141861830357,371,528
2025,225,447.229165491071,354,546
2026,225,446.302116026786,340,561
2027,225,445.353608348214,328,574
2028,225,444.423468125,316,586
2029,225,443.496170044643,306,597
2030,225,442.580594955357,296,607
2031,225,441.655411875,288,616
2032,225,440.7586471875,279,625
2033,225,439.8080153125,271,633
2034,225,438.875100758929,264,641
2035,225,437.925754330357,257,649
2036,225,436.971778303571,250,656
2037,225,436.053653660714,243,663
2038,225,435.122949107143,237,669
2039,225,434.208727142857,231,675
2040,225,433.293622857143,225,681
2041,225,432.367933214286,220,687
2042,225,431.429313660714,214,693
2043,225,430.4933053125,209,698
2044,225,429.582732589286,204,703
2045,225,428.677238080357,199,708
2046,225,427.767314732143,194,713
2047,225,426.8450646875,190,718
2048,225,425.901337678571,186,722
2049,225,424.977412410714,181,727
2050,225,424.073766964286,177,731
2051,225,423.156732098214,173,735
2052,225,422.224414285714,169,739
2022,250,500,500,500
2023,250,498.982051294643,438,560
2024,250,497.969183883929,413,586
2025,250,496.992355803571,394,606
2026,250,495.983239196429,379,623
2027,250,494.990126964286,365,637
2028,250,493.987751785714,352,650
2029,250,493.000584330357,341,663
2030,250,492.058376696429,330,674
2031,250,491.073530714286,320,684
2032,250,490.068351383929,311,694
2033,250,489.062168125,303,703
2034,250,488.062475535714,294,712
2035,250,487.061389330357,286,720
2036,250,486.026357857143,279,728
2037,250,484.996047857143,272,735
2038,250,483.972443616071,265,743
2039,250,483.006790892857,258,750
2040,250,482.033793928571,252,756
2041,250,481.037572633929,245,763
2042,250,480.0637821875,239,769
2043,250,479.074105044643,234,775
2044,250,478.095324464286,228,781
2045,250,477.078595982143,223,786
2046,250,476.096094241071,218,792
2047,250,475.071139642857,213,797
2048,250,474.079125625,208,802
2049,250,473.081785089286,203,807
2050,250,472.103132589286,199,812
2051,250,471.127480669643,194,816
2052,250,470.150520803571,190,821
2022,275,550,550,550
2023,275,548.951234776786,482,616
2024,275,547.872125178571,455,644
2025,275,546.799068214286,434,666
2026,275,545.762637276786,417,684
2027,275,544.707336919643,402,700
2028,275,543.645490625,388,715
2029,275,542.602894375,376,728
2030,275,541.5568053125,364,740
2031,275,540.524649776786,354,752
2032,275,539.483215982143,344,762
2033,275,538.415652232143,334,772
2034,275,537.411477946429,325,782
2035,275,536.348648705357,316,791
2036,275,535.295037857143,308,800
2037,275,534.231478125,300,808
2038,275,533.196151830357,293,816
2039,275,532.149471875,285,824
2040,275,531.099399642857,278,831
2041,275,529.993653839286,272,838
2042,275,528.968737276786,265,845
2043,275,527.913792008929,259,852
2044,275,526.879564151786,253,858
2045,275,525.799053258929,247,864
2046,275,524.774370267857,241,870
2047,275,523.696843794643,236,876
2048,275,522.651359821429,230,882
2049,275,521.603708258929,225,887
2050,275,520.553866964286,220,892
2051,275,519.530038928571,216,897
2052,275,518.455363839286,211,902
2022,300,600,600,600
2023,300,598.825398928571,527,671
2024,300,597.744019821429,497,702
2025,300,596.629924821429,475,726
2026,300,595.481852723214,456,746
2027,300,594.350902008929,439,763
2028,300,593.237177098214,425,779
2029,300,592.093526160714,411,793
2030,300,590.999487857143,399,806
2031,300,589.8741434375,387,819
2032,300,588.738724508929,376,831
2033,300,587.616325,366,842
2034,300,586.479844196429,356,852
2035,300,585.360451875,347,862
2036,300,584.222480758929,338,871
2037,300,583.127787366071,329,881
2038,300,582.019722232143,321,889
2039,300,580.911209866071,313,898
2040,300,579.786968526786,305,906
2041,300,578.669962633929,298,913
2042,300,577.575063794643,291,921
2043,300,576.466959196429,284,928
2044,300,575.382414151786,277,935
2045,300,574.285593214286,271,942
2046,300,573.150445178571,265,948
2047,300,572.037609642857,259,955
2048,300,570.948724241071,253,961
2049,300,569.846297053571,248,967
2050,300,568.743671830357,242,973
2051,300,567.611811205357,237,979
2052,300,566.528633571429,232,984
