"years","initN","mean","lcl","ucl"
2022,200,400,400,400
2023,200,399.117605625,350,449
2024,200,398.253966160714,330,470
2025,200,397.380148214286,314,486
2026,200,396.490794642857,302,499
2027,200,395.646357455357,290,511
2028,200,394.784319196429,280,521
2029,200,393.93955125,271,531
2030,200,393.082407901786,263,540
2031,200,392.216871116071,255,548
2032,200,391.344297098214,247,556
2033,200,390.482042946429,240,563
2034,200,389.612489419643,234,570
2035,200,388.764419508929,227,577
2036,200,387.900751473214,221,583
2037,200,386.997653928571,215,589
2038,200,386.111886294643,210,595
2039,200,385.246963973214,204,600
2040,200,384.368639151786,199,606
2041,200,383.503015446429,194,611
2042,200,382.661412410714,189,616
2043,200,381.78656375,185,620
2044,200,380.926487901786,180,625
2045,200,380.05962875,176,629
2046,200,379.195606205357,172,634
2047,200,378.360012366071,167,638
2048,200,377.499454776786,164,642
2049,200,376.639377991071,160,646
2050,200,375.779392767857,156,649
2051,200,374.8953415625,153,653
2052,200,374.028010267857,149,656
2022,225,450,450,450
2023,225,449.035055223214,394,504
2024,225,448.100113125,371,528
2025,225,447.166838125,354,546
2026,225,446.264940446429,340,561
2027,225,445.295527098214,328,574
2028,225,444.339856205357,316,586
2029,225,443.388696428571,306,597
2030,225,442.499150758929,296,607
2031,225,441.572657767857,287,616
2032,225,440.664274508929,279,625
2033,225,439.725556026786,271,633
2034,225,438.796053035714,264,641
2035,225,437.866168035714,257,648
2036,225,436.970639642857,250,656
2037,225,436.049021026786,243,663
2038,225,435.126371607143,237,669
2039,225,434.213015491071,231,675
2040,225,433.289950535714,225,681
2041,225,432.370576473214,220,687
2042,225,431.4242840625,214,693
2043,225,430.520687321429,209,698
2044,225,429.600870714286,204,703
2045,225,428.693999955357,199,708
2046,225,427.7687146875,195,713
2047,225,426.820291428571,190,718
2048,225,425.8705553125,186,722
2049,225,424.927294776786,181,726
2050,225,423.9866725,177,731
2051,225,423.041850848214,173,735
2052,225,422.104528928571,169,739
2022,250,500,500,500
2023,250,498.973904598214,438,560
2024,250,497.956290223214,413,586
2025,250,496.946595446429,394,606
2026,250,495.96761625,379,623
2027,250,494.951220714286,365,637
2028,250,493.951589910714,352,650
2029,250,492.943069285714,341,663
2030,250,491.9588753125,330,674
2031,250,490.979531651786,320,684
2032,250,489.958830491071,311,694
2033,250,488.957195178571,302,703
2034,250,487.969803169643,294,712
2035,250,486.983116071429,286,720
2036,250,485.9695684375,279,728
2037,250,484.958325580357,272,735
2038,250,483.988909464286,265,742
2039,250,482.989896160714,258,749
2040,250,481.967077098214,252,756
2041,250,480.974860133929,246,762
2042,250,479.99256,240,769
2043,250,478.994345,234,775
2044,250,477.999724151786,228,780
2045,250,476.989829285714,223,786
2046,250,476.00298875,218,791
2047,250,475.035077410714,213,797
2048,250,474.038069241071,208,802
2049,250,473.057897008929,203,807
2050,250,472.067087410714,199,811
2051,250,471.084845491071,194,816
2052,250,470.095833169643,190,820
2022,275,550,550,550
2023,275,548.968667991071,482,616
2024,275,547.923693482143,455,644
2025,275,546.860443883929,434,666
2026,275,545.81707375,417,684
2027,275,544.730230758929,402,700
2028,275,543.68810375,388,715
2029,275,542.650054866071,376,728
2030,275,541.610784196429,365,740
2031,275,540.5440528125,354,752
2032,275,539.492467991071,344,763
2033,275,538.434418392857,334,773
2034,275,537.421367455357,325,782
2035,275,536.372334285714,316,791
2036,275,535.3730996875,308,800
2037,275,534.317121517857,300,809
2038,275,533.285978348214,293,817
2039,275,532.247032321429,285,824
2040,275,531.183490357143,278,832
2041,275,530.173995044643,272,839
2042,275,529.143738973214,265,846
2043,275,528.071043616071,259,852
2044,275,526.993884776786,253,858
2045,275,525.906764375,247,865
2046,275,524.854060133929,241,871
2047,275,523.787933660714,236,876
2048,275,522.7272353125,231,882
2049,275,521.674634196429,225,887
2050,275,520.634184598214,220,893
2051,275,519.572023169643,216,898
2052,275,518.498025714286,211,903
2022,300,600,600,600
2023,300,598.891202857143,527,672
2024,300,597.766738616071,497,702
2025,300,596.651402053571,475,726
2026,300,595.518333571429,456,746
2027,300,594.3873728125,439,763
2028,300,593.2935903125,425,779
2029,300,592.183674330357,411,793
2030,300,591.114729330357,399,807
2031,300,589.954924464286,387,819
2032,300,588.818669017857,376,831
2033,300,587.672838660714,366,842
2034,300,586.564198571429,356,852
2035,300,585.414956875,347,862
2036,300,584.306247008929,338,871
2037,300,583.191235892857,329,880
2038,300,582.062258482143,321,889
2039,300,580.935730267857,313,897
2040,300,579.836051383929,305,906
2041,300,578.727016964286,298,913
2042,300,577.602122410714,291,921
2043,300,576.5010409375,284,928
2044,300,575.398012723214,277,935
2045,300,574.268148526786,271,942
2046,300,573.152962901786,265,948
2047,300,572.007606428571,259,955
2048,300,570.891851696429,253,961
2049,300,569.734104464286,248,966
2050,300,568.595567366071,242,972
2051,300,567.519862455357,237,978
2052,300,566.38669875,232,984
