"years","initN","mean","lcl","ucl"
2022,200,400,400,400
2023,200,399.1145075,350,449
2024,200,398.25690625,330,470
2025,200,397.406766875,314,486
2026,200,396.541105714286,302,499
2027,200,395.663724910714,290,511
2028,200,394.828401785714,280,521
2029,200,393.9835215625,271,531
2030,200,393.124407232143,263,540
2031,200,392.231247723214,255,548
2032,200,391.347560803571,247,556
2033,200,390.453883571429,240,563
2034,200,389.598254866071,233,570
2035,200,388.719682366071,227,577
2036,200,387.891134776786,221,583
2037,200,387.004768616071,215,589
2038,200,386.159348125,209,595
2039,200,385.271346071429,204,601
2040,200,384.418772142857,199,606
2041,200,383.580526160714,194,611
2042,200,382.672785446429,189,616
2043,200,381.828790133929,184,621
2044,200,380.917866964286,180,625
2045,200,380.081244464286,176,630
2046,200,379.187755892857,171,634
2047,200,378.3165384375,167,638
2048,200,377.469513571429,163,642
2049,200,376.625123303571,160,646
2050,200,375.762082098214,156,650
2051,200,374.886569553571,152,653
2052,200,374.021796428571,149,657
2022,225,450,450,450
2023,225,449.045960714286,394,504
2024,225,448.095467678571,371,528
2025,225,447.157341517857,354,546
2026,225,446.224690044643,340,561
2027,225,445.296228035714,327,574
2028,225,444.355768125,316,586
2029,225,443.388041517857,306,597
2030,225,442.458311875,296,607
2031,225,441.4983425,287,616
2032,225,440.581927321429,279,625
2033,225,439.620831919643,271,633
2034,225,438.684958616071,264,641
2035,225,437.7350246875,257,648
2036,225,436.806958214286,250,656
2037,225,435.891514196429,243,662
2038,225,434.962460714286,237,669
2039,225,434.020038214286,231,675
2040,225,433.112095491071,225,681
2041,225,432.209174553571,219,687
2042,225,431.2934584375,214,692
2043,225,430.345743794643,209,698
2044,225,429.401670491071,204,703
2045,225,428.466063169643,199,708
2046,225,427.515082857143,194,713
2047,225,426.582072901786,190,717
2048,225,425.685001875,185,722
2049,225,424.779626339286,181,726
2050,225,423.875701339286,177,731
2051,225,422.935021651786,173,735
2052,225,422.005598169643,169,739
2022,250,500,500,500
2023,250,498.984152455357,438,560
2024,250,497.976420892857,413,586
2025,250,496.968730758929,394,606
2026,250,495.988186205357,379,623
2027,250,494.996815758929,365,637
2028,250,494.034561428571,352,651
2029,250,493.088356026786,341,663
2030,250,492.071318839286,330,674
2031,250,491.053639196429,321,684
2032,250,490.067340892857,311,694
2033,250,489.054822410714,303,703
2034,250,488.046581517857,294,712
2035,250,487.0160265625,286,720
2036,250,486.064123214286,279,728
2037,250,485.086223571429,272,735
2038,250,484.146273705357,265,743
2039,250,483.148050446429,258,750
2040,250,482.147869330357,252,756
2041,250,481.1891253125,246,763
2042,250,480.219925758929,240,769
2043,250,479.254471964286,234,775
2044,250,478.265975357143,228,781
2045,250,477.262010758929,223,787
2046,250,476.269234955357,218,792
2047,250,475.2767325,213,797
2048,250,474.291790044643,208,802
2049,250,473.2921365625,203,807
2050,250,472.271629910714,199,812
2051,250,471.259839776786,194,816
2052,250,470.278239375,190,821
2022,275,550,550,550
2023,275,548.925535267857,482,616
2024,275,547.875024642857,455,644
2025,275,546.838136696429,434,666
2026,275,545.769056964286,417,684
2027,275,544.684046696429,402,700
2028,275,543.659363794643,389,715
2029,275,542.621120580357,376,728
2030,275,541.591441651786,365,740
2031,275,540.544917008929,354,752
2032,275,539.502974598214,344,762
2033,275,538.439011383929,334,773
2034,275,537.338833660714,325,782
2035,275,536.273273526786,317,791
2036,275,535.216942723214,308,800
2037,275,534.183310758929,300,808
2038,275,533.134976607143,293,816
2039,275,532.132096071429,285,824
2040,275,531.048056919643,278,831
2041,275,530.005562276786,272,838
2042,275,529.014213660714,265,845
2043,275,527.994903214286,259,852
2044,275,526.948224419643,253,858
2045,275,525.900670669643,247,864
2046,275,524.851470267857,241,870
2047,275,523.801594285714,236,876
2048,275,522.7451284375,231,881
2049,275,521.725795714286,225,887
2050,275,520.652479776786,220,892
2051,275,519.610245535714,216,897
2052,275,518.529368928571,211,903
2022,300,600,600,600
2023,300,598.815779241071,527,671
2024,300,597.681298169643,497,702
2025,300,596.530964821429,475,726
2026,300,595.415857276786,456,746
2027,300,594.288658839286,439,763
2028,300,593.140570133929,425,779
2029,300,592.010669017857,411,793
2030,300,590.878361651786,399,806
2031,300,589.712312901786,387,819
2032,300,588.606262455357,376,830
2033,300,587.476850089286,366,842
2034,300,586.331708392857,356,852
2035,300,585.226468169643,346,861
2036,300,584.114239642857,337,871
2037,300,583.033330982143,329,880
2038,300,581.926797098214,321,889
2039,300,580.823571116071,313,897
2040,300,579.726898883929,305,906
2041,300,578.577919017857,298,913
2042,300,577.470759910714,291,921
2043,300,576.338385803571,284,928
2044,300,575.174607723214,277,935
2045,300,574.0614415625,271,941
2046,300,572.980963080357,265,948
2047,300,571.872752946429,259,954
2048,300,570.738048348214,253,960
2049,300,569.568004285714,247,966
2050,300,568.483627321429,242,972
2051,300,567.383649151786,237,978
2052,300,566.243364955357,232,983
