"years","initN","mean","lcl","ucl"
2022,200,400,400,400
2023,200,399.101162589286,350,449
2024,200,398.2451065625,330,470
2025,200,397.373484330357,315,486
2026,200,396.485866964286,302,499
2027,200,395.636177098214,290,511
2028,200,394.772367767857,280,521
2029,200,393.883454598214,271,531
2030,200,393.017967276786,263,540
2031,200,392.15434,255,548
2032,200,391.290530401786,247,556
2033,200,390.403603526786,240,563
2034,200,389.522190223214,233,570
2035,200,388.660195267857,227,577
2036,200,387.805994419643,221,583
2037,200,386.959904642857,215,589
2038,200,386.066919017857,209,595
2039,200,385.151065089286,204,600
2040,200,384.272650535714,199,606
2041,200,383.392282455357,194,611
2042,200,382.490483258929,189,615
2043,200,381.618470625,184,620
2044,200,380.716503660714,180,625
2045,200,379.8702375,176,629
2046,200,378.991012232143,171,633
2047,200,378.10884,167,637
2048,200,377.223161696429,163,641
2049,200,376.392177098214,160,645
2050,200,375.530762008929,156,649
2051,200,374.642703526786,152,653
2052,200,373.761951696429,149,656
2022,225,450,450,450
2023,225,449.078441294643,394,504
2024,225,448.148926071429,372,528
2025,225,447.215482321429,354,546
2026,225,446.2615071875,340,561
2027,225,445.342055223214,327,574
2028,225,444.3913084375,316,586
2029,225,443.472255357143,306,597
2030,225,442.561853392857,296,607
2031,225,441.625606607143,287,616
2032,225,440.7025978125,279,625
2033,225,439.778784241071,271,633
2034,225,438.881278125,264,641
2035,225,437.934882678571,257,649
2036,225,437.008229464286,250,656
2037,225,436.088853705357,243,663
2038,225,435.120475223214,237,669
2039,225,434.211892098214,231,675
2040,225,433.300589107143,225,681
2041,225,432.368791339286,220,687
2042,225,431.459085625,214,692
2043,225,430.51219125,209,698
2044,225,429.583387455357,204,703
2045,225,428.630338080357,199,708
2046,225,427.673813392857,195,713
2047,225,426.747479241071,190,718
2048,225,425.822224910714,186,722
2049,225,424.863821383929,181,726
2050,225,423.921310089286,177,730
2051,225,423.019318482143,173,735
2052,225,422.100843392857,169,739
2022,250,500,500,500
2023,250,499.049227366071,438,560
2024,250,498.0700203125,413,586
2025,250,497.0979709375,394,606
2026,250,496.091254910714,379,623
2027,250,495.086873482143,365,637
2028,250,494.14367125,352,651
2029,250,493.164153839286,341,663
2030,250,492.166029732143,331,674
2031,250,491.1655525,321,684
2032,250,490.171948080357,311,694
2033,250,489.187774330357,303,703
2034,250,488.129956339286,294,712
2035,250,487.115398705357,287,720
2036,250,486.1293625,279,728
2037,250,485.122212098214,272,736
2038,250,484.150893169643,265,743
2039,250,483.149083839286,258,750
2040,250,482.197063705357,252,756
2041,250,481.185125669643,246,763
2042,250,480.195445625,240,769
2043,250,479.2238128125,234,775
2044,250,478.244553035714,228,781
2045,250,477.271628035714,223,786
2046,250,476.29514375,218,792
2047,250,475.311169196429,213,797
2048,250,474.288000446429,208,802
2049,250,473.271458616071,203,807
2050,250,472.293655178571,199,812
2051,250,471.295224241071,194,816
2052,250,470.304110758929,190,820
2022,275,550,550,550
2023,275,548.978899553571,482,616
2024,275,547.926190803571,455,644
2025,275,546.882780580357,435,666
2026,275,545.832303258929,417,685
2027,275,544.800278526786,402,701
2028,275,543.725932901786,388,715
2029,275,542.712615401786,376,728
2030,275,541.664806428571,365,741
2031,275,540.615595446429,354,752
2032,275,539.550554107143,344,762
2033,275,538.5001053125,334,772
2034,275,537.460266383929,325,782
2035,275,536.407642901786,317,791
2036,275,535.387448883929,308,800
2037,275,534.349844375,300,808
2038,275,533.293923392857,293,816
2039,275,532.216894866071,286,824
2040,275,531.1866503125,279,831
2041,275,530.160677589286,272,839
2042,275,529.1155559375,265,845
2043,275,528.012811964286,259,852
2044,275,526.941358303571,253,858
2045,275,525.856089375,247,864
2046,275,524.806952008929,241,870
2047,275,523.769224642857,236,876
2048,275,522.718185848214,231,882
2049,275,521.669209285714,226,887
2050,275,520.591460401786,221,892
2051,275,519.528629598214,216,897
2052,275,518.487231741071,211,902
2022,300,600,600,600
2023,300,598.860601071429,527,672
2024,300,597.757779107143,497,702
2025,300,596.620418526786,475,726
2026,300,595.510245848214,456,746
2027,300,594.352546785714,439,763
2028,300,593.208280133929,425,779
2029,300,592.110668839286,411,793
2030,300,590.987104107143,399,807
2031,300,589.9288621875,387,819
2032,300,588.791097633929,376,831
2033,300,587.656491875,366,842
2034,300,586.565475491071,356,852
2035,300,585.453063660714,347,862
2036,300,584.333734285714,338,871
2037,300,583.210599241071,329,880
2038,300,582.117802633929,321,889
2039,300,580.987602142857,313,897
2040,300,579.8804271875,305,905
2041,300,578.779358928571,298,913
2042,300,577.633072723214,291,921
2043,300,576.527299955357,284,928
2044,300,575.364158526786,277,935
2045,300,574.232594732143,271,941
2046,300,573.125674330357,265,948
2047,300,571.999260357143,259,955
2048,300,570.919580044643,253,961
2049,300,569.813928348214,247,967
2050,300,568.746883973214,242,973
2051,300,567.641584017857,237,978
2052,300,566.580598303571,232,984
