"years","initN","mean","lcl","ucl"
2022,200,400,400,400
2023,200,360.524891774892,314,431
2024,200,323.835497835498,93.75,434
2025,200,282.244588744589,82.75,431
2026,200,251.910173160173,77,412
2027,200,218.899350649351,64.75,391
2028,200,193.721861471861,54.25,377
2029,200,173.089826839827,24.25,359
2030,200,154.931818181818,20,326
2031,200,131.584415584416,17,310
2032,200,116.448051948052,15,291
2033,200,99.3474025974026,13,246
2034,200,86.245670995671,13,229
2035,200,75.1406926406926,11,206
2036,200,62.8225108225108,10,188
2037,200,50.9556277056277,9,138
2038,200,43.3311688311688,8,117
2039,200,40.0248917748918,7.25,97
2040,200,32.6212121212121,7,63
2041,200,27.512987012987,6,53
2042,200,24.3766233766234,5,45
2043,200,18.8863636363636,4,42
2044,200,15.6796536796537,4,34
2045,200,13.29329004329,3,26
2046,200,9.86255411255411,3,20
2047,200,8.55194805194805,2,17
2048,200,6.67965367965368,2,10
2049,200,5.245670995671,1,7
2050,200,3.97186147186147,1,6
2051,200,3.12770562770563,0,5
2052,200,2.40584415584416,0,4
2022,225,450,450,450
2023,225,389.077272727273,114.7,481.6
2024,225,349.877272727273,99.4,483
2025,225,315.013636363636,88.4,467.6
2026,225,266.165151515152,66.6,454.6
2027,225,227.707575757576,52.8,439.8
2028,225,199.527272727273,29.8,411.4
2029,225,168.057575757576,23.4,372.2
2030,225,144.704545454545,19.7,350
2031,225,116.65,18,314
2032,225,97.2242424242424,15.4,268.6
2033,225,82.2954545454545,15,240
2034,225,71.8939393939394,14,220.4
2035,225,61.1742424242424,12,141.6
2036,225,54.1409090909091,11,129.8
2037,225,47.0348484848485,9,83.6
2038,225,37.0424242424242,8.4,69.2
2039,225,32.2863636363636,7,69.2
2040,225,27.1181818181818,7,57
2041,225,21.6242424242424,7,49.6
2042,225,18.1318181818182,6,42.6
2043,225,15.5181818181818,5,36.2
2044,225,12.4469696969697,4,24.6
2045,225,9.87121212121212,4,20
2046,225,8.65,3,17.6
2047,225,7.53787878787879,2.4,13.6
2048,225,5.83333333333333,2,9
2049,225,4.79545454545455,1,7
2050,225,3.99545454545455,0.400000000000002,6
2051,225,3.31515151515151,0,5
2052,225,2.44393939393939,0,4
2022,250,500,500,500
2023,250,452.981818181818,365.7,537.1
2024,250,397.811363636364,116.7,545.2
2025,250,366.865909090909,108.6,531.6
2026,250,318.009090909091,91.7,525.5
2027,250,282.397727272727,31.875,519.3
2028,250,232.884090909091,26.225,483.3
2029,250,188.615909090909,25,439.6
2030,250,169.4,23,405.8
2031,250,155.043181818182,18.95,397.3
2032,250,134.45,17,364.5
2033,250,119.931818181818,15.9,329.6
2034,250,98.5772727272727,14,298.1
2035,250,78.7863636363636,12.875,242.5
2036,250,61.35,11,176.325
2037,250,52.8772727272727,10.45,144.8
2038,250,47.4522727272727,9,92.7000000000002
2039,250,34.5159090909091,8,70.725
2040,250,29.4704545454545,7,66.4
2041,250,24.9886363636364,6.9,53.9000000000001
2042,250,17.2340909090909,6,41.4
2043,250,14.6977272727273,5,33.1
2044,250,11.5045454545455,4,20.65
2045,250,9.13409090909091,3.9,15
2046,250,7.59772727272727,3,12
2047,250,6.67045454545455,2,10
2048,250,5.62272727272727,1,9.10000000000001
2049,250,4.82045454545455,1,8
2050,250,3.74545454545455,0.9,6
2051,250,2.96136363636364,0,5
2052,250,2.26818181818182,0,4
2022,275,550,550,550
2023,275,494.577160493827,421,591
2024,275,422.469135802469,127.5,575
2025,275,372.558641975309,114,566
2026,275,316.743827160494,91,547
2027,275,269.435185185185,79,494
2028,275,234.882716049383,60,468
2029,275,197.697530864198,31.75,437
2030,275,154.533950617284,24,398
2031,275,127.064814814815,22,361
2032,275,109.549382716049,18,309
2033,275,88.7901234567901,17.25,222
2034,275,68.6882716049383,13,116
2035,275,56.6975308641975,11,92
2036,275,48.4074074074074,10,81
2037,275,39.9814814814815,9,75
2038,275,35.4506172839506,8,65
2039,275,28.3395061728395,7,61
2040,275,20.6697530864198,7,51
2041,275,17.5339506172839,6,47
2042,275,14.1666666666667,5,37
2043,275,12.0771604938272,4,32
2044,275,10.4197530864198,4,26
2045,275,9.18518518518519,3,16
2046,275,8.09259259259259,3,10
2047,275,6.53703703703704,2,9
2048,275,4.98456790123457,1,8
2049,275,4.29012345679012,1,7
2050,275,3.33333333333333,0,5
2051,275,2.59259259259259,0,5
2052,275,2.05246913580247,0,4
2022,300,600,600,600
2023,300,562.96875,487.7,657.8
2024,300,479.3125,131.725,657.7
2025,300,415.65625,127.75,608.8
2026,300,373.753472222222,115.675,604.5
2027,300,311.854166666667,102.75,592.1
2028,300,256.6875,31.2,545
2029,300,236.138888888889,29,546.3
2030,300,196.84375,28.2,465.3
2031,300,183.107638888889,26.025,462.5
2032,300,151.520833333333,21.1,377.7
2033,300,130.677083333333,18.55,334.5
2034,300,109.597222222222,16.1,260.6
2035,300,92.5833333333333,15,245.1
2036,300,83.1458333333333,13,228.8
2037,300,69.6111111111111,11.2,204.1
2038,300,56.8229166666667,11.1,120.9
2039,300,51.0972222222222,10.05,100.4
2040,300,46.0277777777778,9,85.9000000000001
2041,300,43.0590277777778,7.2,72.6
2042,300,37.6076388888889,7,54
2043,300,30.5208333333333,5.325,48.6
2044,300,26.4930555555556,4.1,40.225
2045,300,23.0104166666667,4,36.6
2046,300,14.4618055555556,3.1,19.6
2047,300,11.5486111111111,3,13
2048,300,10.4166666666667,2,12
2049,300,9.40277777777778,2,7
2050,300,4.94097222222222,1,6
2051,300,3.30208333333333,0.100000000000001,5
2052,300,2.51388888888889,0,4
