"years","initN","mean","lcl","ucl"
2022,200,400,400,400
2023,200,369.756750122729,321,435.7
2024,200,337.448208149239,107.075,435.7
2025,200,311.71557437408,93,434.7
2026,200,286.928019145803,84,427
2027,200,263.250184094256,74,418
2028,200,240.090267550319,67,399
2029,200,218.8838365243,60,388
2030,200,199.717783505155,55,370
2031,200,181.616531664212,48,355
2032,200,164.742574864998,43,335
2033,200,148.742329405989,38.65,317.7
2034,200,133.692378497791,34.3,291.7
2035,200,119.769575355916,30.075,268
2036,200,107.627515954836,27,245
2037,200,95.7001718213058,24,220
2038,200,86.3376902307315,21,200
2039,200,77.1246931762396,20,178
2040,200,68.8000122729504,18,158
2041,200,61.4478399607266,16.25,140
2042,200,54.8838365243004,16,121
2043,200,48.7502454590083,14,107
2044,200,43.0595851742759,13,94
2045,200,37.7544796269023,12,80
2046,200,33.6243863524791,11,72
2047,200,29.3691089837997,10.25,61.7000000000003
2048,200,25.1918262150221,10,48
2049,200,21.9809155621011,9,32
2050,200,18.8227172312224,8,25
2051,200,16.0294550810015,7,21
2052,200,13.5211708394698,6.825,19
2022,225,450,450,450
2023,225,436.35241897187,381,494
2024,225,422.905058322118,348,504
2025,225,409.75139183204,322,507
2026,225,396.77435079656,298,507
2027,225,384.123027691074,277,504
2028,225,371.720501572597,258,500
2029,225,359.565791655928,241,493
2030,225,347.653195486479,224,486
2031,225,335.949546237698,209,477
2032,225,324.461769362752,195,468
2033,225,313.256198813035,181,457
2034,225,302.379008154119,169,446
2035,225,291.620238657732,158,434
2036,225,281.104021100007,149,422
2037,225,270.746063734334,140,408
2038,225,260.736733150063,133,395
2039,225,250.835299676412,126,381
2040,225,241.211633341447,120,366
2041,225,231.801962524937,115,351
2042,225,222.584009860351,110,336
2043,225,213.584584967975,106,321
2044,225,204.875556016914,102,305
2045,225,196.271661094566,98,290
2046,225,187.88273173735,95,275
2047,225,179.732692482079,91,260
2048,225,171.767377318328,88,245
2049,225,163.999013845537,85,231
2050,225,156.398091406317,82,217
2051,225,149.065526772334,79,203
2052,225,141.865962338803,77,191
2022,250,500,500,500
2023,250,458.121099947118,394,541
2024,250,418.559888947647,128.75,540
2025,250,384.656530936013,113,539
2026,250,354.582363828662,101,535
2027,250,320.427948175568,91,523
2028,250,293.18561607615,82,508
2029,250,266.24457958752,73.75,496
2030,250,243.522871496563,64,476
2031,250,218.348228450555,56,455
2032,250,196.220650449498,46,430
2033,250,175.281068217874,38,402
2034,250,160.217477525119,31,383
2035,250,146.225277630883,27,353
2036,250,130.605367530407,24.5,321
2037,250,117.24457958752,23,282
2038,250,104.451480698043,20,243
2039,250,93.9824167107351,19,221
2040,250,81.8026176626124,18,186
2041,250,72.1289000528821,17,158
2042,250,63.1922263352723,16,137
2043,250,55.2822580645161,14,118
2044,250,48.7741935483871,13,103
2045,250,42.4192226335272,12,93
2046,250,36.3974087784241,11,81
2047,250,31.6411951348493,10,72
2048,250,26.8849814912745,10,59
2049,250,22.3582760444209,9,35
2050,250,19.2017451084083,8,25
2051,250,16.2657324167107,7,21
2052,250,13.5228714965627,7,19
2022,275,550,550,550
2023,275,506.858178438662,435,601
2024,275,466.550185873606,142,603.6
2025,275,429.511338289963,127,603.6
2026,275,391.342379182156,114,590
2027,275,363.274907063197,103,590
2028,275,327.350743494424,92,567
2029,275,296.181970260223,82,554.6
2030,275,265.167286245353,69.55,527.400000000001
2031,275,240.503345724907,60,500.2
2032,275,214.022862453532,49,473
2033,275,188.521933085502,33,441.6
2034,275,167.790334572491,30,402.2
2035,275,151.915055762082,26,360.2
2036,275,138.096840148699,24,345.6
2037,275,120.274163568773,22,304
2038,275,106.639219330855,20,262.8
2039,275,95.3005576208178,18,223
2040,275,84.3585501858736,17,191.2
2041,275,74.9003717472119,15,169.2
2042,275,66.2057620817844,14,141
2043,275,57.0860594795539,13,119.2
2044,275,49.6912639405204,12,105.6
2045,275,43.2882899628253,12,93
2046,275,36.5053903345725,11,82
2047,275,31.6163568773234,10,70.6000000000001
2048,275,27.1942379182156,9,61.3000000000001
2049,275,23.403717472119,8,41.6000000000001
2050,275,19.8511152416357,8,26
2051,275,16.6960966542751,7,22
2052,275,13.4328996282528,6,19
2022,300,600,600,600
2023,300,541.310760667904,456.8,652
2024,300,495.206864564007,146.7,657.3
2025,300,454.738172541744,132,655.6
2026,300,417.468692022263,118.7,646
2027,300,373.629638218924,105,622.3
2028,300,342.313079777365,95,613
2029,300,312.991651205937,79.7,588.3
2030,300,283.002319109462,65.7,569.3
2031,300,255.019016697588,45.7,548.9
2032,300,228.326066790353,34.775,515
2033,300,204.099025974026,30,485
2034,300,183.133116883117,27,455.3
2035,300,159.636363636364,24.925,409.6
2036,300,143.305658627087,22,378
2037,300,126.90793135436,21,321.9
2038,300,110.332792207792,20,274
2039,300,96.9710111317254,18.7,225.3
2040,300,85.7309833024119,17,192
2041,300,76.3056586270872,16,157.3
2042,300,67.8441558441558,15,141
2043,300,59.192254174397,14,121.3
2044,300,51.7620593692022,13,107
2045,300,42.8861317254174,12,92
2046,300,37.6681354359926,11,85
2047,300,31.7982374768089,11,73.825
2048,300,26.6263914656772,10,63
2049,300,22.3842764378479,9,48.3000000000001
2050,300,19.2247217068646,8,25
2051,300,16.1198979591837,7,21
2052,300,13.2400278293135,7,18.075
