"years","initN","mean","lcl","ucl"
2023,3800,7600,7600,7600
2024,3800,7152.70998796631,6496,8123
2025,3800,6752.86010830325,5341,8211
2026,3800,6372.1257521059,1871,8254
2027,3800,6032.06438026474,1721,8225
2028,3800,5668.82039711191,1646,8170
2029,3800,5202.32069795427,1513,7994
2030,3800,4874.23134777377,1397,7870
2031,3800,4563.62033694344,1314,7732
2032,3800,4170.18592057762,1205,7512
2033,3800,3867.07250300842,1140,7299
2034,3800,3613.25300842359,1060,7183
2035,3800,3306.456377858,959,6865
2036,3800,3022.04482551143,911,6515
2037,3800,2792.42930204573,847,6189
2038,3800,2544.52316486161,790,5695
2039,3800,2358.82761732852,737,5384
2040,3800,2124.68772563177,662,4996
2041,3800,1952.01203369434,626,4610
2042,3800,1762.16034897714,567,4205
2043,3800,1612.32942238267,492,3845
2044,3800,1448.79241877256,463,3458
2045,3800,1314.22593261131,448,3192
2046,3800,1199.66064981949,414,2753
2047,3800,1075.04271961492,398,2434
2048,3800,990.166365824308,396,2135
2049,3800,905.850481347774,381,1643
2050,3800,826.100180505415,367,1116
2051,3800,753.969314079422,356,953
2052,3800,657.046931407942,337,809
2053,3800,552.6206377858,324,720
2023,4350,8700,8700,8700
2024,4350,8192.67523809524,7550.4,9252.6
2025,4350,7587.20571428571,2284.8,9361.2
2026,4350,7140.78238095238,2135.1,9345.8
2027,4350,6587.31238095238,1983.2,9438.8
2028,4350,6205.03666666667,1839.2,9312.6
2029,4350,5805.18285714286,1707.4,9339.8
2030,4350,5317.06333333333,1553.8,9128.2
2031,4350,4819.45904761905,1450,8699
2032,4350,4484.52857142857,1302,8404.8
2033,4350,4147.9019047619,1206,8206.2
2034,4350,3812.68523809524,1103.4,7913.2
2035,4350,3571.48571428571,1058.2,7605.2
2036,4350,3249.5119047619,924.8,7198.8
2037,4350,3034.10714285714,855.4,7097.2
2038,4350,2727.6619047619,741.8,6368
2039,4350,2461.08952380952,689.2,5789.4
2040,4350,2256.79333333333,616.8,5436.8
2041,4350,2061.61523809524,546.9,4872
2042,4350,1881.85476190476,512,4229.2
2043,4350,1736.26238095238,509,3770
2044,4350,1563.23238095238,467,3431.4
2045,4350,1441.64952380952,459.2,3135.2
2046,4350,1248.76476190476,436.3,2782.4
2047,4350,1122.69857142857,406,2378.6
2048,4350,999.838571428571,397.6,1993.2
2049,4350,898.575238095238,367.4,1196.6
2050,4350,789.507619047619,351.6,1047
2051,4350,717.829523809524,333.4,900
2052,4350,626.207142857143,318.2,805.6
2053,4350,557.060952380952,309,727
2023,4900,9800,9800,9800
2024,4900,9103.27185314685,8559,10386.5
2025,4900,8592.66083916084,2487,10627.5
2026,4900,7996.93706293706,2287.75,10526.5
2027,4900,7415.99388111888,2158,10418
2028,4900,6851.60839160839,2035.5,10350.5
2029,4900,6188.29108391608,1917.625,10263.5
2030,4900,5666.70979020979,1814.5,10068.5
2031,4900,5197.06118881119,1604.625,9621
2032,4900,4909.89160839161,1425.5,9587.5
2033,4900,4576.25087412587,1352.5,9458.5
2034,4900,4251.58741258741,1172.5,9214.5
2035,4900,3955.10314685315,1057,9034
2036,4900,3639.51223776224,853,8377
2037,4900,3292.23863636364,746,8176
2038,4900,3095.40472027972,678,8089.5
2039,4900,2867.24475524476,649.5,8012.5
