"years","initN","mean","lcl","ucl"
2023,3800,7600,7600,7600
2024,3800,7584.21750634921,6903,8262
2025,3800,7570.2037994709,6618,8541
2026,3800,7557.42404603175,6398,8754
2027,3800,7545.18734074074,6208,8936
2028,3800,7531.97975238095,6043,9094
2029,3800,7518.01087248677,5892,9230
2030,3800,7503.98158518519,5754,9355
2031,3800,7489.65488201058,5619,9474
2032,3800,7476.0820021164,5498,9583
2033,3800,7461.43657407407,5380,9684
2034,3800,7447.24032804233,5265,9779
2035,3800,7433.2369,5157,9872
2036,3800,7418.09597566138,5055,9957
2037,3800,7404.87202486772,4957,10044
2038,3800,7391.58978095238,4862,10125
2039,3800,7377.22242486772,4768,10198
2040,3800,7361.8926021164,4679,10272
2041,3800,7349.54157989418,4592,10344
2042,3800,7336.05905343915,4510,10413
2043,3800,7322.81149047619,4429,10486
2044,3800,7310.15135396825,4348,10541
2045,3800,7296.14793597884,4265,10609
2046,3800,7281.70887354497,4187,10670
2047,3800,7268.14595555556,4109,10731
2048,3800,7254.4622,4037,10788
2049,3800,7241.29596560847,3961,10849
2050,3800,7228.73939417989,3889,10899
2051,3800,7214.90535132275,3826,10951
2052,3800,7201.96762169312,3763,11007
2053,3800,7186.72476084656,3693,11056
2023,4350,8700,8700,8700
2024,4350,8683.27396507936,7952,9412
2025,4350,8665.81647724868,7638,9708
2026,4350,8649.48679417989,7397,9934
2027,4350,8631.83675925926,7193,10118
2028,4350,8614.41177619048,7012,10279
2029,4350,8597.90822116402,6846,10423
2030,4350,8579.3565026455,6688,10561
2031,4350,8561.9775978836,6544,10689
2032,4350,8545.97647407407,6413,10801
2033,4350,8529.1337968254,6280,10910
2034,4350,8512.6051037037,6154,11010
2035,4350,8495.161694709,6032,11106
2036,4350,8477.03550952381,5915,11198
2037,4350,8459.73015767196,5806,11288
2038,4350,8442.47644021164,5694,11366
2039,4350,8425.27111164021,5588,11447
2040,4350,8409.68040740741,5486,11526
2041,4350,8393.68166719577,5392,11596
2042,4350,8378.57924867725,5297,11674
2043,4350,8362.82915238095,5203,11742
2044,4350,8347.49925714286,5111,11808
2045,4350,8331.55358888889,5019,11881
2046,4350,8317.07148095238,4934,11944
2047,4350,8300.68354126984,4848,12011
2048,4350,8284.83442751323,4764,12068
2049,4350,8271.32318783069,4679,12130
2050,4350,8255.48573703704,4601,12187
2051,4350,8239.99840952381,4524.9,12250
2052,4350,8223.31304391534,4455,12300
2053,4350,8206.36473174603,4379,12347
2023,4900,9800,9800,9800
2024,4900,9781.10190952381,9012,10545
2025,4900,9762.11410740741,8682,10855
2026,4900,9743.6421,8424,11091
2027,4900,9724.16374391534,8205,11283
2028,4900,9706.49256984127,8008,11455
2029,4900,9688.84558835979,7832,11613
2030,4900,9671.83798730159,7669,11746
2031,4900,9652.18432539683,7513,11880
2032,4900,9633.18148518519,7370,12000
2033,4900,9614.80580529101,7230,12114
2034,4900,9596.4224952381,7094,12221
2035,4900,9579.29964074074,6962,12314
2036,4900,9560.62131693122,6841,12407
2037,4900,9539.83135079365,6724,12492
2038,4900,9521.58504232804,6607,12580
2039,4900,9502.01473809524,6489,12665
2040,4900,9482.85973968254,6382,12749
2041,4900,9464.71892645503,6272,12829
2042,4900,9446.74660952381,6164,12899
2043,4900,9428.25546560846,6063,12964
2044,4900,9409.70084285714,5964,13038
2045,4900,9389.83272169312,5867,13113
2046,4900,9371.28704444445,5764,13176
2047,4900,9354.47562116402,5672,13241
2048,4900,9335.78095555556,5580,13300
2049,4900,9316.59806878307,5484,13360
2050,4900,9299.03723015873,5391,13418
2051,4900,9280.34985661376,5304,13476
2052,4900,9262.08834761905,5216,13537
2053,4900,9244.78264338624,5130,13591
2023,5450,10900,10900,10900
2024,5450,10878.5364624339,10085,11667
2025,5450,10856.9161015873,9740,11981
2026,5450,10835.830942328,9472,12222
2027,5450,10813.9403206349,9242,12417
2028,5450,10792.3328714286,9040,12593
2029,5450,10769.0396444444,8846.9,12747
2030,5450,10748.031368254,8675,12886
2031,5450,10726.0186238095,8506,13013
2032,5450,10705.640357672,8349,13134
2033,5450,10683.9127656085,8207,13248
2034,5450,10662.5222063492,8066,13354
2035,5450,10641.721262963,7931,13455
2036,5450,10620.0268687831,7798,13548
2037,5450,10597.9508804233,7671,13638
2038,5450,10577.0426751323,7541,13727
2039,5450,10556.3156835979,7418,13817
2040,5450,10535.9278492063,7302,13896.1
2041,5450,10516.476678836,7190,13973
2042,5450,10495.6103481481,7069,14045
2043,5450,10474.3898740741,6961,14122
2044,5450,10452.4986793651,6844,14194
2045,5450,10431.7500656085,6741,14255
2046,5450,10412.6486608466,6638,14325
2047,5450,10392.4993322751,6536,14386
2048,5450,10372.1731148148,6433,14447
2049,5450,10352.7962470899,6334,14505
2050,5450,10331.9888280423,6235,14567
2051,5450,10312.573889418,6132,14623
2052,5450,10291.9222433862,6039,14681
2053,5450,10270.5083761905,5947,14736
2023,6000,12000,12000,12000
2024,6000,11978.3511386243,11174,12777
2025,6000,11953.7113455026,10823,13094
2026,6000,11929.9247634921,10544,13336
2027,6000,11905.2430873016,10306,13531
2028,6000,11879.6157179894,10089,13702
2029,6000,11854.3290978836,9893,13860
2030,6000,11830.4612137566,9713,14001
2031,6000,11807.8875910053,9544,14127
2032,6000,11783.9433074074,9378,14249
2033,6000,11761.9300132275,9225,14365
2034,6000,11738.8542645503,9077,14471
2035,6000,11715.6589126984,8938,14571
2036,6000,11693.0540042328,8796,14659
2037,6000,11668.3773661376,8652,14754
2038,6000,11643.8565878307,8520,14835
2039,6000,11621.5746058201,8388,14921
2040,6000,11599.3111111111,8272,14995
2041,6000,11577.3045746032,8150,15070
2042,6000,11553.6239931217,8026,15152
2043,6000,11529.9640185185,7903,15219
2044,6000,11506.8184529101,7789,15294
2045,6000,11482.5028587302,7676,15358
2046,6000,11458.7154285714,7554,15422
2047,6000,11435.9373645503,7451,15485
2048,6000,11414.0500783069,7333,15548
2049,6000,11391.6471883598,7229,15608
2050,6000,11368.1529973545,7114,15662
2051,6000,11344.6805084656,7006,15723
2052,6000,11320.583389418,6897,15776
2053,6000,11298.5450708995,6805,15832
