"years","initN","mean","lcl","ucl"
1987,3800,7600,7600,7600
1988,3800,7584.59478178571,7101,8065
1989,3800,7569.08136892857,6887,8255
1990,3800,7553.1194521875,6718,8397
1991,3800,7537.53227066964,6574,8514
1992,3800,7522.03006379464,6445,8617
1993,3800,7506.63788803571,6327,8708
1994,3800,7491.05012125,6216,8791
1995,3800,7475.79535928571,6112,8867
1996,3800,7460.85884665179,6012,8938
1997,3800,7445.5736096875,5916,9004
1998,3800,7430.23253183036,5825,9067
1999,3800,7415.08840790179,5735,9125
2000,3800,7400.0370490625,5650,9181
2001,3800,7385.18676714286,5566,9234
2002,3800,7370.29959553571,5483,9286
2003,3800,7355.084368125,5403,9334
2004,3800,7340.24398892857,5324,9382
2005,3800,7325.11177508929,5247,9426
2006,3800,7310.1952984375,5173,9470
2007,3800,7295.46518316964,5099,9512
2008,3800,7280.58003602679,5026,9552
2009,3800,7266.27210267857,4954,9591
2010,3800,7251.72793285714,4883,9629
2011,3800,7236.84271875,4813,9666
2012,3800,7222.31243741071,4745,9702
2013,3800,7207.75973348214,4678,9737
2014,3800,7193.35261120536,4611,9771
2015,3800,7178.91414620536,4545,9804
2016,3800,7164.81976495536,4479,9837
2017,3800,7150.61665566964,4415,9868
1987,4200,8400,8400,8400
1988,4200,8382.71777808036,7906,8857
1989,4200,8365.6854703125,7692,9041
1990,4200,8348.58164892857,7524,9180
1991,4200,8331.7384559375,7379,9294
1992,4200,8314.67768504464,7248,9394
1993,4200,8297.55741004464,7128,9482
1994,4200,8280.82587446429,7015,9562
1995,4200,8263.81587022321,6908,9635
1996,4200,8246.87826616071,6806,9703
1997,4200,8230.20062620536,6709,9766
1998,4200,8213.7884496875,6615,9827
1999,4200,8197.30977276786,6523,9883
2000,4200,8181.00531102679,6435,9936
2001,4200,8164.75871330357,6349,9988
2002,4200,8148.43535236607,6264,10038
2003,4200,8132.16860482143,6181,10085
2004,4200,8115.65683495536,6100,10129
2005,4200,8099.34886357143,6020,10171
2006,4200,8083.15953705357,5941,10212
2007,4200,8066.74711191964,5864,10253
2008,4200,8050.97180142857,5787,10291
2009,4200,8034.87940111607,5712,10328
2010,4200,8019.03737107143,5636,10364
2011,4200,8003.14889205357,5563,10399
2012,4200,7987.16248254464,5490,10433
2013,4200,7971.41024883929,5418,10466
2014,4200,7955.81849263393,5348,10499
2015,4200,7940.27286209821,5278,10530
2016,4200,7924.42606464286,5207,10560
2017,4200,7908.82087625,5138,10589
1987,4600,9200,9200,9200
1988,4600,9181.28160772321,8722,9638
1989,4600,9162.97602513393,8514,9814
1990,4600,9144.65586696429,8349,9945
1991,4600,9126.32423683036,8206,10054
1992,4600,9108.2784078125,8078,10147
1993,4600,9089.85201129464,7959,10230
1994,4600,9071.87740008929,7847,10306
1995,4600,9054.20406959821,7742,10375
1996,4600,9036.47115116071,7641,10439
1997,4600,9018.59598227679,7544,10498
1998,4600,9000.78517241071,7448,10554
1999,4600,8983.15770986607,7358,10607
2000,4600,8965.4776590625,7269,10657
2001,4600,8947.84865191964,7181,10705
2002,4600,8929.93568428571,7096,10749
2003,4600,8912.54762084821,7012,10794
2004,4600,8894.80829263393,6928,10834
2005,4600,8877.45520276786,6847,10874
2006,4600,8860.32234611607,6767,10912
2007,4600,8843.02547638393,6688,10949
2008,4600,8825.66268017857,6610,10984
2009,4600,8808.47717839286,6532,11019
2010,4600,8791.27226629464,6455,11052
2011,4600,8774.3042553125,6379,11085
2012,4600,8757.19522053571,6304,11115
2013,4600,8739.94547223214,6228,11147
2014,4600,8723.31225933036,6154,11177
2015,4600,8706.59876946429,6081,11206
2016,4600,8689.77616691964,6007,11235
2017,4600,8672.99272839286,5936,11262
1987,5000,10000,10000,10000
1988,5000,9980.87605629464,9551,10410
1989,5000,9961.80533125,9354,10572
1990,5000,9942.87655928571,9198,10694
1991,5000,9923.79928303571,9061,10793
1992,5000,9904.70270080357,8938,10879
1993,5000,9886.07952875,8824,10956
1994,5000,9867.28759160714,8716,11024
1995,5000,9848.45178098214,8614,11087
1996,5000,9829.91393888393,8516,11145
1997,5000,9811.171085,8421,11200
1998,5000,9792.62558995536,8329,11251
1999,5000,9773.88385151786,8240,11299
2000,5000,9755.29725986607,8152,11344
2001,5000,9736.77949589286,8066,11387
2002,5000,9718.59169125,7982,11428
2003,5000,9700.16092727679,7898,11468
2004,5000,9682.07196794643,7817,11505
2005,5000,9663.93613950893,7737,11541
2006,5000,9645.15697383929,7657,11576
2007,5000,9626.93258950893,7579,11609
2008,5000,9608.65671522321,7500,11641
2009,5000,9590.41437022321,7423,11672
2010,5000,9572.47698388393,7346,11702
2011,5000,9554.48483352679,7270,11732
2012,5000,9536.5791096875,7194,11760
2013,5000,9518.68090214286,7117,11787
2014,5000,9500.97443477679,7042,11814
2015,5000,9483.4261065625,6968,11840
2016,5000,9466.0674659375,6894,11865
2017,5000,9448.40844223214,6819,11890
1987,5400,10800,10800,10800
1988,5400,10780.382405,10391,11170
1989,5400,10761.0033155804,10210,11316
1990,5400,10741.7132423214,10066,11424
1991,5400,10722.3044208929,9940,11513
1992,5400,10703.0109899107,9825,11589
1993,5400,10683.618059375,9719,11657
1994,5400,10664.1620044196,9619,11718
1995,5400,10644.9525289286,9522,11774
1996,5400,10625.6920557143,9430,11826
1997,5400,10606.5362679018,9341,11874
1998,5400,10587.6166996875,9255,11918
1999,5400,10568.5227364286,9170,11961
2000,5400,10549.2488896875,9086,12000
2001,5400,10530.001456875,9004,12037
2002,5400,10511.4404186607,8924,12074
2003,5400,10492.7215314286,8846,12109
2004,5400,10474.2724316964,8767,12142
2005,5400,10455.5229420982,8691,12173
2006,5400,10436.9610327679,8614,12205
2007,5400,10418.4591530357,8538,12234
2008,5400,10399.9149730357,8463,12262
2009,5400,10381.2509313839,8388,12289
2010,5400,10362.5390140625,8313,12316
2011,5400,10344.2185286161,8240,12340
2012,5400,10325.7641403125,8163,12365
2013,5400,10307.2549555357,8090,12389
2014,5400,10288.7888710268,8016,12412
2015,5400,10270.7516040625,7944,12435
2016,5400,10252.4598951786,7869,12456
2017,5400,10234.5156661161,7796,12478
1987,5800,11600,11600,11600
1988,5800,11580.6312775893,11243,11921
1989,5800,11561.453264375,11084,12047
1990,5800,11542.3530762946,10957,12139
1991,5800,11523.2246802232,10845,12215
1992,5800,11504.0581759821,10743,12281
1993,5800,11484.5665819196,10648,12338
1994,5800,11465.3533284821,10558,12390
1995,5800,11446.4782670089,10472,12437
1996,5800,11427.1461023661,10389,12481
1997,5800,11408.1451851339,10308,12522
1998,5800,11388.9625171875,10228,12559
1999,5800,11369.8653968304,10151,12595
2000,5800,11350.64402125,10076,12628
2001,5800,11331.4949274554,10002,12661
2002,5800,11312.5424798214,9928,12691
2003,5800,11293.6657942857,9855,12720
2004,5800,11274.7918391964,9783,12748
2005,5800,11255.8126764286,9712,12774
2006,5800,11237.2435004018,9641,12800
2007,5800,11218.7085457143,9571,12825
2008,5800,11199.8190287054,9501,12848
2009,5800,11181.2964058929,9431,12871
2010,5800,11162.4031300446,9360,12893
2011,5800,11143.707735625,9291,12914
2012,5800,11125.0860149107,9222,12934
2013,5800,11106.3227970089,9152,12954
2014,5800,11088.101865,9084,12974
2015,5800,11069.3693250893,9013,12992
2016,5800,11051.1918048214,8945,13010
2017,5800,11032.6090919196,8875,13028
1987,6200,12400,12400,12400
1988,6200,12381.1520366071,12107,12661
1989,6200,12362.4016334821,11975,12762
1990,6200,12343.6794418304,11869,12837
1991,6200,12324.8707872321,11776,12898
1992,6200,12306.0476373214,11690,12950
1993,6200,12287.0243701786,11610,12996
1994,6200,12268.4716319643,11535,13038
1995,6200,12249.9990170982,11462,13075
1996,6200,12231.5440011161,11391,13110
1997,6200,12212.8136914732,11322,13142
1998,6200,12194.3354770536,11255,13172
1999,6200,12175.6858225446,11190,13200
2000,6200,12157.08693625,11125,13227
2001,6200,12138.6819841071,11062,13253
2002,6200,12120.1736728125,10999,13277
2003,6200,12101.6956632143,10936,13299
2004,6200,12083.3373178125,10874,13321
2005,6200,12064.8711608482,10811,13342
2006,6200,12046.4996876786,10750,13362
2007,6200,12028.0551344643,10688,13381
2008,6200,12009.9806509821,10626,13399
2009,6200,11991.9038401339,10565,13417
2010,6200,11973.7039845536,10504,13434
2011,6200,11955.4254086607,10442,13451
2012,6200,11937.4622701786,10382,13467
2013,6200,11919.7312368304,10321,13482
2014,6200,11901.8331991071,10262,13497
2015,6200,11883.8563702232,10200,13512
2016,6200,11866.0031791518,10139,13526
2017,6200,11848.3647995982,10078,13540
