"years","initN","mean","lcl","ucl"
1987,3800,7600,7600,7600
1988,3800,7584.59557370536,7101,8065
1989,3800,7568.83593361607,6887,8255
1990,3800,7553.16691258929,6719,8396
1991,3800,7537.4796,6575,8514
1992,3800,7522.27563017857,6446,8617
1993,3800,7507.3046571875,6328,8708
1994,3800,7491.65093482143,6217,8791
1995,3800,7476.02434964286,6111,8868
1996,3800,7461.03170290179,6012,8938
1997,3800,7445.8618865625,5915,9005
1998,3800,7430.57855294643,5823,9067
1999,3800,7415.28909495536,5734,9126
2000,3800,7400.43164303571,5649,9182
2001,3800,7385.49366008929,5565,9235
2002,3800,7370.54547986607,5484,9286
2003,3800,7355.74138486607,5404,9334
2004,3800,7340.74553169643,5326,9381
2005,3800,7325.63163727679,5249,9426
2006,3800,7310.94634102679,5173,9469
2007,3800,7296.27560491071,5099,9512
2008,3800,7281.71261459821,5027,9552
2009,3800,7266.87684241071,4955,9591
2010,3800,7252.21894924107,4886,9629
2011,3800,7237.86375991071,4816,9667
2012,3800,7223.13097053571,4746,9702
2013,3800,7208.57372959821,4679,9737
2014,3800,7194.46295486607,4611,9771
2015,3800,7179.97044455357,4545,9804
2016,3800,7165.83115142857,4480,9837
2017,3800,7151.42744116071,4415,9868
1987,4200,8400,8400,8400
1988,4200,8382.61707,7905,8857
1989,4200,8365.56922267857,7691,9041
1990,4200,8348.46372598214,7524,9180
1991,4200,8331.25445803571,7379,9294
1992,4200,8314.50461839286,7248,9393
1993,4200,8297.44191026786,7128,9481
1994,4200,8280.58142736607,7015,9560
1995,4200,8263.84659227679,6908,9634
1996,4200,8247.07315111607,6807,9702
1997,4200,8230.30742794643,6710,9766
1998,4200,8213.78345196429,6615,9825
1999,4200,8197.11502986607,6524,9882
2000,4200,8180.69288879464,6435,9937
2001,4200,8164.16950294643,6347,9987
2002,4200,8147.80238299107,6263,10036
2003,4200,8131.161805,6180,10082
2004,4200,8115.14381790179,6098,10127
2005,4200,8099.25247714286,6019,10170
2006,4200,8082.86040910714,5941,10210
2007,4200,8067.158875,5863,10251
2008,4200,8051.22867544643,5788,10290
2009,4200,8035.33276375,5713,10326
2010,4200,8019.50156861607,5638,10363
2011,4200,8003.30966366071,5565,10398
2012,4200,7987.57247004464,5494,10432
2013,4200,7971.7786134375,5420,10466
2014,4200,7956.21097558036,5350,10498
2015,4200,7940.33135058036,5280,10528
2016,4200,7924.56456388393,5210,10559
2017,4200,7909.52434517857,5140,10589
1987,4600,9200,9200,9200
1988,4600,9181.52249982143,8722,9638
