"years","ROI_B3_mean","ROI_B3_LCL","ROI_B3_UCL"
2023,110,110,110
2024,107.5,106.8,108
2025,113.666666666667,107.3,120.5
2026,116.666666666667,101.7,136.5
2027,116.333333333333,99,139.8
2028,112.333333333333,94.3,134.7
2029,117.166666666667,99,137.8
2030,118.333333333333,101.2,137.2
2031,121.666666666667,103.2,140.8
2032,125.166666666667,113.8,138.2
2033,128.333333333333,115.1,137.9
2034,133.166666666667,119,146.6
2035,140.166666666667,116.9,157.7
2036,150.833333333333,125.2,172.8
2037,146.666666666667,114.9,173.7
2038,150.666666666667,118.2,179.8
2039,153.166666666667,113.5,187.9
2040,153.833333333333,117.6,183.6
2041,149.166666666667,115.5,181.1
2042,143.666666666667,105.3,180.1
2043,148.833333333333,99,176.2
2044,145,97.9,166.3
2045,140,88.1,166.9
2046,148.833333333333,91.1,179.9
2047,149,98,178
2048,149.5,97.6,181.2
2049,149.333333333333,99.6,182.8
2050,149,95.6,186.8
2051,149.666666666667,91,195
2052,145.5,85.6,194
2053,149.833333333333,91.4,199
