"years","initN","mean","lcl","ucl"
1987,5000,10000,10000,10000
1988,5000,9980.29727076883,9206,10750
1989,5000,9960.26659124527,8873,11059
1990,5000,9940.43152089783,8614,11294
1991,5000,9920.84106338149,8393,11489
1992,5000,9900.78119087547,8194,11659
1993,5000,9880.55747979016,8013,11813
1994,5000,9860.78455147059,7846,11951
1995,5000,9840.97865892673,7689,12079
1996,5000,9821.83108466632,7541,12199
1997,5000,9802.28215819573,7399,12309
1998,5000,9782.70408419333,7263,12413
1999,5000,9763.68820657035,7133,12513
2000,5000,9744.13881983144,7006,12607
2001,5000,9724.63468567251,6883,12698.1000000006
2002,5000,9704.92599681802,6764,12784
2003,5000,9685.78058483832,6649,12868
2004,5000,9666.75074707602,6536,12948
2005,5000,9647.61067272962,6426,13026
2006,5000,9627.90820330237,6319,13101
2007,5000,9608.79573933608,6212,13173
2008,5000,9589.91307017544,6110,13244
2009,5000,9571.24132030444,6009,13311
2010,5000,9552.29165961472,5910,13377
2011,5000,9533.62235113519,5813,13441
2012,5000,9515.46728603371,5720,13504
2013,5000,9497.04848194014,5627,13564
2014,5000,9478.41776001892,5535,13622
2015,5000,9459.73968885449,5445,13678
2016,5000,9441.57259240626,5358,13736
2017,5000,9422.8774619023,5270,13791
1987,5500,11000,11000,11000
1988,5500,10977.4607722308,10182,11768
1989,5500,10955.0335536636,9837,12083
1990,5500,10932.8953326883,9566,12322
1991,5500,10910.8940474286,9335,12521
1992,5500,10888.8676895425,9129,12693
1993,5500,10866.8174362745,8940,12847
1994,5500,10844.9483985208,8766,12987
1995,5500,10823.4089156777,8600,13116
1996,5500,10801.8635224888,8443,13236
1997,5500,10780.6283426213,8294,13349
1998,5500,10759.4132766168,8150,13456
1999,5500,10738.2137058394,8013,13556
2000,5500,10717.4630369797,7879,13651
2001,5500,10696.1483100275,7750,13742
2002,5500,10674.1887794548,7625,13829
2003,5500,10652.8417589009,7502,13912
2004,5500,10631.4251799536,7384,13994
2005,5500,10610.419869152,7266,14072
2006,5500,10589.3974590643,7151,14145
2007,5500,10568.2631885105,7039,14219
2008,5500,10547.2912297472,6929,14288
2009,5500,10526.3895266598,6819,14356
2010,5500,10505.3420875903,6711,14421
2011,5500,10484.5104635793,6608,14483
2012,5500,10463.9882203302,6507,14545
2013,5500,10443.1026160131,6405,14606
2014,5500,10422.8150734434,6306,14665
2015,5500,10401.8785797644,6207,14724
2016,5500,10381.5152292742,6109,14779
2017,5500,10360.9282166753,6015,14834
1987,6000,12000,12000,12000
1988,6000,11975.6864539474,11171,12776
1989,6000,11951.4319334365,10818,13093
1990,6000,11927.1460341417,10540,13333
1991,6000,11903.2513942638,10304,13530
1992,6000,11879.0323498022,10092,13703
1993,6000,11855.2235215858,9898,13858
1994,6000,11831.1933222824,9715,13997
1995,6000,11807.0027711988,9544,14125
1996,6000,11783.3491124871,9381,14244
1997,6000,11759.5205616185,9224,14356
1998,6000,11735.4300588235,9074,14462
1999,6000,11711.5331341589,8929,14562
2000,6000,11687.7283407293,8788,14655
2001,6000,11664.0232838407,8652,14746
2002,6000,11640.685505246,8520,14833
2003,6000,11617.2288887599,8390,14913
2004,6000,11594.0902854747,8264,14993
2005,6000,11571.2064923461,8141,15072
2006,6000,11547.9584186447,8019,15146
2007,6000,11525.1707147403,7903,15216
2008,6000,11501.3084434125,7784,15284
2009,6000,11478.8324198916,7668,15351
2010,6000,11455.6017054524,7553,15416
2011,6000,11432.5411068111,7442,15478
2012,6000,11409.6031902735,7331,15540
2013,6000,11386.9119615153,7221,15600
2014,6000,11364.41525172,7115,15657
2015,6000,11341.5244422945,7010,15713
2016,6000,11319.3066720416,6905,15769
2017,6000,11296.7824042398,6801,15823
1987,6500,13000,13000,13000
1988,6500,12973.4115911163,12167,13774
1989,6500,12946.8346126161,11812,14089
1990,6500,12920.4661407809,11531,14325
1991,6500,12893.7976987014,11289,14521
1992,6500,12867.6738941348,11072,14690
1993,6500,12841.4325574475,10873,14842
1994,6500,12815.2036004042,10688,14980
1995,6500,12789.2552828087,10512,15106
1996,6500,12763.111878913,10345,15223
1997,6500,12736.784619281,10185,15333
1998,6500,12710.7612221362,10032,15435
1999,6500,12685.5722949346,9883,15531
2000,6500,12660.2767280702,9738,15626
2001,6500,12635.0661966374,9597,15715
2002,6500,12609.4509889061,9460,15798
2003,6500,12584.3438625731,9324,15879
2004,6500,12559.0228310544,9193,15956
2005,6500,12534.4918532852,9064,16031
2006,6500,12510.0718538012,8938,16104
2007,6500,12484.9238832129,8814,16173
2008,6500,12459.7660229188,8690,16240
2009,6500,12435.2569162797,8568,16306
2010,6500,12410.4910238648,8452,16368
2011,6500,12385.9028203904,8335,16429
2012,6500,12361.051125086,8218,16486
2013,6500,12336.4818657551,8103,16545
2014,6500,12312.2114625043,7990,16601
2015,6500,12287.9893454162,7878,16655
2016,6500,12264.1958060286,7768,16709
2017,6500,12240.4080872893,7662,16761
1987,7000,14000,14000,14000
1988,7000,13971.6184714052,13176,14762
1989,7000,13943.5205195648,12822,15070
1990,7000,13915.1263869109,12542,15300
1991,7000,13886.7590955882,12301,15491
1992,7000,13858.2735178449,12084,15656
1993,7000,13830.509879945,11883,15802
1994,7000,13802.7268403423,11696,15936
1995,7000,13774.940248796,11520,16058
1996,7000,13747.5872310802,11349,16171
1997,7000,13720.2148516512,11189,16277
1998,7000,13692.6351767286,11031,16378
1999,7000,13665.7732289302,10880,16473
2000,7000,13638.7755178019,10733,16562
2001,7000,13611.9176654627,10589,16648
2002,7000,13585.5710170279,10449,16729
2003,7000,13559.0409311146,10314,16806
2004,7000,13531.8461980134,10175,16881
2005,7000,13504.9011782766,10042,16954
2006,7000,13478.4003119625,9911,17022
2007,7000,13451.5977333591,9781,17090
2008,7000,13424.9457062264,9655,17154
2009,7000,13398.857247205,9533,17215
2010,7000,13372.7283421913,9408,17276
2011,7000,13346.6824190746,9284,17335
2012,7000,13320.9155245528,9163,17393
2013,7000,13294.8726442638,9044,17446
2014,7000,13268.8976952614,8927,17501
2015,7000,13243.3781380719,8810,17552
2016,7000,13217.6366570347,8696,17603
2017,7000,13191.7755476866,8581,17653
1987,7500,15000,15000,15000
1988,7500,14970.2835331097,14195,15741
1989,7500,14940.2589566993,13845,16038
1990,7500,14910.7088529842,13571,16260
1991,7500,14880.6987831097,13331,16442
1992,7500,14851.2004670193,13116,16601
1993,7500,14821.8230135449,12918,16742
1994,7500,14792.7902827657,12734,16870
1995,7500,14762.8488473082,12555,16987
1996,7500,14733.9356951324,12386,17095
1997,7500,14704.7880892243,12222,17197
1998,7500,14675.9312169763,12065,17292
1999,7500,14647.3736372119,11914,17383
2000,7500,14618.622502838,11763,17468
2001,7500,14589.9671691176,11616,17548
2002,7500,14561.5646357929,11474,17626
2003,7500,14532.8673548332,11334,17699
2004,7500,14504.5806859305,11198,17771
2005,7500,14476.2583297214,11063,17838
2006,7500,14448.3086036292,10930,17906
2007,7500,14420.2999414775,10799,17969
2008,7500,14392.3356837375,10668,18031
2009,7500,14364.2249489164,10542,18089
2010,7500,14335.7307238562,10416,18146
2011,7500,14308.1403838579,10291,18202
2012,7500,14280.5785880203,10164,18255
2013,7500,14253.4733928879,10040,18309
2014,7500,14226.0789339095,9920,18360
2015,7500,14198.6419054008,9799,18409
2016,7500,14171.0917637169,9678,18456
2017,7500,14143.8792303062,9559,18503
1987,8000,16000,16000,16000
1988,8000,15968.721751591,15225,16709
1989,8000,15937.7969333075,14887,16991
1990,8000,15906.4965878483,14619,17202
1991,8000,15875.3108315273,14386,17376
1992,8000,15844.3520784314,14176,17527
1993,8000,15814.1871562608,13982,17659
1994,8000,15783.1991507138,13799,17780
1995,8000,15752.7488148005,13625,17890
1996,8000,15722.8154619023,13459,17992
1997,8000,15692.8522203732,13299,18088
1998,8000,15662.9073055556,13144,18177
1999,8000,15633.1198273994,12993,18261
2000,8000,15603.027001548,12845,18342
2001,8000,15572.8841569057,12699,18417
2002,8000,15543.5436983144,12557,18490
2003,8000,15513.4566393189,12419,18559
2004,8000,15484.0686577227,12282,18626
2005,8000,15454.1962262212,12147,18691
2006,8000,15424.5709165807,12013,18752
2007,8000,15395.8002361111,11881,18810
2008,8000,15366.7782324561,11752,18868
2009,8000,15337.2346418989,11625,18923
2010,8000,15308.4441070691,11496,18976
2011,8000,15279.7413391813,11369,19027
2012,8000,15251.2253934469,11240,19078
2013,8000,15222.539378139,11117,19126
2014,8000,15193.8652076883,10991,19174
2015,8000,15165.736002279,10868,19222
2016,8000,15137.1501697626,10744,19267
2017,8000,15108.7905985552,10620,19311
1987,8500,17000,17000,17000
1988,8500,16967.7415477296,16267,17667
1989,8500,16936.0103388803,15944,17933
1990,8500,16904.4314195906,15689,18129
1991,8500,16873.1891682147,15466,18292
1992,8500,16841.4268986498,15264,18432
1993,8500,16810.0809646543,15078,18557
1994,8500,16778.8669484004,14901,18669
1995,8500,16747.4326319659,14732,18771
1996,8500,16716.3834144307,14571,18867
1997,8500,16685.5219901531,14414,18956
1998,8500,16654.701748237,14264,19038
1999,8500,16623.5770463536,14114,19116
2000,8500,16592.6154867131,13970,19190
2001,8500,16561.8282734348,13830,19261
2002,8500,16530.6073037926,13690,19327
2003,8500,16500.0680386137,13551,19390
2004,8500,16469.6700507826,13418,19452
2005,8500,16439.5799469384,13285,19511
2006,8500,16409.4392147833,13153,19567
2007,8500,16378.8996754816,13023,19621
2008,8500,16349.0782343911,12895,19674
2009,8500,16319.2197714568,12766,19724
2010,8500,16289.7526863605,12641,19773
2011,8500,16260.3479346835,12516,19821
2012,8500,16230.5939548934,12390,19867
2013,8500,16200.6791907465,12264,19912
2014,8500,16171.2145476866,12139,19955
2015,8500,16141.9513272274,12018,19997
2016,8500,16111.8744696422,11892,20037
2017,8500,16082.5465316477,11769,20076
1987,9000,18000,18000,18000
1988,9000,17967.7337593309,17319,18617
1989,9000,17935.4643960698,17018,18860
1990,9000,17902.8055138889,16777,19041
1991,9000,17870.4511322669,16567,19189
1992,9000,17838.5464931201,16377,19317
1993,9000,17806.5268350963,16200,19430
1994,9000,17775.2859776402,16034,19532
1995,9000,17743.7191107671,15873,19626
1996,9000,17711.8748516942,15719,19713
1997,9000,17680.6126496388,15572,19794
1998,9000,17649.7405580925,15428,19869
1999,9000,17617.9405847093,15288,19938
2000,9000,17586.4636706656,15149,20005
2001,9000,17554.9105777864,15014,20069
2002,9000,17523.8424012298,14881,20130
2003,9000,17493.0217312092,14750,20187
2004,9000,17462.181880375,14618,20243
2005,9000,17431.381373022,14492,20296
2006,9000,17400.3030939542,14363,20347
2007,9000,17369.8428605091,14236,20396
2008,9000,17339.3089849501,14112,20442
2009,9000,17308.5175701754,13986,20488
2010,9000,17277.9505324217,13862,20531
2011,9000,17247.748746904,13740,20574
2012,9000,17217.4513084365,13617,20614
2013,9000,17187.1901411679,13497,20656
2014,9000,17157.3641469728,13374,20695
2015,9000,17127.4548896199,13253,20732
2016,9000,17097.789873624,13134,20769
2017,9000,17068.0356122721,13011,20805
