"years","initN","mean","lcl","ucl"
2022,100,200,200,200
2023,100,176.709565217391,53.2,216
2024,100,157.323913043478,47.3,213
2025,100,134.471304347826,41,210
2026,100,117.178695652174,35.1,203
2027,100,99.744347826087,28,193.6
2028,100,85.8030434782609,18.4,181
2029,100,72.624347826087,12.55,162.2
2030,100,64.1569565217391,11,153
2031,100,56.0404347826087,10,145
2032,100,46.1539130434783,8,120
2033,100,38.5386956521739,7,103.6
2034,100,33.0486956521739,6,89.8000000000001
2035,100,27.1295652173913,6,62
2036,100,21.3934782608696,5,41.6
2037,100,17.78,4,35
2038,100,14.9430434782609,4,30.45
2039,100,12.0413043478261,3,24
2040,100,9.82869565217391,2,21
2041,100,8.15521739130435,2,18
2042,100,6.69608695652174,1,13.6
2043,100,5.25695652173913,1,9
2044,100,3.94260869565217,0,7
2045,100,3.10478260869565,0,5.55000000000001
2046,100,2.40391304347826,0,5
2047,100,1.78347826086957,0,4
2048,100,1.29260869565217,0,3
2049,100,0.845652173913043,0,2
2050,100,0.472173913043478,0,2
2051,100,0.195652173913043,0,1
2052,100,0,0,0
2022,110,220,220,220
2023,110,192.180952380952,62.075,234
2024,110,166.835714285714,48.825,236
2025,110,142.470238095238,42,227
2026,110,122.772619047619,37,224
2027,110,109.090476190476,32,215
2028,110,88.522619047619,19.8,198.1
2029,110,74.8077380952381,12.5,178.1
2030,110,62.4839285714286,10,161.1
2031,110,50.3404761904762,9,130.2
2032,110,39.2702380952381,8,90.1
2033,110,32.4244047619048,7,62
2034,110,26.7011904761905,6,53
2035,110,22.5011904761905,5,47
2036,110,19.125,5,38.1
2037,110,16.5470238095238,4,35
2038,110,14.135119047619,4,31
2039,110,11.8297619047619,3,26
2040,110,10.0583333333333,3,22
2041,110,7.7702380952381,2,18
2042,110,6.10654761904762,2,11
2043,110,5.05714285714286,1,9
2044,110,4.14107142857143,0,7
2045,110,3.11785714285714,0,6
2046,110,2.5375,0,5
2047,110,1.88571428571429,0,4
2048,110,1.26666666666667,0,3
2049,110,0.84702380952381,0,2
2050,110,0.482142857142857,0,2
2051,110,0.195833333333333,0,1
2052,110,0.00119047619047619,0,0
2022,120,240,240,240
2023,120,212.833053691275,66.975,262
2024,120,186.255872483221,53.75,260.3
2025,120,159.576342281879,47,255.3
2026,120,137.606543624161,38,251
2027,120,119.121644295302,29.7,237.6
2028,120,102.02432885906,21.4,216.3
2029,120,84.1803691275168,12.85,197.6
2030,120,71.1484899328859,11.525,188.3
2031,120,60.0184563758389,10,165.3
2032,120,51.5494966442953,8,144
2033,120,42.6921140939597,7.925,113.6
2034,120,36.113255033557,7,84.2
2035,120,29.7927852348993,7,61.9
2036,120,22.5738255033557,6,42
2037,120,18.8901006711409,5,36
2038,120,14.4194630872483,4,32
2039,120,11.9203020134228,3,26
2040,120,10.5494966442953,3,24.3
2041,120,8.91694630872483,2,19
2042,120,7.12080536912752,2,14.3
2043,120,5.79026845637584,1,11.3
2044,120,4.67953020134228,1,8
2045,120,3.59228187919463,0,6
2046,120,2.70302013422819,0,5
2047,120,2.07298657718121,0,4
2048,120,1.47651006711409,0,3
2049,120,0.948825503355705,0,2
2050,120,0.536912751677852,0,2
2051,120,0.231543624161074,0,1
2052,120,0,0,0
