"years","initN","mean","lcl","ucl"
2022,100,200,200,200
2023,100,192.073881327889,167,219
2024,100,184.427566707309,150,223
2025,100,176.941750898375,136,224
2026,100,169.665881026164,123,223
2027,100,162.550208858365,110,221
2028,100,155.653104681445,98,217
2029,100,149.004474564786,87,214
2030,100,142.518624749902,74,210
2031,100,136.215768992014,63,205
2032,100,130.146673228785,57,199
2033,100,124.223830257134,52,194
2034,100,118.442654838367,49,188
2035,100,112.893574359266,46,181
2036,100,107.47749980833,44,175
2037,100,102.176458731615,41,168
2038,100,97.069215711491,39,160
2039,100,92.1370322326947,37,153
2040,100,87.3660128455932,35.5,145
2041,100,82.7483058853789,34,136
2042,100,78.2866435755958,32,128
2043,100,74.0007475126193,31,119
2044,100,69.8038406938698,29.25,110
2045,100,65.7616498203249,28,102
2046,100,61.8817031911184,27,94
2047,100,58.102168714031,26,86
2048,100,54.4167775466747,24,79
2049,100,50.9388103110988,23,73
2050,100,47.5830314017129,22,67
2051,100,44.299117576501,21,62
2052,100,41.1750681973879,20,57
2022,110,220,220,220
2023,110,210.894228467158,183,241
2024,110,202.029793487897,164,245
2025,110,193.429066667529,147,246
2026,110,185.1532081686,131,245
2027,110,177.058799169163,115,243
2028,110,169.200707893596,98,240
2029,110,161.522824553684,75,236
2030,110,154.095175776321,64,231
2031,110,147.010483328265,58,226
2032,110,140.054492924299,54,220
2033,110,133.332835359738,50,214
2034,110,126.859696815773,47.75,208
2035,110,120.627117533631,45,201
2036,110,114.540101298668,43,193
2037,110,108.660595271219,41,186
2038,110,102.975419462544,39,178
2039,110,97.4594902389626,37,169
2040,110,92.0472724419741,35,160
2041,110,86.8818734915202,34,150
2042,110,81.9840392317996,32,141
2043,110,77.2317817694752,31,130
2044,110,72.588747953644,29.875,119
2045,110,68.1305874416829,28,109
2046,110,63.767085859599,27,99
2047,110,59.6363447390047,26,90
2048,110,55.6100252033415,25,82
2049,110,51.7135910393871,23,74
2050,110,48.0067845195188,22,68
2051,110,44.451377610115,21,62
2052,110,41.0253820943039,20,57
2022,120,240,240,240
2023,120,229.747642575396,200,263
2024,120,219.874535705481,178,268
2025,120,210.368224587065,158,269
2026,120,200.998188018736,139,268
2027,120,192.081660366505,118,266
2028,120,183.232255115457,81,263
2029,120,174.572338524119,67,258
2030,120,166.231884296162,61,254
2031,120,158.163107075355,57,248
2032,120,150.40015818884,53,242
2033,120,142.917287780426,50,236
2034,120,135.620722738105,47.75,229
2035,120,128.628856109787,45,221
2036,120,121.892658599721,43,214
2037,120,115.283323403731,41,205
2038,120,108.886400895719,39,196
2039,120,102.768161927849,37,187
2040,120,96.7923586572438,36,178
2041,120,91.1115323773523,34,167
2042,120,85.5575355411291,32,156
2043,120,80.332371189087,31,144
2044,120,75.2388250883392,30,131
2045,120,70.3420905579752,28,117
2046,120,65.6610198044211,27,105
2047,120,61.0966051031309,26,93
2048,120,56.6563213904183,25,83
2049,120,52.4298278412359,24,75
2050,120,48.4882971074041,22,68
2051,120,44.6612365436766,21,62
2052,120,40.9066531761032,20,57
