"years","initN","mean","lcl","ucl"
2022,100,200,200,200
2023,100,182.704213760562,156,218
2024,100,166.976160430155,51,218
2025,100,152.461812794908,44,216
2026,100,138.896411719522,40,210
2027,100,126.01604850214,36,204
2028,100,114.82922747723,32,196
2029,100,104.164462855262,29,189
2030,100,94.4895753319434,26,181
2031,100,85.4358608581148,24,171
2032,100,77.1340392845386,22,161
2033,100,69.422857456381,20,151
2034,100,62.1684132557884,18,140
2035,100,55.4874903983321,16,128
2036,100,49.6726654230221,14,117
2037,100,43.8377592450346,13,103
2038,100,39.07102490947,12,92.8000000000011
2039,100,34.817787775705,11,82
2040,100,30.8755349500713,10,72
2041,100,27.4655985954131,9,63
2042,100,24.262317568309,8,55
2043,100,21.3526555470207,7,46
2044,100,18.6294304839241,6,37
2045,100,16.4703171293756,6,30
2046,100,14.4655985954131,5,24
2047,100,12.5601064413475,4,19
2048,100,10.9370130582684,4,16
2049,100,9.39273565236475,3,13
2050,100,8.09308131241084,3,12
2051,100,6.9604959947328,2,10
2052,100,5.84324591243279,1,9
2022,110,220,220,220
2023,110,201.157404445866,172,239
2024,110,183.135095154326,57,239
2025,110,166.545538141692,48,237
2026,110,150.536662402047,43,232
2027,110,136.554493842955,39,223
2028,110,124.16887893811,35,215
2029,110,112.397769070846,31,207
2030,110,100.986686390533,28,195
2031,110,90.5183911722373,25,185
2032,110,81.4626979050056,23,175
2033,110,72.836358547897,20,161
2034,110,65.714656964657,18,151
2035,110,58.8631456900688,16.55,137
2036,110,52.4837278106509,15,123
2037,110,47.1165440588518,13.5,111
2038,110,41.8070126339357,12,99
2039,110,37.1660802814649,11,87
2040,110,32.8576683192068,10,76
2041,110,28.7579162002239,9,66
2042,110,25.4108827762674,8,57
2043,110,22.3023748600672,7,48
2044,110,19.6638813369583,7,40
2045,110,17.1276187430034,6,34
2046,110,14.984687350072,5,27
2047,110,12.9916440108748,4,20
2048,110,11.3292419638573,4,16
2049,110,9.70286262593955,3,14
2050,110,8.27774668159284,3,12
2051,110,7.0069166799936,2,10
2052,110,5.91683991683992,2,9
2022,120,240,240,240
2023,120,218.273817345598,186,260
2024,120,199.083826106001,60.25,262
2025,120,180.397229522558,52.125,257
2026,120,163.669349540079,46,252
2027,120,147.875876040298,41,246
2028,120,134.008650897941,37,235
2029,120,120.678547963206,33,224
2030,120,108.832785808147,30,213
2031,120,97.1431778361805,27,198
2032,120,86.8750547525186,24,185
2033,120,78.0248576434516,21,174
2034,120,70.1208388085852,19,160.5
2035,120,62.4548839246605,17,146
2036,120,55.3914257555848,15,132
2037,120,49.2451270258432,13.5,116
2038,120,44.1069864213754,12,105
2039,120,39.2096473937801,11,92.5
2040,120,34.8345926412615,10,80
2041,120,30.3359614542269,9,68
2042,120,26.3867170389838,8,56.5
2043,120,23.1303657468244,7,49
2044,120,20.0647722295226,6,42
2045,120,17.3550153307052,6,35
2046,120,15.0843188786684,5,29
2047,120,13.1771243977223,4,21
2048,120,11.3829391151993,4,17
2049,120,9.70729303547963,3,14
2050,120,8.26439991239597,3,12
2051,120,7.05442400350416,2,10
2052,120,5.91316250547525,2,9
