"years","initN","mean","lcl","ucl"
2022,100,200,200,200
2023,100,177.637417218543,77.3750000000003,216
2024,100,154.113824503311,46,217.7
2025,100,133.970612582781,39,216
2026,100,115.221854304636,33,204
2027,100,97.8853476821192,28,193
2028,100,84.1593543046358,14.825,182.7
2029,100,70.7355132450331,12,165.7
2030,100,59.8725165562914,10,152
2031,100,50.8472682119205,8.825,135.7
2032,100,44.0529801324503,8,119.7
2033,100,37.3899006622517,7,103.7
2034,100,31.9917218543046,6,88
2035,100,26.6651490066225,5,62.7
2036,100,21.9739238410596,5,43
2037,100,18.2889072847682,4,38.7
2038,100,15.0720198675497,4,31
2039,100,11.6328642384106,3,25
2040,100,9.75869205298013,2,21
2041,100,8.22557947019868,2,18
2042,100,6.57574503311258,1,12.175
2043,100,5.20322847682119,1,9
2044,100,4.18336092715232,0,7
2045,100,3.35223509933775,0,6
2046,100,2.44908940397351,0,5
2047,100,1.83816225165563,0,4
2048,100,1.31498344370861,0,3
2049,100,0.822433774834437,0,2
2050,100,0.479718543046358,0,2
2051,100,0.218129139072848,0,1
2052,100,0,0,0
2022,110,220,220,220
2023,110,188.353587962963,56.025,238
2024,110,163.941550925926,49,234.9
2025,110,138.132523148148,42,229.9
2026,110,121.708912037037,34.05,222.9
2027,110,107.173611111111,27,212
2028,110,91.5144675925926,13.775,202.9
2029,110,78.6012731481482,11,184.9
2030,110,64.0405092592593,10,164.8
2031,110,50.71875,9,140.9
2032,110,43.359375,8,128.9
2033,110,37.2326388888889,7,105
2034,110,29.9131944444444,6,61.7000000000001
2035,110,24.9415509259259,5,48
2036,110,20.3541666666667,5,39.9
2037,110,16.1469907407407,4,32
2038,110,13.4282407407407,3,30
2039,110,11.8489583333333,3,27
2040,110,9.72800925925926,2,24
2041,110,7.74479166666667,1.775,18
2042,110,6.36111111111111,1,12
2043,110,4.98263888888889,1,9
2044,110,3.92939814814815,0,7
2045,110,3.08912037037037,0,6
2046,110,2.36689814814815,0,5
2047,110,1.70023148148148,0,4
2048,110,1.22916666666667,0,3
2049,110,0.763888888888889,0,2
2050,110,0.443287037037037,0,2
2051,110,0.196759259259259,0,1
2052,110,0.000578703703703704,0,0
2022,120,240,240,240
2023,120,209.457547169811,60.775,259
2024,120,182.735849056604,53.425,258.3
2025,120,160.441037735849,43.875,254.3
2026,120,137.016509433962,39.925,252.3
2027,120,120.088050314465,27.5,241
2028,120,101.587264150943,14,232.3
2029,120,85.6320754716981,12,212
2030,120,70.5550314465409,10.175,191.2
2031,120,61.7177672955975,9,174.6
2032,120,50.2468553459119,8,141.6
2033,120,43.1320754716981,7,124.6
2034,120,34.312106918239,6,75.9
2035,120,27.7389937106918,5,54.3
2036,120,23.2539308176101,4.925,47
2037,120,18.9528301886792,4,39
2038,120,14.8498427672956,3,32
2039,120,12.4449685534591,3,27
2040,120,10.1116352201258,2,23
2041,120,8.06446540880503,2,16
2042,120,6.16509433962264,1,11
2043,120,5.14622641509434,0.700000000000003,9
2044,120,4.29559748427673,0,7
2045,120,3.24685534591195,0,6
2046,120,2.46383647798742,0,5
2047,120,1.79481132075472,0,4
2048,120,1.30660377358491,0,3
2049,120,0.887578616352201,0,2
2050,120,0.534591194968553,0,2
2051,120,0.227987421383648,0,1
2052,120,0.00235849056603774,0,0
