"years","initN","mean","lcl","ucl"
2022,100,200,200,200
2023,100,199.350493794643,174,225
2024,100,198.673375669643,164,235
2025,100,198.002520892857,156,243
2026,100,197.332273616071,149,250
2027,100,196.673515446429,143,255
2028,100,196.0027178125,138,260
2029,100,195.341946517857,133,265
2030,100,194.67043375,129,270
2031,100,194.003533125,124,273
2032,100,193.331028169643,120,277
2033,100,192.6835375,117,281
2034,100,192.037428526786,113,284
2035,100,191.381606785714,110,287
2036,100,190.707992767857,107,290
2037,100,190.053682991071,103,293
2038,100,189.389348616071,101,295
2039,100,188.718336383929,98,298
2040,100,188.064139375,95,300
2041,100,187.412933839286,92,302
2042,100,186.743856919643,90,305
2043,100,186.082882053571,87,307
2044,100,185.438791428571,85,309
2045,100,184.778876339286,83,311
2046,100,184.126622633929,80,312
2047,100,183.466876741071,78,314
2048,100,182.798284910714,76,316
2049,100,182.1547490625,74,317
2050,100,181.488076964286,72,319
2051,100,180.820777410714,70,320
2052,100,180.153884776786,68,322
2022,110,220,220,220
2023,110,219.307834241071,192,247
2024,110,218.6209221875,180,259
2025,110,217.928857455357,172,267
2026,110,217.239491116071,164,275
2027,110,216.534020133929,158,281
2028,110,215.836845133929,152,287
2029,110,215.147047589286,147,292
2030,110,214.451845267857,142,297
2031,110,213.755581741071,137,301
2032,110,213.0661553125,133,305
2033,110,212.373839732143,129,309
2034,110,211.705178883929,125,313
2035,110,211.027369732143,121,316
2036,110,210.342535089286,118,319
2037,110,209.674045892857,114,322
2038,110,208.986790133929,111,325
2039,110,208.307667633929,108,328
2040,110,207.642344508929,105,331
2041,110,206.976449419643,102,333
2042,110,206.277000982143,99,336
2043,110,205.579968571429,97,338
2044,110,204.903647098214,94,340
2045,110,204.225053883929,92,342
2046,110,203.540609375,89,345
2047,110,202.854220491071,87,346
2048,110,202.193502946429,85,348
2049,110,201.497947857143,82,350
2050,110,200.818980267857,80,352
2051,110,200.1261409375,78,354
2052,110,199.456367589286,76,355
2022,120,240,240,240
2023,120,239.304610178571,209,269
2024,120,238.613338303571,197,282
2025,120,237.904900580357,187,292
2026,120,237.198520044643,179,300
2027,120,236.479711383929,172,307
2028,120,235.789132723214,166,313
2029,120,235.094252321429,161,319
2030,120,234.408236205357,155,324
2031,120,233.6929021875,150,329
2032,120,232.997745267857,146,333
2033,120,232.284187321429,141,337
2034,120,231.580689866071,137,341
2035,120,230.894224642857,133,345
2036,120,230.189852767857,129,349
2037,120,229.484988526786,126,352
2038,120,228.765254330357,122,355
2039,120,228.058114866071,119,359
2040,120,227.356132901786,116,362
2041,120,226.656870669643,112,364
2042,120,225.953347366071,109,367
2043,120,225.2564678125,107,370
2044,120,224.5450484375,104,372
2045,120,223.848418303571,101,375
2046,120,223.1547090625,98,377
2047,120,222.465613616071,96,379
2048,120,221.764518928571,93,381
2049,120,221.058612857143,91,383
2050,120,220.349903080357,89,385
2051,120,219.648284866071,86,387
2052,120,218.978365357143,84,389
