"years","initN","mean","lcl","ucl"
2022,100,200,200,200
2023,100,199.34716,174,225
2024,100,198.691035491071,164,235
2025,100,198.027185,156,243
2026,100,197.364303080357,149,250
2027,100,196.707551607143,143,255
2028,100,196.052202544643,138,261
2029,100,195.376345892857,133,265
2030,100,194.704930625,129,269
2031,100,194.042672455357,124,273
2032,100,193.388850133929,120,277
2033,100,192.723930535714,117,281
2034,100,192.054434642857,113,284
2035,100,191.3783690625,110,287
2036,100,190.714251651786,107,290
2037,100,190.037619285714,103,293
2038,100,189.364395357143,101,295
2039,100,188.707070178571,98,298
2040,100,188.052912589286,95,300
2041,100,187.380418169643,92,302
2042,100,186.707928080357,90,304
2043,100,186.047671919643,87,307
2044,100,185.3788609375,85,308
2045,100,184.717278705357,82,310
2046,100,184.065169375,80,312
2047,100,183.401334732143,78,314
2048,100,182.747638125,76,316
2049,100,182.103479821429,74,317
2050,100,181.441070803571,72,319
2051,100,180.783777276786,70,320
2052,100,180.11378125,68,322
2022,110,220,220,220
2023,110,219.2991478125,192,247
2024,110,218.591779151786,180,259
2025,110,217.9104034375,172,267
2026,110,217.220798214286,164,275
2027,110,216.541424419643,158,281
2028,110,215.853706919643,152,287
2029,110,215.147809464286,147,292
2030,110,214.471490223214,142,297
2031,110,213.780747053571,137,301
2032,110,213.106005223214,133,305
2033,110,212.420323169643,129,309
2034,110,211.729073035714,125,313
2035,110,211.053804017857,121,316
2036,110,210.3886484375,118,319
2037,110,209.712067544643,115,322
2038,110,209.034231785714,111,325
2039,110,208.347759285714,108,328
2040,110,207.6493196875,105,331
2041,110,206.961358125,102,333
2042,110,206.286420714286,100,336
2043,110,205.62199875,97,338
2044,110,204.941116964286,94,340
2045,110,204.266016696429,92,343
2046,110,203.595123883929,89,345
2047,110,202.912898928571,87,347
2048,110,202.2388834375,85,348
2049,110,201.554829330357,83,350
2050,110,200.885702857143,80,352
2051,110,200.207878616071,78,354
2052,110,199.526092276786,76,355
2022,120,240,240,240
2023,120,239.2951790625,209,269
2024,120,238.588589598214,197,282
2025,120,237.889241741071,187,292
2026,120,237.187197589286,179,300
2027,120,236.478868169643,172,307
2028,120,235.786116919643,166,313
2029,120,235.078504419643,161,319
2030,120,234.360446473214,155,324
2031,120,233.658172142857,150,329
2032,120,232.937995625,146,333
2033,120,232.212621473214,141,337
2034,120,231.502585178571,137,341
2035,120,230.795782723214,133,345
2036,120,230.093987142857,129,349
2037,120,229.391684419643,126,352
2038,120,228.667323883929,122,355
2039,120,227.947869821429,119,358
2040,120,227.260876919643,115,361
2041,120,226.555912366071,112,364
2042,120,225.838688214286,109,367
2043,120,225.152397232143,106,369
2044,120,224.459770892857,104,372
2045,120,223.7670790625,101,374
2046,120,223.068814464286,98,377
2047,120,222.39362375,96,379
2048,120,221.687616830357,93,381
2049,120,220.991155491071,91,383
2050,120,220.310904241071,89,385
2051,120,219.6020990625,86,387
2052,120,218.905364107143,84,389
