"years","initN","mean","lcl","ucl"
2022,100,200,200,200
2023,100,199.322686473214,174,225
2024,100,198.645822723214,164,235
2025,100,197.983874151786,156,243
2026,100,197.314766383929,149,250
2027,100,196.640952857143,143,255
2028,100,195.985674642857,138,260
2029,100,195.318852098214,133,265
2030,100,194.659439732143,129,269
2031,100,194.007850848214,124,273
2032,100,193.341425714286,120,277
2033,100,192.678960044643,117,281
2034,100,192.019645758929,113,284
2035,100,191.359779330357,110,287
2036,100,190.701795848214,107,290
2037,100,190.036691339286,103,293
2038,100,189.363618169643,100,295
2039,100,188.707466473214,98,298
2040,100,188.038329330357,95,300
2041,100,187.371843794643,92,302
2042,100,186.708965133929,90,304
2043,100,186.041424732143,87,307
2044,100,185.381109910714,85,309
2045,100,184.735943660714,82,311
2046,100,184.079584330357,80,312
2047,100,183.431190446429,78,314
2048,100,182.773665535714,76,316
2049,100,182.119027678571,74,317
2050,100,181.445132321429,72,319
2051,100,180.783327544643,70,320
2052,100,180.114304017857,68,322
2022,110,220,220,220
2023,110,219.3212921875,192,247
2024,110,218.628020848214,180,259
2025,110,217.947225758929,172,267
2026,110,217.240237946429,164,275
2027,110,216.538288035714,158,281
2028,110,215.8535884375,152,287
2029,110,215.181720223214,147,292
2030,110,214.490326294643,142,297
2031,110,213.797860535714,137,301
2032,110,213.115498571429,133,305
2033,110,212.425265223214,129,309
2034,110,211.720041116071,125,313
2035,110,211.046907142857,121,316
2036,110,210.373527053571,118,319
2037,110,209.690659241071,114,322
2038,110,209.014558348214,111,325
2039,110,208.331726964286,108,328
2040,110,207.63739,105,331
2041,110,206.953861607143,102,333
2042,110,206.273815044643,100,336
2043,110,205.5928928125,97,338
2044,110,204.902020848214,94,340
2045,110,204.230311339286,92,342
2046,110,203.564551294643,89,344
2047,110,202.884238928571,87,346
2048,110,202.2022303125,85,348
2049,110,201.525343839286,82,350
2050,110,200.831165089286,80,352
2051,110,200.152872857143,78,354
2052,110,199.478745401786,76,355
2022,120,240,240,240
2023,120,239.297156026786,209,269
2024,120,238.596919732143,197,282
2025,120,237.908891339286,187,292
2026,120,237.189858214286,179,300
2027,120,236.497280357143,173,307
2028,120,235.796156741071,166,313
2029,120,235.06963375,161,319
2030,120,234.361553035714,155,324
2031,120,233.648467589286,150,329
2032,120,232.944262455357,146,333
2033,120,232.251671160714,141,337
2034,120,231.554719866071,137,341
2035,120,230.860809642857,133,345
2036,120,230.1641515625,129,349
2037,120,229.453902633929,126,352
2038,120,228.751384330357,122,356
2039,120,228.06084625,119,359
2040,120,227.348933035714,115,362
2041,120,226.640017946429,112,364
2042,120,225.956123303571,109,367
2043,120,225.258022053571,106,370
2044,120,224.563210446429,104,372
2045,120,223.839593571429,101,375
2046,120,223.131612410714,98,377
2047,120,222.431249330357,96,379
2048,120,221.739510625,93,381
2049,120,221.056605803571,91,384
2050,120,220.358858883929,89,385
2051,120,219.663972589286,86,387
2052,120,218.976464732143,84,389
