"years","initN","mean","lcl","ucl"
2022,100,200,200,200
2023,100,199.350901741071,174,225
2024,100,198.6733109375,164,235
2025,100,198.004492633929,156,243
2026,100,197.343875357143,149,250
2027,100,196.678040089286,143,255
2028,100,196.009075133929,138,260
2029,100,195.348780178571,133,265
2030,100,194.685295357143,129,269
2031,100,194.036206160714,124,273
2032,100,193.355410535714,120,277
2033,100,192.679786160714,117,281
2034,100,192.018764642857,113,284
2035,100,191.3409659375,110,287
2036,100,190.688579955357,107,290
2037,100,190.022607232143,104,292
2038,100,189.383942053571,101,295
2039,100,188.733099285714,98,298
2040,100,188.0744646875,95,300
2041,100,187.412006473214,92,302
2042,100,186.752708973214,90,305
2043,100,186.081842544643,87,306
2044,100,185.4205984375,85,308
2045,100,184.7494928125,83,310
2046,100,184.078771875,80,312
2047,100,183.4148003125,78,314
2048,100,182.754733660714,76,316
2049,100,182.104661383929,74,317
2050,100,181.462980714286,72,319
2051,100,180.814499464286,70,320
2052,100,180.163025892857,68,322
2022,110,220,220,220
2023,110,219.306646071429,192,247
2024,110,218.637060223214,180,259
2025,110,217.932239598214,172,267
2026,110,217.235984151786,164,275
2027,110,216.558139508929,158,281
2028,110,215.863944151786,152,287
2029,110,215.180637232143,147,292
2030,110,214.493489017857,142,297
2031,110,213.801450625,137,301
2032,110,213.1314734375,133,305
2033,110,212.459944910714,129,309
2034,110,211.7760803125,125,313
2035,110,211.096727544643,121,316
2036,110,210.418307767857,118,319
2037,110,209.741702410714,115,322
2038,110,209.061495669643,111,325
2039,110,208.366959598214,108,328
2040,110,207.692281026786,105,331
2041,110,207.013108794643,102,333
2042,110,206.327842142857,99,336
2043,110,205.643792232143,97,338
2044,110,204.982323973214,94,340
2045,110,204.308041830357,92,343
2046,110,203.632560401786,89,345
2047,110,202.968936339286,87,347
2048,110,202.285634776786,85,348
2049,110,201.597972142857,82,350
2050,110,200.8964515625,80,352
2051,110,200.214240758929,78,354
2052,110,199.536432678571,76,355
2022,120,240,240,240
2023,120,239.276083571429,209,269
2024,120,238.562553125,197,282
2025,120,237.856767946429,187,292
2026,120,237.134502544643,179,300
2027,120,236.420930892857,172,307
2028,120,235.7235725,166,313
2029,120,235.038827098214,160,319
2030,120,234.328192589286,155,324
2031,120,233.622394241071,150,329
2032,120,232.917621964286,146,333
2033,120,232.206318125,141,337
2034,120,231.508290580357,137,341
2035,120,230.804898258929,133,345
2036,120,230.105977053571,129,349
2037,120,229.409528258929,125,352
2038,120,228.70382125,122,356
2039,120,228.007700491071,119,359
2040,120,227.309704017857,115,361
2041,120,226.586053571429,112,364
2042,120,225.876312098214,109,367
2043,120,225.162841830357,106,370
2044,120,224.470280625,104,372
2045,120,223.758936830357,101,375
2046,120,223.050351517857,98,377
2047,120,222.357936875,96,379
2048,120,221.670588169643,93,381
2049,120,220.984311160714,91,383
2050,120,220.29176875,89,385
2051,120,219.611198839286,86,387
2052,120,218.921232142857,84,389
