"years","initN","mean","lcl","ucl"
2022,100,200,200,200
2023,100,199.339047098214,174,225
2024,100,198.667869910714,164,235
2025,100,197.988925625,156,243
2026,100,197.318570580357,149,250
2027,100,196.663512633929,143,255
2028,100,196.01011375,138,261
2029,100,195.332941026786,133,265
2030,100,194.667793080357,129,269
2031,100,193.986709866071,124,273
2032,100,193.314162410714,120,277
2033,100,192.643094776786,117,280
2034,100,191.987113303571,113,284
2035,100,191.324827410714,110,287
2036,100,190.655460223214,107,290
2037,100,189.989359107143,103,293
2038,100,189.332475401786,100,295
2039,100,188.671570669643,98,298
2040,100,188.004185892857,95,300
2041,100,187.332094151786,92,302
2042,100,186.667893973214,90,304
2043,100,186.004567232143,87,306
2044,100,185.345788928571,85,308
2045,100,184.693961607143,82,310
2046,100,184.036724866071,80,312
2047,100,183.357345758929,78,314
2048,100,182.704478482143,76,315
2049,100,182.062170178571,74,317
2050,100,181.394013883929,72,319
2051,100,180.732465044643,70,320
2052,100,180.074395,68,322
2022,125,250,250,250
2023,125,249.265163883929,218,281
2024,125,248.540001696429,205,294
2025,125,247.817615758929,195,304
2026,125,247.108273928571,187,312
2027,125,246.397774642857,180,319
2028,125,245.688812544643,173,326
2029,125,244.977375044643,167,332
2030,125,244.258737767857,162,337
2031,125,243.5324103125,157,342
2032,125,242.822765669643,152,347
2033,125,242.124545178571,147,352
2034,125,241.404585357143,143,356
2035,125,240.694222142857,139,360
2036,125,239.985477455357,135,364
2037,125,239.278558214286,131,367
2038,125,238.546785669643,127,371
2039,125,237.8474475,124,374
2040,125,237.1223421875,121,377
2041,125,236.406350044643,117,380
2042,125,235.701367366071,114,383
2043,125,234.992574955357,111,386
2044,125,234.2877796875,108,388
2045,125,233.589363928571,106,391
2046,125,232.902445491071,103,393
2047,125,232.194729196429,100,396
2048,125,231.483062232143,98,398
2049,125,230.787839866071,95,400
2050,125,230.073514196429,93,402
2051,125,229.369900625,90,404
2052,125,228.664324642857,88,406
2022,150,300,300,300
2023,150,299.225931116071,262,337
2024,150,298.4644140625,247,352
2025,150,297.6963353125,235,364
2026,150,296.915692633929,225,375
2027,150,296.155281785714,217,383
2028,150,295.407793035714,209,391
2029,150,294.6437559375,202,398
2030,150,293.915581517857,195,405
2031,150,293.129080714286,189,411
2032,150,292.349458392857,183,417
2033,150,291.585782098214,178,422
2034,150,290.835858526786,173,428
2035,150,290.0910021875,168,433
2036,150,289.323385267857,163,437
2037,150,288.574515,159,442
2038,150,287.828647589286,155,446
2039,150,287.036217098214,150,450
2040,150,286.275772142857,147,454
2041,150,285.520009955357,143,457
2042,150,284.746946607143,139,461
2043,150,283.9818903125,135,464
2044,150,283.221228928571,132,467
2045,150,282.451180133929,129,471
2046,150,281.693194017857,126,474
2047,150,280.925175,122,477
2048,150,280.172202455357,119,479
2049,150,279.410460625,116,482
2050,150,278.622704910714,114,485
2051,150,277.864810267857,111,487
2052,150,277.09922125,108,490
2022,175,350,350,350
2023,175,349.175165714286,306,393
2024,175,348.329395133929,288,411
2025,175,347.488899285714,275,425
2026,175,346.657053035714,263,437
2027,175,345.833999598214,253,447
2028,175,345.025942991071,245,456
2029,175,344.226486026786,236,465
2030,175,343.403284375,229,473
2031,175,342.583642053571,222,480
2032,175,341.777122901786,215,487
2033,175,340.937244285714,209,493
2034,175,340.134298928571,203,499
2035,175,339.339969151786,197,505
2036,175,338.546358035714,192,510
2037,175,337.734043973214,187,516
2038,175,336.923524955357,182,521
2039,175,336.099320178571,177,525
2040,175,335.291592901786,173,530
2041,175,334.4619996875,168,534
2042,175,333.647902053571,164,538
2043,175,332.849875401786,160,543
2044,175,332.045869241071,156,546
2045,175,331.251061205357,152,550
2046,175,330.447482232143,148,554
2047,175,329.647333482143,145,557
2048,175,328.839446205357,141,561
2049,175,328.040361428571,138,564
2050,175,327.242872276786,135,567
2051,175,326.416798080357,132,570
2052,175,325.608795446429,129,574
2022,200,400,400,400
2023,200,399.116772366071,350,449
2024,200,398.251446651786,330,470
2025,200,397.401608214286,314,486
2026,200,396.507548035714,302,499
2027,200,395.607228080357,290,511
2028,200,394.723587857143,280,521
2029,200,393.844984955357,271,531
2030,200,392.976187678571,263,540
2031,200,392.092957053571,255,548
2032,200,391.195828660714,247,556
2033,200,390.287620848214,240,563
2034,200,389.4363409375,233,570
2035,200,388.565058348214,227,577
2036,200,387.691728571429,221,583
2037,200,386.830336830357,215,589
2038,200,385.943355357143,209,595
2039,200,385.054219821429,204,600
2040,200,384.195547276786,199,605
2041,200,383.322738973214,194,611
2042,200,382.479599196429,189,616
2043,200,381.593790535714,184,620
2044,200,380.7211296875,180,625
2045,200,379.840982901786,176,629
2046,200,378.96078125,172,634
2047,200,378.091396160714,167,638
2048,200,377.222207142857,163,642
2049,200,376.364467053571,160,645
2050,200,375.4722046875,156,649
2051,200,374.593009285714,152,652
2052,200,373.7289678125,149,656
