"years","initN","mean","lcl","ucl"
2022,100,200,200,200
2023,100,186.829364250855,162,218
2024,100,174.505428399927,127,221
2025,100,162.960768066394,50.75,220
2026,100,152.092530730485,45,217
2027,100,141.665644492001,41,213
2028,100,131.588753033901,38,208
2029,100,122.356401858183,35,202
2030,100,113.432790928309,32,195
2031,100,105.056658924237,30,189
2032,100,97.1103491922645,28,181
2033,100,89.4275843620325,26,173
2034,100,82.2636884411619,24,165
2035,100,75.8525001957356,22,157
2036,100,69.7270728397317,21,148
2037,100,63.9711942479839,20,140
2038,100,58.5247735991857,18,131
2039,100,53.316321737088,17,122
2040,100,48.4830427747475,16,113
2041,100,44.0652517159485,15,104
2042,100,39.88337422032,14,96
2043,100,36.0781376412558,13,87
2044,100,32.6906725474333,12,78
2045,100,29.4309444893911,11,68
2046,100,26.3563953336639,10,54
2047,100,23.5835790902211,10,37
2048,100,21.0365895033536,9,30
2049,100,18.7205809431845,8,26
2050,100,16.671353446251,7,23
2051,100,14.8002714199963,7,20
2052,100,12.954308792442,6,18.75
2022,125,250,250,250
2023,125,232.217066939193,201,273
2024,125,215.866223811957,83.9000000000001,275
2025,125,200.484619315278,61,274
2026,125,185.463477261114,54,269
2027,125,171.398134900358,49,263
2028,125,158.187621359223,44.75,255
2029,125,145.920669391926,41,246
2030,125,134.223773633112,38,238
2031,125,123.546538068472,35,227
2032,125,113.530505876341,32,217
2033,125,104.325370464997,30,205
2034,125,95.7608329075115,28,196
2035,125,87.537723556464,25.25,184
2036,125,79.8120720490547,24,172
2037,125,73.0455160960654,22,162
2038,125,66.1551737353091,20,150
2039,125,60.0204777721002,19,138
2040,125,54.1453500255493,17,127
2041,125,48.8596320899336,16,117
2042,125,44.0730454777721,15,106
2043,125,39.7108840061318,14,95
2044,125,35.5050843127236,13,84
2045,125,31.7865482881962,12,74
2046,125,28.4508431272356,11,60
2047,125,25.2882473173224,10,43
2048,125,22.428487480838,9,32
2049,125,19.8225344915687,9,27
2050,125,17.439703628002,8,23
2051,125,15.2909683188554,7,21
2052,125,13.3025038323965,6,19
2022,150,300,300,300
2023,150,277.863760090107,241,327
2024,150,256.715318190351,84.5,329
2025,150,236.768866153557,70.5,326
2026,150,217.694527876854,62.25,319
2027,150,200.554556973907,57,312
2028,150,185.040430824104,52,303
2029,150,169.944363619298,47,291
2030,150,156.133470996809,43,280
2031,150,142.604209686503,39,266
2032,150,130.006711094425,36,254
2033,150,118.49427445091,33,241
2034,150,108.211469870471,30.5,228
2035,150,98.6239205932044,28,212
2036,150,89.4958231650084,25,195
2037,150,81.400577247982,23,181
2038,150,73.9578796696077,21,168
2039,150,66.7616857518303,20,153
2040,150,59.8258165947062,18,139
2041,150,53.4329359864839,17,125
2042,150,47.6901867843064,15.5,113
2043,150,42.6328843626807,14,99
2044,150,38.0385301295288,13,89
2045,150,33.6477614041674,12,78
2046,150,29.965505913272,11,66
2047,150,26.5275014079219,10,51
2048,150,23.4382860897316,9,34
2049,150,20.5183029847944,9,28
2050,150,17.8620940491834,8,24
2051,150,15.6419185282523,7,21
2052,150,13.504270696452,7,19
2022,175,350,350,350
2023,175,322.067939887289,275,381
2024,175,296.832694113964,94,385
2025,175,273.444701001879,80.5,381
2026,175,250.362085159674,72,373
2027,175,230.057647150908,65,363
2028,175,211.353984032561,59,352
2029,175,194.531152160301,53,343
2030,175,178.578545710708,48,328
2031,175,163.141241390106,44,313
2032,175,148.30897777082,40,301
2033,175,135.788079211021,36,287
2034,175,122.694231371321,33,265
2035,175,111.427598622417,29,244
2036,175,101.179946775204,27,226
2037,175,90.5617955541641,24,207
2038,175,81.0347917971196,22,188
2039,175,72.4255635566687,20,169
2040,175,64.6802598622417,18,150
2041,175,57.9137053850971,16,133.3
2042,175,51.3593065122104,15,119
2043,175,45.530212899186,14,104.3
2044,175,40.3643941765811,13,90
2045,175,35.9911161552912,12,79
2046,175,31.4779273638071,11,66
2047,175,27.6680103318723,10,54
2048,175,24.2558703819662,10,37
2049,175,21.054868503444,9,28
2050,175,18.294614902943,8,24
2051,175,15.7687852222918,7,21
2052,175,13.5407795867251,6.25,19
2022,200,400,400,400
2023,200,367.891681217261,317,434
2024,200,336.350960339237,104.5,438
2025,200,308.834372661512,91,434
2026,200,282.077450735844,80.5,425
2027,200,260.420366674981,72,417
2028,200,237.654901471689,65,401
2029,200,217.262596657521,59,389
2030,200,195.938326265902,53,368
2031,200,178.527625342978,47,352
2032,200,161.842666500374,41,333.2
2033,200,145.506423048142,36,309
2034,200,132.138251434273,32,288
2035,200,119.612434522325,29,268
2036,200,107.843726615116,26,246
2037,200,97.2190695934148,24,222
2038,200,87.4470566225991,21.2,204.2
2039,200,78.1528436018957,19,184
2040,200,69.1608880019955,18,158.2
2041,200,60.8972312297331,16,137.2
2042,200,53.7529932651534,15,122
2043,200,47.6169244200549,14,105
2044,200,42.3891244699426,13,94
2045,200,37.3660513843851,12,82
2046,200,32.5015589922674,11,69
2047,200,28.2963332501871,10,56
2048,200,24.4244200548765,10,38
2049,200,21.0039910202045,9,29
2050,200,18.2330381641307,8,24
2051,200,15.8227737590422,7,21
2052,200,13.5105387877276,7,19
