"years","initN","mean","lcl","ucl"
2022,100,200,200,200
2023,100,199.321610491071,174,225
2024,100,198.6623284375,164,235
2025,100,198.001420982143,156,243
2026,100,197.322900625,149,250
2027,100,196.650976830357,143,255
2028,100,195.979016964286,138,260
2029,100,195.320791294643,133,265
2030,100,194.648647142857,129,269
2031,100,193.984174330357,124,273
2032,100,193.309630535714,120,277
2033,100,192.6288228125,117,280
2034,100,191.9558115625,113,284
2035,100,191.288272321429,110,287
2036,100,190.626496875,107,290
2037,100,189.964802723214,103,292
2038,100,189.292643705357,100,295
2039,100,188.638188616071,98,297
2040,100,187.977274642857,95,300
2041,100,187.309473348214,92,302
2042,100,186.655879196429,90,304
2043,100,185.996723616071,87,306
2044,100,185.342762544643,85,308
2045,100,184.685957410714,82,310
2046,100,184.024551116071,80,312
2047,100,183.3664190625,78,314
2048,100,182.708701205357,76,316
2049,100,182.049474598214,74,317
2050,100,181.383519866071,72,319
2051,100,180.737005133929,70,320
2052,100,180.091266607143,68,322
2022,125,250,250,250
2023,125,249.272926517857,218,281
2024,125,248.553612232143,205,294
2025,125,247.839863214286,195,304
2026,125,247.111170892857,187,312
2027,125,246.405260357143,180,319
2028,125,245.691603125,173,326
2029,125,244.971884285714,167,332
2030,125,244.255933526786,162,337
2031,125,243.558862276786,157,342
2032,125,242.860252410714,152,347
2033,125,242.122081651786,147,352
2034,125,241.418198794643,143,356
2035,125,240.711457767857,139,360
2036,125,239.998907678571,135,364
2037,125,239.294350892857,131,367
2038,125,238.574498794643,127,371
2039,125,237.873295982143,124,374
2040,125,237.143809151786,121,377
2041,125,236.413545446429,117,380
2042,125,235.708693258929,114,383
2043,125,234.996419866071,111,386
2044,125,234.280018214286,108,388
2045,125,233.560960223214,106,391
2046,125,232.862853839286,103,393
2047,125,232.161779732143,100,396
2048,125,231.461187857143,98,398
2049,125,230.755974285714,95,400
2050,125,230.042632098214,93,402
2051,125,229.327972723214,90,404
2052,125,228.627369910714,88,406
2022,150,300,300,300
2023,150,299.219841294643,262,337
2024,150,298.444878616071,247,352
2025,150,297.683387142857,235,365
2026,150,296.918715982143,225,375
2027,150,296.167123348214,217,383
2028,150,295.408562366071,209,391
2029,150,294.614900669643,202,398
2030,150,293.8349565625,195,405
2031,150,293.076154553571,189,411
2032,150,292.299654598214,183,417
2033,150,291.536304419643,178,422
2034,150,290.820205535714,173,428
2035,150,290.061870669643,168,433
2036,150,289.288995133929,163,437
2037,150,288.518244955357,159,442
2038,150,287.755995491071,155,446
2039,150,286.991126830357,151,450
2040,150,286.256692410714,147,453
2041,150,285.507173169643,143,457
2042,150,284.741742142857,139,461
2043,150,283.989927232143,136,464
2044,150,283.225093660714,132,468
2045,150,282.474933258929,129,471
2046,150,281.701185491071,126,474
2047,150,280.937509196429,122,477
2048,150,280.184405267857,119,479
2049,150,279.440552053571,117,482
2050,150,278.682651339286,114,485
2051,150,277.931718526786,111,487
2052,150,277.169749017857,108,490
2022,175,350,350,350
2023,175,349.206534508929,306,393
2024,175,348.369495580357,288,411
2025,175,347.564952723214,275,425
2026,175,346.736450133929,263,437
2027,175,345.918259866071,254,447
2028,175,345.104400625,245,456
2029,175,344.277982544643,236,465
2030,175,343.48200625,229,473
2031,175,342.664828928571,222,480
2032,175,341.857413660714,215,487
2033,175,341.013841607143,209,493
2034,175,340.217949285714,203,499
2035,175,339.385809196429,197,505
2036,175,338.560229866071,192,510
2037,175,337.724235892857,187,515
2038,175,336.904552098214,182,520
2039,175,336.099526205357,177,525
2040,175,335.295335357143,173,530
2041,175,334.482473169643,168,534
2042,175,333.6771321875,164,538
2043,175,332.858240357143,160,542
2044,175,332.050334330357,156,546
2045,175,331.238506919643,152,550
2046,175,330.429719375,148,554
2047,175,329.639722455357,145,557
2048,175,328.828514375,141,561
2049,175,328.009952767857,138,564
2050,175,327.219983571429,135,567
2051,175,326.431786383929,132,570
2052,175,325.597701339286,129,573
2022,200,400,400,400
2023,200,399.134826428571,350,449
2024,200,398.23073875,330,470
2025,200,397.369487991071,315,486
2026,200,396.494742008929,302,499
2027,200,395.6120509375,290,511
2028,200,394.719877098214,280,521
2029,200,393.860757767857,271,531
2030,200,392.971663660714,263,540
2031,200,392.076161205357,255,548
2032,200,391.197292321429,247,556
2033,200,390.310012053571,240,563
2034,200,389.425322991071,233,570
2035,200,388.540265892857,227,576
2036,200,387.637855491071,221,583
2037,200,386.793470178571,215,589
2038,200,385.909182098214,209,594
2039,200,385.061837991071,204,600
2040,200,384.202008348214,199,605
2041,200,383.318828526786,194,610
2042,200,382.457222321429,189,615
2043,200,381.581304910714,185,620
2044,200,380.733793973214,180,625
2045,200,379.843367008929,176,629
2046,200,378.957057544643,171,633
2047,200,378.091032901786,167,637
2048,200,377.241745758929,163,641
2049,200,376.377827946429,160,645
2050,200,375.528369553571,156,649
2051,200,374.666044866071,152,652
2052,200,373.800619732143,149,656
