"years","initN","mean","lcl","ucl"
2022,100,200,200,200
2023,100,187.049031859199,162,218
2024,100,174.907112414827,130,221
2025,100,163.395642050985,51,221
2026,100,152.547683565284,45,218
2027,100,141.870142853385,41,213
2028,100,131.656724369262,38,208
2029,100,121.940622451396,35,202
2030,100,113.350582726053,32,195
2031,100,105.027274999342,30,188
2032,100,96.9065994054353,28,181
2033,100,89.3395793322985,26,172
2034,100,82.5173765488937,24,164
2035,100,75.8161519033964,22.75,156
2036,100,69.5498802978085,21,147
2037,100,63.897608586988,20,139
2038,100,58.5993265107469,18,130
2039,100,53.6114677330247,17,121
2040,100,48.9500144694957,16,113
2041,100,44.5623503722607,15,104
2042,100,40.3840993396648,14,95
2043,100,36.672910473284,13,88
2044,100,33.0890794769935,12,78
2045,100,29.8240048933204,11,69
2046,100,26.7245599957907,10,57
2047,100,23.8296874588935,9,39
2048,100,21.2379837415485,9,30
2049,100,18.8892031254111,8,26
2050,100,16.7337218173687,7,23
2051,100,14.7529070532214,7,20
2052,100,12.9260871852885,6,19
2022,125,250,250,250
2023,125,232.274160147262,202,272
2024,125,215.732320908115,82.4500000000001,274
2025,125,200.22010021987,60.75,272
2026,125,185.393567520581,54,268
2027,125,171.489671217467,49,262
2028,125,158.202395561691,45,255
2029,125,145.820703584394,41,247
2030,125,134.753643196809,38,237
2031,125,123.812177225546,35,227
2032,125,113.688896558777,32,217
2033,125,104.435687988955,30,206
2034,125,95.5995807127883,28,195
2035,125,87.4760955156721,26,184
2036,125,79.7230275604643,24,173
2037,125,72.4485989671217,22,161
2038,125,65.6759472311704,20,150
2039,125,59.6450120161579,19,138
2040,125,53.7763844147875,18,126
2041,125,48.2783913688193,16,114
2042,125,43.4365188934908,15,103
2043,125,39.1805108145421,14,93
2044,125,35.3107966457023,13,83
2045,125,31.4544280820167,12,71
2046,125,28.1701948151557,11,59
2047,125,25.0208109628266,10,41
2048,125,22.169798537608,9,31
2049,125,19.637099248351,9,27
2050,125,17.4132280002045,8,23
2051,125,15.3172265684921,7,21
2052,125,13.3348289614972,6,19
2022,150,300,300,300
2023,150,277.569959510444,240,327
2024,150,257.026985368547,85,330
2025,150,238.175462409129,71,327
2026,150,219.438736541824,64,321
2027,150,202.35948283795,57,313
2028,150,185.429189288672,52,303
2029,150,169.655056593356,47,291
2030,150,155.190991073893,43,280
2031,150,141.86875402595,40,266
2032,150,129.957370939542,36.5,254
2033,150,118.12291800865,33,240
2034,150,107.20263182111,30.4,225
2035,150,97.2450768381338,28,212
2036,150,88.3824422563725,25,196
2037,150,80.0406505935401,23,180
2038,150,72.6240222692555,21,165
2039,150,65.6732998987761,20,153
2040,150,58.5977730744456,18,138
2041,150,52.7967470322996,17,124
2042,150,46.9724164902917,16,111
2043,150,42.4014217355296,14,101.55
2044,150,37.8386859298795,13,88
2045,150,33.8599889573939,12,77
2046,150,29.8443452654827,11.75,65
2047,150,26.2342412809423,11,48
2048,150,23.1677095794608,10,34
2049,150,20.3755176221588,9,28
2050,150,17.9627312045643,8,24
2051,150,15.623976258397,7,21
2052,150,13.5239026410233,7,19
2022,175,350,350,350
2023,175,323.257702745849,279,381
2024,175,296.760456577267,96,382
2025,175,273.320601851852,82.5,378
2026,175,250.807271711367,73,370
2027,175,229.035320881226,66,360
2028,175,211.186661877395,60,351
2029,175,192.998682950192,54,338
2030,175,175.788074712644,49,324
2031,175,159.986270753512,44,308
2032,175,145.883540868455,40,294.7
2033,175,132.366419220945,36,274.7
2034,175,120.081696998723,32,259
2035,175,109.047254150702,29,243.7
2036,175,98.7545498084291,26,224
2037,175,89.2652458492976,24,207
2038,175,80.2376676245211,22,186
2039,175,71.6758461047254,20,168
2040,175,64.5540389527459,18,152
2041,175,57.4645992975734,17,136
2042,175,51.4679916985951,15,118
2043,175,45.5137691570881,14,104
2044,175,40.3753591954023,13,88.6999999999998
2045,175,35.6908924010217,12,78
2046,175,31.4485552362708,11,67
2047,175,27.4466395274585,10,52.8499999999999
2048,175,23.8189256066411,9,35
2049,175,20.9063697318008,8,28
2050,175,18.1444763729247,8,24
2051,175,15.8020035121328,7,21
2052,175,13.5707215836526,6,19
2022,200,400,400,400
2023,200,369.14687966186,318.1,435
2024,200,340.633453505719,110,439
2025,200,315.47799602188,93.75,436
2026,200,286.042391844853,83,424
2027,200,261.700087021382,73,414
2028,200,240.753667329687,67,400
2029,200,219.425783192442,61,386.9
2030,200,198.869032819493,54,372
2031,200,181.92541024366,49,356
2032,200,165.389420686226,43.775,335.9
2033,200,149.504786176032,38,315
2034,200,135.206613625062,33,297
2035,200,122.160305818001,29,275
2036,200,109.50229985082,25.025,257
2037,200,97.9881277971159,23,233
2038,200,88.0913102933864,21,210
2039,200,77.8219791148682,19,185
2040,200,69.8490800596718,17,165
2041,200,62.9977623073098,16,146
2042,200,56.3756215813028,15,127
2043,200,49.5257334659373,13,111
2044,200,43.324341123819,12,97
2045,200,38.4204997513675,11,85.95
2046,200,33.468423669816,10,73
2047,200,28.9190079562407,10,58.9000000000001
2048,200,24.7220288413725,9,45
2049,200,21.164035305818,8,30
2050,200,18.123694679264,7,24
2051,200,15.5409000497265,7,21
2052,200,13.2922675285927,6,19
