"years","initN","mean","lcl","ucl"
2022,100,200,200,200
2023,100,199.327065982143,174,225
2024,100,198.6580915625,164,235
2025,100,197.997624732143,156,243
2026,100,197.330006383929,149,250
2027,100,196.671228526786,143,255
2028,100,195.998517321429,138,260
2029,100,195.335776830357,133,265
2030,100,194.671520267857,129,269
2031,100,194.011437098214,124,273
2032,100,193.334315982143,120,277
2033,100,192.673164508929,117,281
2034,100,192.019483348214,113,284
2035,100,191.350979732143,110,287
2036,100,190.677881696429,107,290
2037,100,190.010524330357,104,292
2038,100,189.342551964286,101,295
2039,100,188.693322366071,98,298
2040,100,188.028745044643,95,300
2041,100,187.367381339286,92,302
2042,100,186.706617321429,90,304
2043,100,186.037089508929,87,306
2044,100,185.379523660714,85,308
2045,100,184.7191696875,83,310
2046,100,184.059803482143,80,312
2047,100,183.393915446429,78,314
2048,100,182.735239107143,76,316
2049,100,182.083096026786,74,317
2050,100,181.429598705357,72,319
2051,100,180.775373214286,70,320
2052,100,180.106397544643,68,322
2022,125,250,250,250
2023,125,249.2548928125,218,281
2024,125,248.539575803571,205,294
2025,125,247.830018616071,195,304
2026,125,247.114417276786,187,312
2027,125,246.397437633929,180,319
2028,125,245.662796607143,173,326
2029,125,244.960693348214,167,332
2030,125,244.231831339286,162,337
2031,125,243.525145758929,157,342
2032,125,242.820034553571,152,347
2033,125,242.107376696429,147,352
2034,125,241.394805625,143,356
2035,125,240.680641651786,139,360
2036,125,239.978294375,135,364
2037,125,239.248321473214,131,367
2038,125,238.563864151786,127,371
2039,125,237.861825580357,124,374
2040,125,237.158770089286,121,377
2041,125,236.450253169643,117,380
2042,125,235.738154285714,114,383
2043,125,235.022408616071,111,386
2044,125,234.314626964286,108,388
2045,125,233.623778705357,105,391
2046,125,232.917332633929,103,393
2047,125,232.19274625,100,396
2048,125,231.491027232143,98,398
2049,125,230.775820803571,95,400
2050,125,230.068577901786,93,402
2051,125,229.356107142857,90,404
2052,125,228.668617366071,88,406
2022,150,300,300,300
2023,150,299.227569910714,262,337
2024,150,298.455076830357,247,352
2025,150,297.681555223214,235,365
2026,150,296.915480892857,225,375
2027,150,296.158874464286,217,383
2028,150,295.393305848214,209,391
2029,150,294.627242544643,202,398
2030,150,293.854735044643,195,405
2031,150,293.092600982143,189,411
2032,150,292.327116205357,183,417
2033,150,291.549183348214,178,422
2034,150,290.747751160714,173,427
2035,150,290.008892366071,168,432
2036,150,289.273891607143,163,437
2037,150,288.5235321875,159,441
2038,150,287.779667544643,155,446
2039,150,287.017210625,151,450
2040,150,286.248819732143,147,454
2041,150,285.492845714286,143,457
2042,150,284.7047846875,139,461
2043,150,283.963415357143,136,464
2044,150,283.186073660714,132,468
2045,150,282.424363258929,129,471
2046,150,281.653734419643,126,474
2047,150,280.888029375,122,477
2048,150,280.107919866071,119,479
2049,150,279.347631919643,116,482
2050,150,278.594796026786,114,485
2051,150,277.840559330357,111,487
2052,150,277.071485848214,108,490
2022,175,350,350,350
2023,175,349.169824196429,306,393
2024,175,348.328621517857,288,411
2025,175,347.500971071429,275,425
2026,175,346.682707723214,263,437
2027,175,345.8633590625,253,447
2028,175,345.032426160714,244,456
2029,175,344.195902053571,236,465
2030,175,343.392720714286,229,472
2031,175,342.560062366071,222,480
2032,175,341.736681607143,215,486
2033,175,340.920236294643,209,493
2034,175,340.096939553571,203,499
2035,175,339.288484419643,197,505
2036,175,338.463632098214,192,510
2037,175,337.649485892857,187,515
2038,175,336.852917857143,182,520
2039,175,336.014115625,177,525
2040,175,335.199142678571,173,530
2041,175,334.390933035714,168,534
2042,175,333.574813482143,164,538
2043,175,332.753741607143,160,542
2044,175,331.919656383929,156,546
2045,175,331.112093482143,152,550
2046,175,330.288839553571,148,554
2047,175,329.458137142857,145,557
2048,175,328.6711990625,141,560
2049,175,327.857343705357,138,564
2050,175,327.027741116071,135,567
2051,175,326.207107053571,132,570
2052,175,325.397883125,128,573
2022,200,400,400,400
2023,200,399.152080714286,350,449
2024,200,398.262901383929,330,470
2025,200,397.3847225,315,486
2026,200,396.5063071875,302,499
2027,200,395.636530982143,291,511
2028,200,394.765664107143,280,521
2029,200,393.863368258929,271,531
2030,200,393.008299910714,263,540
2031,200,392.146212901786,255,548
2032,200,391.2711975,247,556
2033,200,390.399100089286,240,563
2034,200,389.505842410714,233,570
2035,200,388.618424732143,227,577
2036,200,387.729434375,221,583
2037,200,386.876035401786,215,589
2038,200,386.013073660714,209,595
2039,200,385.143759955357,204,600
2040,200,384.290132723214,199,606
2041,200,383.408619866071,194,611
2042,200,382.541266696429,189,616
2043,200,381.67220125,184,620
2044,200,380.804347276786,180,625
2045,200,379.949915267857,176,629
2046,200,379.084272098214,171,634
2047,200,378.175131160714,167,638
2048,200,377.291154955357,163,642
2049,200,376.438347321429,160,645
2050,200,375.566371651786,156,649
2051,200,374.696861294643,152,652
2052,200,373.785129642857,149,656
